t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1513089954,18,0.014000,0.000053,0.000000,0.000740,0.000000,0.000000,0.000000,0.000000,0.000000,0.014000,0.021092,0.000008,0.041272,0.242443,calls/second,seconds
1513110998,17,0.008000,0.000725,0.000000,0.001913,0.000000,0.001000,0.008000,0.008000,0.008000,0.008000,0.020067,0.000001,0.087178,0.554919,calls/second,seconds
1513248006,17,0.005000,0.000596,0.000000,0.001214,0.000000,0.001000,0.005000,0.005000,0.005000,0.005000,0.020121,0.000001,0.027861,0.164789,calls/second,seconds
1513267498,17,0.003000,0.000419,0.000000,0.000852,0.000000,0.000000,0.003000,0.003000,0.003000,0.003000,0.021095,0.000004,0.154265,0.907195,calls/second,seconds
1515080661,16,0.009000,0.000724,0.000000,0.002232,0.000000,0.000000,0.009000,0.009000,0.009000,0.009000,0.018956,0.000002,0.161387,1.029444,calls/second,seconds
1515769897,17,0.010000,0.001008,0.000000,0.002561,0.000000,0.000000,0.010000,0.010000,0.010000,0.010000,0.020194,0.000000,0.015702,0.086143,calls/second,seconds
1515781585,17,0.009000,0.000679,0.000000,0.002166,0.000000,0.000000,0.009000,0.009000,0.009000,0.009000,0.020627,0.000002,0.094754,0.570549,calls/second,seconds
1515782918,17,0.006000,0.000482,0.000000,0.001442,0.000000,0.000000,0.006000,0.006000,0.006000,0.006000,0.020440,0.000002,0.104218,0.643769,calls/second,seconds
1516041169,17,0.004000,0.000422,0.000000,0.001046,0.000000,0.000000,0.004000,0.004000,0.004000,0.004000,0.019689,0.000002,0.162547,1.084168,calls/second,seconds
1516877847,16,0.013000,0.002115,0.000000,0.004071,0.000000,0.001000,0.013000,0.013000,0.013000,0.013000,0.018988,0.000002,0.112753,0.714861,calls/second,seconds
1517522958,17,0.004000,0.000527,0.000000,0.000986,0.000000,0.001000,0.004000,0.004000,0.004000,0.004000,0.019727,0.000000,0.014680,0.084243,calls/second,seconds
1519374973,17,0.005000,0.000364,0.000000,0.001208,0.000000,0.000000,0.005000,0.005000,0.005000,0.005000,0.019847,0.000000,0.014936,0.084719,calls/second,seconds
1519381976,17,0.004000,0.000592,0.000000,0.001148,0.000000,0.001000,0.004000,0.004000,0.004000,0.004000,0.019708,0.000002,0.196671,1.314919,calls/second,seconds
1519661541,17,0.004000,0.000423,0.000000,0.000988,0.000000,0.000000,0.004000,0.004000,0.004000,0.004000,0.020148,0.000000,0.015702,0.086143,calls/second,seconds
1519664145,17,0.013000,0.000981,0.000000,0.003119,0.000000,0.000000,0.013000,0.013000,0.013000,0.013000,0.020096,0.000001,0.099136,0.633129,calls/second,seconds
