t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1513110998,29,0.024000,0.002615,0.000000,0.005116,0.000000,0.002000,0.011000,0.024000,0.024000,0.024000,0.034343,0.000005,0.358626,2.293503,calls/second,seconds
1513248006,29,0.014000,0.002236,0.000000,0.004553,0.000000,0.001000,0.013000,0.014000,0.014000,0.014000,0.034475,0.000005,0.358626,2.293503,calls/second,seconds
1513267498,29,0.015000,0.001712,0.000000,0.004457,0.000000,0.000000,0.015000,0.015000,0.015000,0.015000,0.036096,0.000010,0.409777,2.397735,calls/second,seconds
1515080661,29,0.004000,0.000814,0.000000,0.001406,0.000000,0.001000,0.004000,0.004000,0.004000,0.004000,0.034316,0.000005,0.352698,2.280796,calls/second,seconds
1515769897,29,0.061000,0.010892,0.000000,0.021952,0.000000,0.007000,0.061000,0.061000,0.061000,0.061000,0.034652,0.000006,0.364653,2.306280,calls/second,seconds
1515781585,29,0.045000,0.004495,0.000000,0.011759,0.000000,0.000000,0.036000,0.045000,0.045000,0.045000,0.035300,0.000007,0.383349,2.345040,calls/second,seconds
1515782918,29,0.016000,0.003145,0.000000,0.004656,0.000000,0.007000,0.012000,0.016000,0.016000,0.016000,0.034993,0.000007,0.377013,2.332048,calls/second,seconds
1516041169,29,0.037000,0.008045,0.000000,0.011187,0.000000,0.017000,0.030000,0.037000,0.037000,0.037000,0.033651,0.000004,0.335497,2.243098,calls/second,seconds
1516877847,29,0.006000,0.001008,0.000000,0.002002,0.000000,0.001000,0.006000,0.006000,0.006000,0.006000,0.034380,0.000004,0.273516,1.742983,calls/second,seconds
1517522958,29,0.013000,0.000610,0.000000,0.002436,0.000000,0.000000,0.004000,0.013000,0.013000,0.013000,0.033837,0.000004,0.341136,2.255594,calls/second,seconds
1519374973,29,0.006000,0.000787,0.000000,0.001724,0.000000,0.000000,0.005000,0.006000,0.006000,0.006000,0.034109,0.000004,0.346869,2.268160,calls/second,seconds
1519381976,29,0.021000,0.002217,0.000000,0.005213,0.000000,0.003000,0.020000,0.021000,0.021000,0.021000,0.033673,0.000004,0.335497,2.243098,calls/second,seconds
1519661541,29,0.011000,0.001493,0.000000,0.003168,0.000000,0.001000,0.010000,0.011000,0.011000,0.011000,0.034610,0.000006,0.364653,2.306280,calls/second,seconds
1519664145,29,0.048000,0.009823,0.000000,0.016944,0.000000,0.010000,0.048000,0.048000,0.048000,0.048000,0.034385,0.000005,0.358626,2.293503,calls/second,seconds
