t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1513110998,29,0.843000,0.291492,0.010000,0.324190,0.072000,0.720000,0.826000,0.843000,0.843000,0.843000,0.034340,0.000005,0.358626,2.293503,calls/second,seconds
1513248006,29,0.676000,0.264331,0.007000,0.266068,0.113000,0.597000,0.675000,0.676000,0.676000,0.676000,0.034470,0.000005,0.358626,2.293503,calls/second,seconds
1513267498,29,0.903000,0.148756,0.006000,0.184548,0.055000,0.281000,0.307000,0.903000,0.903000,0.903000,0.036094,0.000010,0.409777,2.397735,calls/second,seconds
1515080661,29,0.882000,0.309279,0.011000,0.333749,0.097000,0.749000,0.837000,0.882000,0.882000,0.882000,0.034312,0.000005,0.352698,2.280796,calls/second,seconds
1515769897,29,0.967000,0.364709,0.012000,0.377850,0.141000,0.875000,0.945000,0.967000,0.967000,0.967000,0.034644,0.000006,0.364653,2.306280,calls/second,seconds
1515781585,29,0.704000,0.266979,0.009000,0.275418,0.158000,0.646000,0.695000,0.704000,0.704000,0.704000,0.035297,0.000007,0.383349,2.345040,calls/second,seconds
1515782918,29,0.615000,0.233969,0.009000,0.228122,0.126000,0.556000,0.606000,0.615000,0.615000,0.615000,0.034990,0.000007,0.377013,2.332048,calls/second,seconds
1516041169,29,0.561000,0.144724,0.005000,0.151229,0.063000,0.303000,0.351000,0.561000,0.561000,0.561000,0.033650,0.000004,0.335497,2.243098,calls/second,seconds
1516877847,29,1.277000,0.436871,0.006000,0.520503,0.131000,1.200000,1.248000,1.277000,1.277000,1.277000,0.034374,0.000004,0.273516,1.742983,calls/second,seconds
1517522958,29,0.868000,0.169400,0.004000,0.197470,0.060000,0.342000,0.379000,0.868000,0.868000,0.868000,0.033836,0.000004,0.341136,2.255594,calls/second,seconds
1519374973,29,0.542000,0.141715,0.005000,0.151675,0.045000,0.308000,0.351000,0.542000,0.542000,0.542000,0.034108,0.000004,0.346869,2.268160,calls/second,seconds
1519381976,29,0.416000,0.148391,0.004000,0.136071,0.070000,0.293000,0.335000,0.416000,0.416000,0.416000,0.033672,0.000004,0.335497,2.243098,calls/second,seconds
1519661541,29,0.444000,0.145735,0.004000,0.151151,0.043000,0.322000,0.350000,0.444000,0.444000,0.444000,0.034608,0.000006,0.364653,2.306280,calls/second,seconds
1519664145,29,0.856000,0.297475,0.012000,0.325245,0.107000,0.756000,0.847000,0.856000,0.856000,0.856000,0.034380,0.000005,0.358626,2.293503,calls/second,seconds
