t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1513089954,13,0.001000,0.000077,0.000000,0.000266,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.022727,0.000212,0.395414,1.387819,calls/second,seconds
1513110998,29,0.003000,0.000655,0.000000,0.000920,0.000000,0.001000,0.003000,0.003000,0.003000,0.003000,0.035494,0.000008,0.389792,2.358104,calls/second,seconds
1513248006,29,0.004000,0.000379,0.000000,0.000847,0.000000,0.000000,0.002000,0.004000,0.004000,0.004000,0.035639,0.000009,0.396343,2.371241,calls/second,seconds
1513267498,29,0.003000,0.000241,0.000000,0.000625,0.000000,0.000000,0.001000,0.003000,0.003000,0.003000,0.037292,0.000015,0.445388,2.465273,calls/second,seconds
1515080661,29,0.006000,0.001724,0.000000,0.001836,0.001000,0.002000,0.005000,0.006000,0.006000,0.006000,0.035552,0.000008,0.389792,2.358104,calls/second,seconds
1515104961,30,0.003000,0.000767,0.000000,0.000667,0.001000,0.001000,0.002000,0.003000,0.003000,0.003000,0.106078,0.061325,2.399098,4.420284,calls/second,seconds
1515115761,30,0.003000,0.000600,0.000000,0.000663,0.001000,0.001000,0.001000,0.003000,0.003000,0.003000,0.388223,1.868419,4.751337,5.551020,calls/second,seconds
1515116661,29,0.016000,0.001379,0.000000,0.002976,0.001000,0.001000,0.006000,0.016000,0.016000,0.016000,0.128753,0.148257,2.785771,4.542209,calls/second,seconds
1515158061,30,0.001000,0.000500,0.000000,0.000500,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.083595,0.017570,1.868419,4.066857,calls/second,seconds
1515158961,29,0.004000,0.001172,0.000000,0.001487,0.001000,0.002000,0.004000,0.004000,0.004000,0.004000,0.054438,0.000919,1.007889,3.236604,calls/second,seconds
1515159861,59,0.012000,0.000494,0.000000,0.001007,0.000000,0.001000,0.003000,0.003000,0.003000,0.012000,0.128100,0.013959,1.361937,3.644047,calls/second,seconds
1515169761,59,0.018000,0.003824,0.000000,0.005408,0.001000,0.005000,0.015000,0.018000,0.018000,0.018000,0.071163,0.000036,0.403882,2.429332,calls/second,seconds
1515170661,87,0.006000,0.000944,0.000000,0.001493,0.000000,0.001000,0.004000,0.006000,0.006000,0.006000,0.186284,0.144257,1.380892,3.535282,calls/second,seconds
1515194061,30,0.006000,0.000900,0.000000,0.001620,0.000000,0.001000,0.005000,0.006000,0.006000,0.006000,0.053682,0.000627,0.959278,3.256485,calls/second,seconds
1515194961,30,0.011000,0.000667,0.000000,0.001972,0.000000,0.001000,0.001000,0.011000,0.011000,0.011000,0.323446,1.455126,4.519612,5.459270,calls/second,seconds
1515195861,29,0.001000,0.000276,0.000000,0.000447,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.037431,0.000017,0.452874,2.479007,calls/second,seconds
1515769897,29,0.008000,0.000828,0.000000,0.001662,0.000000,0.001000,0.004000,0.008000,0.008000,0.008000,0.035814,0.000009,0.403004,2.384451,calls/second,seconds
1515781585,29,0.007000,0.001000,0.000000,0.001438,0.001000,0.001000,0.003000,0.007000,0.007000,0.007000,0.036523,0.000012,0.423666,2.424525,calls/second,seconds
1515782918,29,0.005000,0.000828,0.000000,0.001176,0.000000,0.001000,0.003000,0.005000,0.005000,0.005000,0.036107,0.000010,0.409777,2.397735,calls/second,seconds
1516041169,29,0.002000,0.000448,0.000000,0.000562,0.000000,0.001000,0.001000,0.002000,0.002000,0.002000,0.034606,0.000006,0.364653,2.306280,calls/second,seconds
1516877847,29,0.004000,0.000552,0.000000,0.000968,0.000000,0.001000,0.003000,0.004000,0.004000,0.004000,0.035689,0.000009,0.396343,2.371241,calls/second,seconds
1517522958,29,0.007000,0.000966,0.000000,0.001650,0.000000,0.001000,0.005000,0.007000,0.007000,0.007000,0.034885,0.000006,0.370782,2.319128,calls/second,seconds
1519232958,29,0.032000,0.001448,0.000000,0.005799,0.000000,0.001000,0.002000,0.032000,0.032000,0.032000,0.155872,0.288765,3.183107,4.748638,calls/second,seconds
1519233858,30,0.001000,0.000100,0.000000,0.000300,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.066695,0.003920,1.384159,3.679845,calls/second,seconds
1519258158,30,0.001000,0.000200,0.000000,0.000400,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.053594,0.000627,0.959278,3.256485,calls/second,seconds
1519259058,30,0.003000,0.000233,0.000000,0.000616,0.000000,0.000000,0.001000,0.003000,0.003000,0.003000,0.037326,0.000011,0.423907,2.480416,calls/second,seconds
1519263558,30,0.002000,0.000270,0.000000,0.000563,0.000000,0.000000,0.002000,0.002000,0.002000,0.002000,0.059045,0.001413,1.096335,3.328476,calls/second,seconds
1519314858,30,0.001000,0.000200,0.000000,0.000400,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.080254,0.013683,1.777295,3.999638,calls/second,seconds
1519316658,29,0.001000,0.000138,0.000000,0.000345,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.038732,0.000026,0.492230,2.548833,calls/second,seconds
1519374973,29,0.002000,0.000172,0.000000,0.000460,0.000000,0.000000,0.001000,0.002000,0.002000,0.002000,0.035175,0.000007,0.383349,2.345040,calls/second,seconds
1519381976,29,0.008000,0.001655,0.000000,0.002745,0.000000,0.002000,0.008000,0.008000,0.008000,0.008000,0.034629,0.000006,0.364653,2.306280,calls/second,seconds
1519661541,29,0.002000,0.000586,0.000000,0.000670,0.000000,0.001000,0.002000,0.002000,0.002000,0.002000,0.035707,0.000009,0.396343,2.371241,calls/second,seconds
1519664145,29,0.014000,0.002138,0.000000,0.003655,0.001000,0.001000,0.012000,0.014000,0.014000,0.014000,0.035537,0.000008,0.389792,2.358104,calls/second,seconds
