t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1513089954,13,0.033000,0.018692,0.001000,0.012424,0.025000,0.030000,0.033000,0.033000,0.033000,0.033000,0.022727,0.000212,0.395414,1.387819,calls/second,seconds
1513110998,29,0.026000,0.014345,0.009000,0.005274,0.013000,0.019000,0.025000,0.026000,0.026000,0.026000,0.035494,0.000008,0.389792,2.358104,calls/second,seconds
1513248006,29,0.056000,0.020655,0.001000,0.016268,0.013000,0.031000,0.050000,0.056000,0.056000,0.056000,0.035639,0.000009,0.396343,2.371241,calls/second,seconds
1513267498,29,0.016000,0.005966,0.000000,0.005301,0.003000,0.010000,0.016000,0.016000,0.016000,0.016000,0.037292,0.000015,0.445388,2.465273,calls/second,seconds
1515080661,29,0.058000,0.025034,0.002000,0.015690,0.023000,0.039000,0.051000,0.058000,0.058000,0.058000,0.035552,0.000008,0.389792,2.358104,calls/second,seconds
1515104961,30,0.034000,0.011100,0.001000,0.007336,0.009000,0.015000,0.027000,0.034000,0.034000,0.034000,0.106075,0.061325,2.399098,4.420284,calls/second,seconds
1515115761,30,0.017000,0.008567,0.001000,0.004185,0.008000,0.011000,0.016000,0.017000,0.017000,0.017000,0.388200,1.868419,4.751337,5.551020,calls/second,seconds
1515116661,29,0.032000,0.011034,0.001000,0.007252,0.009000,0.014000,0.023000,0.032000,0.032000,0.032000,0.128750,0.148257,2.785771,4.542209,calls/second,seconds
1515158061,30,0.015000,0.006367,0.003000,0.002483,0.006000,0.007000,0.011000,0.015000,0.015000,0.015000,0.083594,0.017570,1.868419,4.066857,calls/second,seconds
1515158961,29,0.013000,0.007448,0.002000,0.002724,0.007000,0.010000,0.013000,0.013000,0.013000,0.013000,0.054437,0.000919,1.007889,3.236604,calls/second,seconds
1515159861,59,0.024000,0.009231,0.001000,0.003834,0.009000,0.012000,0.015000,0.016000,0.016000,0.024000,0.128099,0.013959,1.361937,3.644047,calls/second,seconds
1515169761,59,0.029000,0.008157,0.001000,0.006398,0.006000,0.011000,0.021000,0.027000,0.027000,0.027000,0.071162,0.000036,0.403882,2.429332,calls/second,seconds
1515170661,87,0.017000,0.008521,0.001000,0.003669,0.009000,0.011000,0.014000,0.017000,0.017000,0.017000,0.186282,0.144257,1.380892,3.535282,calls/second,seconds
1515194061,30,0.013000,0.005733,0.001000,0.002594,0.006000,0.008000,0.010000,0.013000,0.013000,0.013000,0.053680,0.000627,0.959278,3.256485,calls/second,seconds
1515194961,30,0.016000,0.008567,0.001000,0.003939,0.009000,0.011000,0.016000,0.016000,0.016000,0.016000,0.323431,1.455126,4.519612,5.459270,calls/second,seconds
1515195861,29,0.008000,0.003241,0.000000,0.002284,0.004000,0.004000,0.008000,0.008000,0.008000,0.008000,0.037431,0.000017,0.452874,2.479007,calls/second,seconds
1515769897,29,0.035000,0.013655,0.001000,0.010042,0.011000,0.021000,0.033000,0.035000,0.035000,0.035000,0.035814,0.000009,0.403004,2.384451,calls/second,seconds
1515781585,29,0.067000,0.022172,0.002000,0.019158,0.014000,0.040000,0.059000,0.067000,0.067000,0.067000,0.036522,0.000012,0.423666,2.424525,calls/second,seconds
1515782918,29,0.041000,0.017069,0.004000,0.012247,0.012000,0.033000,0.038000,0.041000,0.041000,0.041000,0.036107,0.000010,0.409777,2.397735,calls/second,seconds
1516041169,29,0.020000,0.007000,0.000000,0.006303,0.004000,0.015000,0.018000,0.020000,0.020000,0.020000,0.034606,0.000006,0.364653,2.306280,calls/second,seconds
1516877847,29,0.036000,0.015172,0.004000,0.010638,0.011000,0.027000,0.035000,0.036000,0.036000,0.036000,0.035688,0.000009,0.396343,2.371241,calls/second,seconds
1517522958,29,0.020000,0.009448,0.003000,0.005834,0.007000,0.016000,0.020000,0.020000,0.020000,0.020000,0.034885,0.000006,0.370782,2.319128,calls/second,seconds
1519232958,29,0.033000,0.003966,0.001000,0.005678,0.003000,0.004000,0.006000,0.033000,0.033000,0.033000,0.155868,0.288765,3.183107,4.748638,calls/second,seconds
1519233858,30,0.007000,0.003267,0.001000,0.001548,0.003000,0.004000,0.007000,0.007000,0.007000,0.007000,0.066694,0.003920,1.384159,3.679845,calls/second,seconds
1519258158,30,0.007000,0.002533,0.001000,0.001335,0.003000,0.003000,0.004000,0.007000,0.007000,0.007000,0.053594,0.000627,0.959278,3.256485,calls/second,seconds
1519259058,30,0.004000,0.001233,0.000000,0.000920,0.001000,0.002000,0.003000,0.004000,0.004000,0.004000,0.037326,0.000011,0.423907,2.480416,calls/second,seconds
1519263558,30,0.006000,0.003100,0.000000,0.001967,0.003000,0.005000,0.006000,0.006000,0.006000,0.006000,0.059045,0.001413,1.096335,3.328476,calls/second,seconds
1519314858,30,0.006000,0.002967,0.001000,0.001378,0.003000,0.004000,0.005000,0.006000,0.006000,0.006000,0.080253,0.013683,1.777295,3.999638,calls/second,seconds
1519316658,29,0.006000,0.002586,0.001000,0.001378,0.002000,0.003000,0.005000,0.006000,0.006000,0.006000,0.038732,0.000026,0.492230,2.548833,calls/second,seconds
1519374973,29,0.024000,0.007966,0.000000,0.008168,0.004000,0.018000,0.024000,0.024000,0.024000,0.024000,0.035175,0.000007,0.383349,2.345040,calls/second,seconds
1519381976,29,0.017000,0.005690,0.000000,0.006165,0.003000,0.013000,0.017000,0.017000,0.017000,0.017000,0.034629,0.000006,0.364653,2.306280,calls/second,seconds
1519661541,29,0.017000,0.006828,0.001000,0.005503,0.005000,0.012000,0.017000,0.017000,0.017000,0.017000,0.035706,0.000009,0.396343,2.371241,calls/second,seconds
1519664145,29,0.082000,0.030414,0.007000,0.020799,0.022000,0.054000,0.067000,0.082000,0.082000,0.082000,0.035537,0.000008,0.389792,2.358104,calls/second,seconds
