t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1515104961,15,0.111000,0.020780,0.000000,0.031488,0.001000,0.030000,0.070000,0.111000,0.111000,0.111000,0.044604,0.004453,0.215114,0.425506,calls/second,seconds
1515115761,12,0.060000,0.012954,0.000000,0.020201,0.001000,0.024000,0.060000,0.060000,0.060000,0.060000,0.092160,0.102076,0.416868,0.531119,calls/second,seconds
1515116661,6,0.067000,0.011386,0.000000,0.024724,0.000000,0.001000,0.067000,0.067000,0.067000,0.067000,0.024105,0.021979,0.539195,0.919114,calls/second,seconds
1515158061,12,0.090000,0.015194,0.000000,0.025436,0.001000,0.022000,0.090000,0.090000,0.090000,0.090000,0.029051,0.000960,0.163929,0.389115,calls/second,seconds
1515158961,6,0.350000,0.057354,0.000000,0.129105,0.000000,0.001000,0.350000,0.350000,0.350000,0.350000,0.010782,0.000125,0.191856,0.651297,calls/second,seconds
1515159861,18,0.067000,0.011459,0.000000,0.024461,0.001000,0.001000,0.067000,0.067000,0.067000,0.067000,0.035009,0.001798,0.126225,0.353259,calls/second,seconds
1515169761,18,0.099000,0.014147,0.000000,0.031216,0.000000,0.001000,0.085000,0.085000,0.085000,0.099000,0.020517,0.000005,0.037426,0.235491,calls/second,seconds
1515170661,54,0.120000,0.015240,0.000000,0.023888,0.001000,0.035000,0.065000,0.096000,0.096000,0.096000,0.109823,0.088337,0.340073,0.745916,calls/second,seconds
1515194061,12,0.055000,0.011210,0.000000,0.017401,0.000000,0.021000,0.055000,0.055000,0.055000,0.055000,0.019748,0.000036,0.085506,0.313285,calls/second,seconds
1515194961,15,0.056000,0.012916,0.000000,0.019084,0.000000,0.025000,0.050000,0.050000,0.050000,0.056000,0.053005,0.032098,0.266412,0.453650,calls/second,seconds
1515195861,6,0.073000,0.012153,0.000000,0.026969,0.000000,0.001000,0.073000,0.073000,0.073000,0.073000,0.007526,0.000002,0.086206,0.498847,calls/second,seconds
