t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1513089954,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002341,0.000000,0.023922,0.156425,calls/second,seconds
1513110998,2,0.001000,0.000504,0.000000,0.000500,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.002364,0.000000,0.024324,0.157296,calls/second,seconds
1513248006,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002374,0.000000,0.024733,0.158173,calls/second,seconds
1513267498,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002487,0.000001,0.028260,0.165361,calls/second,seconds
1515080661,2,0.001000,0.000496,0.000000,0.000500,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.002361,0.000000,0.024324,0.157296,calls/second,seconds
1515769897,2,0.001000,0.000493,0.000000,0.000500,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.002380,0.000000,0.024733,0.158173,calls/second,seconds
1515781585,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002430,0.000001,0.026438,0.161727,calls/second,seconds
1515782918,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002410,0.000000,0.025571,0.159940,calls/second,seconds
1516041169,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002319,0.000000,0.023138,0.154696,calls/second,seconds
1516877847,2,0.001000,0.000496,0.000000,0.000500,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.002366,0.000000,0.024324,0.157296,calls/second,seconds
1517522958,2,0.001000,0.001000,0.001000,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.002331,0.000000,0.023527,0.155558,calls/second,seconds
1519374973,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002350,0.000000,0.023922,0.156425,calls/second,seconds
1519381976,2,0.001000,0.000500,0.000000,0.000500,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.002321,0.000000,0.023138,0.154696,calls/second,seconds
1519661541,2,0.001000,0.000500,0.000000,0.000500,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.002385,0.000000,0.025148,0.159054,calls/second,seconds
1519664145,2,0.001000,0.000496,0.000000,0.000500,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.002366,0.000000,0.024324,0.157296,calls/second,seconds
