t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1513089954,1,0.004000,0.004000,0.004000,0.000000,0.004000,0.004000,0.004000,0.004000,0.004000,0.004000,0.001185,0.000000,0.012366,0.079086,calls/second,seconds
1513110998,1,0.015000,0.015000,0.015000,0.000000,0.015000,0.015000,0.015000,0.015000,0.015000,0.015000,0.001179,0.000000,0.012162,0.078648,calls/second,seconds
1513248006,1,0.046000,0.046000,0.046000,0.000000,0.046000,0.046000,0.046000,0.046000,0.046000,0.046000,0.001182,0.000000,0.012162,0.078648,calls/second,seconds
1513267498,1,0.006000,0.006000,0.006000,0.000000,0.006000,0.006000,0.006000,0.006000,0.006000,0.006000,0.001241,0.000000,0.013897,0.082222,calls/second,seconds
1515080661,1,0.017000,0.017000,0.017000,0.000000,0.017000,0.017000,0.017000,0.017000,0.017000,0.017000,0.001174,0.000000,0.011961,0.078212,calls/second,seconds
1515769897,1,0.021000,0.021000,0.021000,0.000000,0.021000,0.021000,0.021000,0.021000,0.021000,0.021000,0.001188,0.000000,0.012366,0.079086,calls/second,seconds
1515781585,1,0.011000,0.011000,0.011000,0.000000,0.011000,0.011000,0.011000,0.011000,0.011000,0.011000,0.001213,0.000000,0.013219,0.080863,calls/second,seconds
1515782918,1,0.010000,0.010000,0.010000,0.000000,0.010000,0.010000,0.010000,0.010000,0.010000,0.010000,0.001202,0.000000,0.012786,0.079970,calls/second,seconds
1516041169,1,0.023000,0.023000,0.023000,0.000000,0.023000,0.023000,0.023000,0.023000,0.023000,0.023000,0.001158,0.000000,0.011569,0.077348,calls/second,seconds
1516877847,1,0.029000,0.029000,0.029000,0.000000,0.029000,0.029000,0.029000,0.029000,0.029000,0.029000,0.001177,0.000000,0.012162,0.078648,calls/second,seconds
1517522958,1,0.019000,0.019000,0.019000,0.000000,0.019000,0.019000,0.019000,0.019000,0.019000,0.019000,0.001160,0.000000,0.011569,0.077348,calls/second,seconds
1519374973,1,11.317000,11.317000,11.317000,0.000000,11.317000,11.317000,11.317000,11.317000,11.317000,11.317000,0.001166,0.000000,0.011763,0.077779,calls/second,seconds
1519381976,1,0.017000,0.017000,0.017000,0.000000,0.017000,0.017000,0.017000,0.017000,0.017000,0.017000,0.001159,0.000000,0.011569,0.077348,calls/second,seconds
1519661541,1,0.015000,0.015000,0.015000,0.000000,0.015000,0.015000,0.015000,0.015000,0.015000,0.015000,0.001183,0.000000,0.012162,0.078648,calls/second,seconds
1519664145,1,0.029000,0.029000,0.029000,0.000000,0.029000,0.029000,0.029000,0.029000,0.029000,0.029000,0.001182,0.000000,0.012162,0.078648,calls/second,seconds
