t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1513089954,1,0.003000,0.003000,0.003000,0.000000,0.003000,0.003000,0.003000,0.003000,0.003000,0.003000,0.002091,0.000079,0.041748,0.118640,calls/second,seconds
1513110998,1,0.006000,0.006000,0.006000,0.000000,0.006000,0.006000,0.006000,0.006000,0.006000,0.006000,0.001203,0.000000,0.012786,0.079970,calls/second,seconds
1513248006,1,0.008000,0.008000,0.008000,0.000000,0.008000,0.008000,0.008000,0.008000,0.008000,0.008000,0.001207,0.000000,0.013000,0.080415,calls/second,seconds
1513267498,1,0.004000,0.004000,0.004000,0.000000,0.004000,0.004000,0.004000,0.004000,0.004000,0.004000,0.001266,0.000000,0.014855,0.084070,calls/second,seconds
1515080661,1,0.007000,0.007000,0.007000,0.000000,0.007000,0.007000,0.007000,0.007000,0.007000,0.007000,0.001202,0.000000,0.012786,0.079970,calls/second,seconds
1515769897,1,0.009000,0.009000,0.009000,0.000000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.001219,0.000000,0.013219,0.080863,calls/second,seconds
1515781585,1,0.006000,0.006000,0.006000,0.000000,0.006000,0.006000,0.006000,0.006000,0.006000,0.006000,0.001244,0.000000,0.014130,0.082681,calls/second,seconds
1515782918,1,0.009000,0.009000,0.009000,0.000000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.001230,0.000000,0.013667,0.081767,calls/second,seconds
1516041169,1,0.004000,0.004000,0.004000,0.000000,0.004000,0.004000,0.004000,0.004000,0.004000,0.004000,0.001179,0.000000,0.012162,0.078648,calls/second,seconds
1516877847,1,0.006000,0.006000,0.006000,0.000000,0.006000,0.006000,0.006000,0.006000,0.006000,0.006000,0.001213,0.000000,0.013219,0.080863,calls/second,seconds
1517522958,1,0.003000,0.003000,0.003000,0.000000,0.003000,0.003000,0.003000,0.003000,0.003000,0.003000,0.001185,0.000000,0.012366,0.079086,calls/second,seconds
1519374973,1,0.003000,0.003000,0.003000,0.000000,0.003000,0.003000,0.003000,0.003000,0.003000,0.003000,0.001200,0.000000,0.012786,0.079970,calls/second,seconds
1519381976,1,0.004000,0.004000,0.004000,0.000000,0.004000,0.004000,0.004000,0.004000,0.004000,0.004000,0.001185,0.000000,0.012366,0.079086,calls/second,seconds
1519661541,1,0.003000,0.003000,0.003000,0.000000,0.003000,0.003000,0.003000,0.003000,0.003000,0.003000,0.001218,0.000000,0.013219,0.080863,calls/second,seconds
1519664145,1,0.012000,0.012000,0.012000,0.000000,0.012000,0.012000,0.012000,0.012000,0.012000,0.012000,0.001221,0.000000,0.013441,0.081314,calls/second,seconds
