t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1513089954,4,0.002000,0.000500,0.000000,0.000866,0.000000,0.002000,0.002000,0.002000,0.002000,0.002000,0.004681,0.000001,0.047844,0.312850,calls/second,seconds
1513110998,4,0.006000,0.002474,0.000000,0.002166,0.002000,0.002000,0.006000,0.006000,0.006000,0.006000,0.004721,0.000001,0.048648,0.314593,calls/second,seconds
1513248006,4,0.006000,0.001948,0.000000,0.002429,0.000000,0.002000,0.006000,0.006000,0.006000,0.006000,0.004733,0.000001,0.048648,0.314593,calls/second,seconds
1513267498,4,0.008000,0.002199,0.000000,0.003317,0.000000,0.001000,0.008000,0.008000,0.008000,0.008000,0.004963,0.000001,0.055587,0.328890,calls/second,seconds
1515080661,4,0.003000,0.001205,0.000000,0.001290,0.000000,0.002000,0.003000,0.003000,0.003000,0.003000,0.004701,0.000000,0.024324,0.157296,calls/second,seconds
1515769897,4,0.007000,0.001926,0.000000,0.002879,0.000000,0.001000,0.007000,0.007000,0.007000,0.007000,0.004750,0.000001,0.037307,0.237699,calls/second,seconds
1515781585,4,0.003000,0.001229,0.000000,0.001296,0.000000,0.002000,0.003000,0.003000,0.003000,0.003000,0.004852,0.000001,0.052876,0.323454,calls/second,seconds
1515782918,4,0.015000,0.004162,0.000000,0.006218,0.000000,0.002000,0.015000,0.015000,0.015000,0.015000,0.004808,0.000001,0.051142,0.319880,calls/second,seconds
1516041169,4,0.019000,0.004948,0.000000,0.008063,0.000000,0.001000,0.019000,0.019000,0.019000,0.019000,0.004632,0.000001,0.046275,0.309393,calls/second,seconds
1516877847,4,0.003000,0.000963,0.000000,0.001210,0.000000,0.001000,0.003000,0.003000,0.003000,0.003000,0.004713,0.000001,0.036690,0.236383,calls/second,seconds
1517522958,4,0.004000,0.001454,0.000000,0.001475,0.001000,0.001000,0.004000,0.004000,0.004000,0.004000,0.004641,0.000000,0.034901,0.232476,calls/second,seconds
1519374973,4,0.007000,0.001883,0.000000,0.002847,0.000000,0.001000,0.007000,0.007000,0.007000,0.007000,0.004669,0.000000,0.012356,0.079079,calls/second,seconds
1519381976,4,0.003000,0.001494,0.000000,0.001500,0.000000,0.003000,0.003000,0.003000,0.003000,0.003000,0.004637,0.000001,0.046275,0.309393,calls/second,seconds
1519661541,4,0.001000,0.000233,0.000000,0.000422,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.004740,0.000000,0.012990,0.080408,calls/second,seconds
1519664145,4,0.004000,0.001474,0.000000,0.001652,0.000000,0.002000,0.004000,0.004000,0.004000,0.004000,0.004727,0.000001,0.048648,0.314593,calls/second,seconds
