t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1513089954,2,0.015000,0.011500,0.008000,0.003500,0.015000,0.015000,0.015000,0.015000,0.015000,0.015000,0.002379,0.000000,0.024733,0.158173,calls/second,seconds
1513110998,1,0.205000,0.205000,0.205000,0.000000,0.205000,0.205000,0.205000,0.205000,0.205000,0.205000,0.001193,0.000000,0.012574,0.079527,calls/second,seconds
1513248006,1,0.148000,0.148000,0.148000,0.000000,0.148000,0.148000,0.148000,0.148000,0.148000,0.148000,0.001198,0.000000,0.012786,0.079970,calls/second,seconds
1513267498,1,0.099000,0.099000,0.099000,0.000000,0.099000,0.099000,0.099000,0.099000,0.099000,0.099000,0.001251,0.000000,0.014368,0.083141,calls/second,seconds
1515080661,1,0.183000,0.183000,0.183000,0.000000,0.183000,0.183000,0.183000,0.183000,0.183000,0.183000,0.001194,0.000000,0.012574,0.079527,calls/second,seconds
1515769897,1,0.117000,0.117000,0.117000,0.000000,0.117000,0.117000,0.117000,0.117000,0.117000,0.117000,0.001204,0.000000,0.012786,0.079970,calls/second,seconds
1515781585,1,0.191000,0.191000,0.191000,0.000000,0.191000,0.191000,0.191000,0.191000,0.191000,0.191000,0.001227,0.000000,0.013441,0.081314,calls/second,seconds
1515782918,1,0.128000,0.128000,0.128000,0.000000,0.128000,0.128000,0.128000,0.128000,0.128000,0.128000,0.001213,0.000000,0.013219,0.080863,calls/second,seconds
1516041169,1,0.086000,0.086000,0.086000,0.000000,0.086000,0.086000,0.086000,0.086000,0.086000,0.086000,0.001165,0.000000,0.011763,0.077779,calls/second,seconds
1516877847,1,0.156000,0.156000,0.156000,0.000000,0.156000,0.156000,0.156000,0.156000,0.156000,0.156000,0.001199,0.000000,0.012786,0.079970,calls/second,seconds
1517522958,1,0.104000,0.104000,0.104000,0.000000,0.104000,0.104000,0.104000,0.104000,0.104000,0.104000,0.001173,0.000000,0.011961,0.078212,calls/second,seconds
1519374973,1,0.094000,0.094000,0.094000,0.000000,0.094000,0.094000,0.094000,0.094000,0.094000,0.094000,0.001182,0.000000,0.012162,0.078648,calls/second,seconds
1519381976,1,0.090000,0.090000,0.090000,0.000000,0.090000,0.090000,0.090000,0.090000,0.090000,0.090000,0.001166,0.000000,0.011763,0.077779,calls/second,seconds
1519661541,1,0.111000,0.111000,0.111000,0.000000,0.111000,0.111000,0.111000,0.111000,0.111000,0.111000,0.001201,0.000000,0.012786,0.079970,calls/second,seconds
1519664145,1,0.236000,0.236000,0.236000,0.000000,0.236000,0.236000,0.236000,0.236000,0.236000,0.236000,0.001193,0.000000,0.012574,0.079527,calls/second,seconds
