t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1513089954,4,0.001000,0.000250,0.000000,0.000433,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.004682,0.000001,0.047844,0.312850,calls/second,seconds
1513110998,4,0.001000,0.000246,0.000000,0.000431,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.004728,0.000001,0.048648,0.314593,calls/second,seconds
1513248006,4,0.001000,0.000251,0.000000,0.000434,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.004747,0.000001,0.049466,0.316345,calls/second,seconds
1513267498,4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004975,0.000001,0.056521,0.330722,calls/second,seconds
1515080661,4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004722,0.000001,0.048648,0.314593,calls/second,seconds
1515769897,4,0.001000,0.000252,0.000000,0.000434,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.004760,0.000001,0.049466,0.316345,calls/second,seconds
1515781585,4,0.001000,0.000246,0.000000,0.000431,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.004860,0.000001,0.052876,0.323454,calls/second,seconds
1515782918,4,0.001000,0.000250,0.000000,0.000433,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.004819,0.000001,0.051142,0.319880,calls/second,seconds
1516041169,4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004637,0.000001,0.046275,0.309393,calls/second,seconds
1516877847,4,0.001000,0.000496,0.000000,0.000500,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.004731,0.000001,0.048648,0.314593,calls/second,seconds
1517522958,4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004662,0.000001,0.047053,0.311116,calls/second,seconds
1519374973,4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004700,0.000001,0.047844,0.312850,calls/second,seconds
1519381976,4,0.001000,0.000250,0.000000,0.000433,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.004641,0.000001,0.046275,0.309393,calls/second,seconds
1519661541,4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004769,0.000001,0.050297,0.318108,calls/second,seconds
1519664145,4,0.001000,0.000247,0.000000,0.000431,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.004732,0.000001,0.048648,0.314593,calls/second,seconds
