t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1513089954,1,0.128000,0.128000,0.128000,0.000000,0.128000,0.128000,0.128000,0.128000,0.128000,0.128000,0.001171,0.000000,0.011961,0.078212,calls/second,seconds
1513110998,1,0.578000,0.578000,0.578000,0.000000,0.578000,0.578000,0.578000,0.578000,0.578000,0.578000,0.001184,0.000000,0.012366,0.079086,calls/second,seconds
1513248006,1,0.880000,0.880000,0.880000,0.000000,0.880000,0.880000,0.880000,0.880000,0.880000,0.880000,0.001189,0.000000,0.012366,0.079086,calls/second,seconds
1513267498,1,0.345000,0.345000,0.345000,0.000000,0.345000,0.345000,0.345000,0.345000,0.345000,0.345000,0.001245,0.000000,0.014130,0.082681,calls/second,seconds
1515080661,1,1.230000,1.230000,1.230000,0.000000,1.230000,1.230000,1.230000,1.230000,1.230000,1.230000,0.001184,0.000000,0.012366,0.079086,calls/second,seconds
1515769897,1,0.795000,0.795000,0.795000,0.000000,0.795000,0.795000,0.795000,0.795000,0.795000,0.795000,0.001195,0.000000,0.012574,0.079527,calls/second,seconds
1515781585,1,0.433000,0.433000,0.433000,0.000000,0.433000,0.433000,0.433000,0.433000,0.433000,0.433000,0.001217,0.000000,0.013219,0.080863,calls/second,seconds
1515782918,1,0.391000,0.391000,0.391000,0.000000,0.391000,0.391000,0.391000,0.391000,0.391000,0.391000,0.001206,0.000000,0.013000,0.080415,calls/second,seconds
1516041169,1,0.239000,0.239000,0.239000,0.000000,0.239000,0.239000,0.239000,0.239000,0.239000,0.239000,0.001160,0.000000,0.011569,0.077348,calls/second,seconds
1516877847,1,1.410000,1.410000,1.410000,0.000000,1.410000,1.410000,1.410000,1.410000,1.410000,1.410000,0.001186,0.000000,0.012366,0.079086,calls/second,seconds
1517522958,1,0.832000,0.832000,0.832000,0.000000,0.832000,0.832000,0.832000,0.832000,0.832000,0.832000,0.001167,0.000000,0.011763,0.077779,calls/second,seconds
1519374973,1,0.358000,0.358000,0.358000,0.000000,0.358000,0.358000,0.358000,0.358000,0.358000,0.358000,0.001176,0.000000,0.011961,0.078212,calls/second,seconds
1519381976,1,0.241000,0.241000,0.241000,0.000000,0.241000,0.241000,0.241000,0.241000,0.241000,0.241000,0.001161,0.000000,0.011569,0.077348,calls/second,seconds
1519661541,1,0.561000,0.561000,0.561000,0.000000,0.561000,0.561000,0.561000,0.561000,0.561000,0.561000,0.001194,0.000000,0.012574,0.079527,calls/second,seconds
1519664145,1,0.721000,0.721000,0.721000,0.000000,0.721000,0.721000,0.721000,0.721000,0.721000,0.721000,0.001186,0.000000,0.012366,0.079086,calls/second,seconds
