t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1513089954,1,0.010000,0.010000,0.010000,0.000000,0.010000,0.010000,0.010000,0.010000,0.010000,0.010000,0.001171,0.000000,0.011961,0.078212,calls/second,seconds
1513110998,1,0.096000,0.096000,0.096000,0.000000,0.096000,0.096000,0.096000,0.096000,0.096000,0.096000,0.001183,0.000000,0.012162,0.078648,calls/second,seconds
1513248006,1,0.086000,0.086000,0.086000,0.000000,0.086000,0.086000,0.086000,0.086000,0.086000,0.086000,0.001187,0.000000,0.012366,0.079086,calls/second,seconds
1513267498,1,0.053000,0.053000,0.053000,0.000000,0.053000,0.053000,0.053000,0.053000,0.053000,0.053000,0.001244,0.000000,0.014130,0.082681,calls/second,seconds
1515080661,1,0.220000,0.220000,0.220000,0.000000,0.220000,0.220000,0.220000,0.220000,0.220000,0.220000,0.001181,0.000000,0.012162,0.078648,calls/second,seconds
1515769897,1,0.118000,0.118000,0.118000,0.000000,0.118000,0.118000,0.118000,0.118000,0.118000,0.118000,0.001192,0.000000,0.012574,0.079527,calls/second,seconds
1515781585,1,0.103000,0.103000,0.103000,0.000000,0.103000,0.103000,0.103000,0.103000,0.103000,0.103000,0.001216,0.000000,0.013219,0.080863,calls/second,seconds
1515782918,1,0.087000,0.087000,0.087000,0.000000,0.087000,0.087000,0.087000,0.087000,0.087000,0.087000,0.001205,0.000000,0.013000,0.080415,calls/second,seconds
1516041169,1,0.065000,0.065000,0.065000,0.000000,0.065000,0.065000,0.065000,0.065000,0.065000,0.065000,0.001159,0.000000,0.011569,0.077348,calls/second,seconds
1516877847,1,0.151000,0.151000,0.151000,0.000000,0.151000,0.151000,0.151000,0.151000,0.151000,0.151000,0.001183,0.000000,0.012162,0.078648,calls/second,seconds
1517522958,1,0.089000,0.089000,0.089000,0.000000,0.089000,0.089000,0.089000,0.089000,0.089000,0.089000,0.001166,0.000000,0.011763,0.077779,calls/second,seconds
1519374973,1,0.059000,0.059000,0.059000,0.000000,0.059000,0.059000,0.059000,0.059000,0.059000,0.059000,0.001175,0.000000,0.011961,0.078212,calls/second,seconds
1519381976,1,0.051000,0.051000,0.051000,0.000000,0.051000,0.051000,0.051000,0.051000,0.051000,0.051000,0.001160,0.000000,0.011569,0.077348,calls/second,seconds
1519661541,1,0.051000,0.051000,0.051000,0.000000,0.051000,0.051000,0.051000,0.051000,0.051000,0.051000,0.001193,0.000000,0.012574,0.079527,calls/second,seconds
1519664145,1,0.175000,0.175000,0.175000,0.000000,0.175000,0.175000,0.175000,0.175000,0.175000,0.175000,0.001184,0.000000,0.012366,0.079086,calls/second,seconds
