t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1513110998,16,0.007000,0.000500,0.000000,0.001696,0.000000,0.000000,0.007000,0.007000,0.007000,0.007000,0.018926,0.000003,0.194592,1.258370,calls/second,seconds
1513248006,16,0.010000,0.000625,0.000000,0.002421,0.000000,0.000000,0.010000,0.010000,0.010000,0.010000,0.019000,0.000003,0.197863,1.265381,calls/second,seconds
1513267498,16,0.004000,0.000500,0.000000,0.001000,0.000000,0.001000,0.004000,0.004000,0.004000,0.004000,0.019905,0.000006,0.226084,1.322888,calls/second,seconds
1515080661,16,0.006000,0.000563,0.000000,0.001456,0.000000,0.001000,0.006000,0.006000,0.006000,0.006000,0.018907,0.000003,0.194592,1.258370,calls/second,seconds
1515769897,16,0.011000,0.000938,0.000000,0.002633,0.000000,0.001000,0.011000,0.011000,0.011000,0.011000,0.019088,0.000003,0.201188,1.272430,calls/second,seconds
1515781585,16,0.006000,0.000625,0.000000,0.001452,0.000000,0.001000,0.006000,0.006000,0.006000,0.006000,0.019455,0.000004,0.211503,1.293815,calls/second,seconds
1515782918,16,0.007000,0.000688,0.000000,0.001685,0.000000,0.001000,0.007000,0.007000,0.007000,0.007000,0.019288,0.000004,0.208007,1.286647,calls/second,seconds
1516041169,16,0.004000,0.000313,0.000000,0.000982,0.000000,0.000000,0.004000,0.004000,0.004000,0.004000,0.018554,0.000002,0.185102,1.237571,calls/second,seconds
1516877847,16,0.005000,0.000625,0.000000,0.001269,0.000000,0.001000,0.005000,0.005000,0.005000,0.005000,0.018933,0.000003,0.194592,1.258370,calls/second,seconds
1517522958,16,0.005000,0.000313,0.000000,0.001210,0.000000,0.000000,0.005000,0.005000,0.005000,0.005000,0.018658,0.000002,0.188213,1.244466,calls/second,seconds
1519374973,16,0.004000,0.000375,0.000000,0.000992,0.000000,0.000000,0.004000,0.004000,0.004000,0.004000,0.018809,0.000002,0.191376,1.251399,calls/second,seconds
1519381976,16,0.004000,0.000250,0.000000,0.000968,0.000000,0.000000,0.004000,0.004000,0.004000,0.004000,0.018569,0.000002,0.185102,1.237571,calls/second,seconds
1519661541,16,0.004000,0.000313,0.000000,0.000982,0.000000,0.000000,0.004000,0.004000,0.004000,0.004000,0.019085,0.000003,0.201188,1.272430,calls/second,seconds
1519664145,16,0.009000,0.000688,0.000000,0.002171,0.000000,0.000000,0.009000,0.009000,0.009000,0.009000,0.018945,0.000003,0.197863,1.265381,calls/second,seconds
