t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1513089954,193691,0.001000,0.000021,0.000000,0.000145,0.000000,0.000000,0.000000,0.001000,0.001000,0.001000,226.844076,19.255022,212.642396,148.239639,calls/second,seconds
1513110998,9,0.001000,0.000104,0.000000,0.000305,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.010667,0.000001,0.074832,0.475847,calls/second,seconds
1513248006,9,0.002000,0.000456,0.000000,0.000702,0.000000,0.001000,0.002000,0.002000,0.002000,0.002000,0.010709,0.000001,0.074832,0.475847,calls/second,seconds
1513267498,9,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.011205,0.000002,0.085506,0.497473,calls/second,seconds
1515080661,9,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010660,0.000001,0.074832,0.475847,calls/second,seconds
1515104961,6,0.001000,0.000167,0.000000,0.000373,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.026908,0.033340,0.586053,0.945003,calls/second,seconds
1515170661,108,0.001000,0.000041,0.000000,0.000198,0.000000,0.000000,0.000000,0.001000,0.001000,0.001000,0.220976,0.214744,0.457731,0.800763,calls/second,seconds
1515194961,6,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.021232,0.012265,0.479820,0.884057,calls/second,seconds
1515769897,9,0.001000,0.000130,0.000000,0.000337,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.010758,0.000001,0.076101,0.478505,calls/second,seconds
1515781585,9,0.001000,0.000332,0.000000,0.000471,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.010959,0.000002,0.080003,0.486547,calls/second,seconds
1515782918,9,0.001000,0.000103,0.000000,0.000304,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.010865,0.000001,0.078680,0.483852,calls/second,seconds
1516041169,9,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010443,0.000001,0.070006,0.465389,calls/second,seconds
1516877847,9,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010679,0.000001,0.074843,0.475854,calls/second,seconds
1517522958,9,0.001000,0.000207,0.000000,0.000405,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.010509,0.000001,0.071183,0.467982,calls/second,seconds
1519316658,24,0.001000,0.000052,0.000000,0.000222,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.029707,0.000003,0.087978,0.501829,calls/second,seconds
1519374973,9,0.001000,0.000102,0.000000,0.000302,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.010588,0.000001,0.073606,0.473218,calls/second,seconds
1519381976,9,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010452,0.000001,0.070016,0.465396,calls/second,seconds
1519661541,9,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010745,0.000001,0.076101,0.478505,calls/second,seconds
1519664145,9,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010674,0.000001,0.074854,0.475862,calls/second,seconds
