t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1513091754,1,0.071000,0.071000,0.071000,0.000000,0.071000,0.071000,0.071000,0.071000,0.071000,0.071000,0.001172,0.000000,0.011961,0.078212,calls/second,seconds
1513093554,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001172,0.000000,0.011961,0.078212,calls/second,seconds
1513095354,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001172,0.000000,0.011961,0.078212,calls/second,seconds
1513097154,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001172,0.000000,0.011961,0.078212,calls/second,seconds
1513098954,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001172,0.000000,0.011961,0.078212,calls/second,seconds
1513100754,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001172,0.000000,0.011961,0.078212,calls/second,seconds
1513102554,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001172,0.000000,0.011961,0.078212,calls/second,seconds
1513104354,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001172,0.000000,0.011961,0.078212,calls/second,seconds
1513112798,1,0.190000,0.190000,0.190000,0.000000,0.190000,0.190000,0.190000,0.190000,0.190000,0.190000,0.001188,0.000000,0.012366,0.079086,calls/second,seconds
1513114598,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001187,0.000000,0.012366,0.079086,calls/second,seconds
1513116398,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001187,0.000000,0.012366,0.079086,calls/second,seconds
1513118198,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001187,0.000000,0.012366,0.079086,calls/second,seconds
1513119998,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001187,0.000000,0.012366,0.079086,calls/second,seconds
1513121798,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001187,0.000000,0.012366,0.079086,calls/second,seconds
1513123598,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001187,0.000000,0.012366,0.079086,calls/second,seconds
1513125398,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001187,0.000000,0.012366,0.079086,calls/second,seconds
1513127198,1,0.001000,0.001000,0.001000,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001187,0.000000,0.012366,0.079086,calls/second,seconds
1513128998,1,0.001000,0.001000,0.001000,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001187,0.000000,0.012366,0.079086,calls/second,seconds
1513130798,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001187,0.000000,0.012366,0.079086,calls/second,seconds
1513132598,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001187,0.000000,0.012366,0.079086,calls/second,seconds
1513134398,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001187,0.000000,0.012366,0.079086,calls/second,seconds
1513136198,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001188,0.000000,0.012366,0.079086,calls/second,seconds
1513137998,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001187,0.000000,0.012366,0.079086,calls/second,seconds
1513139798,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001187,0.000000,0.012366,0.079086,calls/second,seconds
1513141598,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001187,0.000000,0.012366,0.079086,calls/second,seconds
