t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1513093554,1,0.004000,0.004000,0.004000,0.000000,0.004000,0.004000,0.004000,0.004000,0.004000,0.004000,0.001171,0.000000,0.011961,0.078212,calls/second,seconds
1513097154,1,0.002000,0.002000,0.002000,0.000000,0.002000,0.002000,0.002000,0.002000,0.002000,0.002000,0.001171,0.000000,0.011961,0.078212,calls/second,seconds
1513100754,1,0.003000,0.003000,0.003000,0.000000,0.003000,0.003000,0.003000,0.003000,0.003000,0.003000,0.001171,0.000000,0.011961,0.078212,calls/second,seconds
1513104354,1,0.002000,0.002000,0.002000,0.000000,0.002000,0.002000,0.002000,0.002000,0.002000,0.002000,0.001171,0.000000,0.011961,0.078212,calls/second,seconds
1513114598,1,0.018000,0.018000,0.018000,0.000000,0.018000,0.018000,0.018000,0.018000,0.018000,0.018000,0.001183,0.000000,0.012366,0.079086,calls/second,seconds
1513118198,1,0.007000,0.007000,0.007000,0.000000,0.007000,0.007000,0.007000,0.007000,0.007000,0.007000,0.001183,0.000000,0.012162,0.078648,calls/second,seconds
1513121798,1,0.004000,0.004000,0.004000,0.000000,0.004000,0.004000,0.004000,0.004000,0.004000,0.004000,0.001183,0.000000,0.012162,0.078648,calls/second,seconds
1513125398,1,0.008000,0.008000,0.008000,0.000000,0.008000,0.008000,0.008000,0.008000,0.008000,0.008000,0.001183,0.000000,0.012162,0.078648,calls/second,seconds
1513128998,1,0.004000,0.004000,0.004000,0.000000,0.004000,0.004000,0.004000,0.004000,0.004000,0.004000,0.001183,0.000000,0.012162,0.078648,calls/second,seconds
1513132598,1,0.008000,0.008000,0.008000,0.000000,0.008000,0.008000,0.008000,0.008000,0.008000,0.008000,0.001183,0.000000,0.012162,0.078648,calls/second,seconds
1513136198,1,0.005000,0.005000,0.005000,0.000000,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.001183,0.000000,0.012162,0.078648,calls/second,seconds
1513139798,1,0.006000,0.006000,0.006000,0.000000,0.006000,0.006000,0.006000,0.006000,0.006000,0.006000,0.001183,0.000000,0.012162,0.078648,calls/second,seconds
1513143398,1,0.007000,0.007000,0.007000,0.000000,0.007000,0.007000,0.007000,0.007000,0.007000,0.007000,0.001183,0.000000,0.012162,0.078648,calls/second,seconds
1513146998,1,0.006000,0.006000,0.006000,0.000000,0.006000,0.006000,0.006000,0.006000,0.006000,0.006000,0.001183,0.000000,0.012162,0.078648,calls/second,seconds
1513150598,1,0.007000,0.007000,0.007000,0.000000,0.007000,0.007000,0.007000,0.007000,0.007000,0.007000,0.001183,0.000000,0.012162,0.078648,calls/second,seconds
1513154198,1,0.008000,0.008000,0.008000,0.000000,0.008000,0.008000,0.008000,0.008000,0.008000,0.008000,0.001183,0.000000,0.012162,0.078648,calls/second,seconds
1513157781,1,0.006000,0.006000,0.006000,0.000000,0.006000,0.006000,0.006000,0.006000,0.006000,0.006000,0.001208,0.000000,0.013000,0.080415,calls/second,seconds
1513161381,1,0.009000,0.009000,0.009000,0.000000,0.009000,0.009000,0.009000,0.009000,0.009000,0.009000,0.001208,0.000000,0.013000,0.080415,calls/second,seconds
1513164981,1,0.007000,0.007000,0.007000,0.000000,0.007000,0.007000,0.007000,0.007000,0.007000,0.007000,0.001208,0.000000,0.013000,0.080415,calls/second,seconds
1513168581,1,0.007000,0.007000,0.007000,0.000000,0.007000,0.007000,0.007000,0.007000,0.007000,0.007000,0.001208,0.000000,0.013000,0.080415,calls/second,seconds
1513172181,1,0.008000,0.008000,0.008000,0.000000,0.008000,0.008000,0.008000,0.008000,0.008000,0.008000,0.001208,0.000000,0.013000,0.080415,calls/second,seconds
1513175781,1,0.007000,0.007000,0.007000,0.000000,0.007000,0.007000,0.007000,0.007000,0.007000,0.007000,0.001208,0.000000,0.013000,0.080415,calls/second,seconds
1513179381,1,0.006000,0.006000,0.006000,0.000000,0.006000,0.006000,0.006000,0.006000,0.006000,0.006000,0.001208,0.000000,0.013000,0.080415,calls/second,seconds
