t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1513089954,4,0.008000,0.000932,0.000000,0.002043,0.000000,0.001000,0.008000,0.008000,0.008000,0.008000,0.012795,0.002667,0.077197,0.145126,calls/second,seconds
1513099854,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001367,0.000001,0.017844,0.089368,calls/second,seconds
1513110998,8,0.012000,0.001564,0.001000,0.002427,0.001000,0.001000,0.012000,0.012000,0.012000,0.012000,0.010021,0.000001,0.016302,0.086524,calls/second,seconds
1513248006,4,0.018000,0.004962,0.001000,0.006572,0.001000,0.003000,0.018000,0.018000,0.018000,0.018000,0.005309,0.000002,0.033981,0.175801,calls/second,seconds
1513267498,4,0.008000,0.000784,0.000000,0.002071,0.000000,0.001000,0.008000,0.008000,0.008000,0.008000,0.006589,0.000019,0.028875,0.104567,calls/second,seconds
1513702473,1,0.002000,0.002000,0.002000,0.000000,0.002000,0.002000,0.002000,0.002000,0.002000,0.002000,0.003194,0.001240,0.072360,0.142512,calls/second,seconds
1513703373,2,0.002000,0.001001,0.001000,0.000023,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.003366,0.003890,0.030945,0.105417,calls/second,seconds
1513818573,2,0.001000,0.001000,0.001000,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.002619,0.000009,0.016871,0.087106,calls/second,seconds
1515080661,4,0.016000,0.005312,0.001000,0.005952,0.003000,0.003000,0.016000,0.016000,0.016000,0.016000,0.005405,0.000002,0.035098,0.177746,calls/second,seconds
1515094161,1,0.003000,0.003000,0.003000,0.000000,0.003000,0.003000,0.003000,0.003000,0.003000,0.003000,0.004848,0.007135,0.102683,0.160147,calls/second,seconds
1515099561,1,0.002000,0.002000,0.002000,0.000000,0.002000,0.002000,0.002000,0.002000,0.002000,0.002000,0.004182,0.004327,0.092912,0.154897,calls/second,seconds
1515100461,1,0.002000,0.002000,0.002000,0.000000,0.002000,0.002000,0.002000,0.002000,0.002000,0.002000,0.001141,0.000000,0.011005,0.076070,calls/second,seconds
1515154461,1,0.001000,0.001000,0.001000,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001785,0.000019,0.031447,0.107948,calls/second,seconds
1515158061,1,0.001000,0.001000,0.001000,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.010220,0.044626,0.148164,0.180967,calls/second,seconds
1515509061,1,0.001000,0.001000,0.001000,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001262,0.000000,0.014609,0.083604,calls/second,seconds
1515531561,1,0.002000,0.002000,0.002000,0.000000,0.002000,0.002000,0.002000,0.002000,0.002000,0.002000,0.002754,0.000539,0.061251,0.134811,calls/second,seconds
1515769897,4,0.010000,0.003077,0.002000,0.001861,0.003000,0.003000,0.010000,0.010000,0.010000,0.010000,0.005054,0.000001,0.015627,0.085160,calls/second,seconds
1515781585,6,0.017000,0.001830,0.001000,0.000956,0.002000,0.002000,0.002000,0.002000,0.002000,0.017000,0.009889,0.000364,0.032233,0.106409,calls/second,seconds
1515782918,4,0.022000,0.005447,0.002000,0.007554,0.002000,0.002000,0.022000,0.022000,0.022000,0.022000,0.006789,0.000017,0.030501,0.106788,calls/second,seconds
1516041169,4,0.007000,0.001900,0.000000,0.002527,0.001000,0.001000,0.007000,0.007000,0.007000,0.007000,0.004804,0.000000,0.026031,0.160851,calls/second,seconds
