t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1513705173,1,0.001000,0.001000,0.001000,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001389,0.000001,0.018759,0.090870,calls/second,seconds
1513708773,8,0.002000,0.001751,0.001000,0.000432,0.002000,0.002000,0.002000,0.002000,0.002000,0.002000,0.012643,0.000048,0.199223,0.798963,calls/second,seconds
1515094161,1,0.002000,0.002000,0.002000,0.000000,0.002000,0.002000,0.002000,0.002000,0.002000,0.002000,0.008757,0.034755,0.140938,0.177976,calls/second,seconds
1515100461,1,0.001000,0.001000,0.001000,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001244,0.000000,0.014130,0.082681,calls/second,seconds
1515104961,40,0.002000,0.001450,0.000000,0.000604,0.002000,0.002000,0.002000,0.002000,0.002000,0.002000,0.124455,0.065441,0.144485,0.176788,calls/second,seconds
1515115761,4,0.002000,0.000743,0.000000,0.000850,0.000000,0.002000,0.002000,0.002000,0.002000,0.002000,0.035255,0.044603,0.148163,0.180967,calls/second,seconds
1515116661,8,0.002000,0.001255,0.001000,0.000436,0.001000,0.002000,0.002000,0.002000,0.002000,0.002000,0.031522,0.008949,0.186080,0.309842,calls/second,seconds
1515158061,5,0.001000,0.001000,0.001000,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.012631,0.007338,0.060115,0.132900,calls/second,seconds
1515158961,133,0.003000,0.001388,0.000000,0.000506,0.001000,0.002000,0.002000,0.002000,0.002000,0.003000,0.170333,0.005370,0.113075,0.169901,calls/second,seconds
1515159861,12,0.002000,0.001463,0.001000,0.000499,0.001000,0.002000,0.002000,0.002000,0.002000,0.002000,0.024161,0.002399,0.052909,0.124767,calls/second,seconds
1515169761,12,0.002000,0.001284,0.001000,0.000451,0.001000,0.002000,0.002000,0.002000,0.002000,0.002000,0.013866,0.000007,0.015614,0.082795,calls/second,seconds
1515170661,22,0.002000,0.001322,0.000000,0.000469,0.001000,0.002000,0.002000,0.002000,0.002000,0.002000,0.039374,0.022603,0.063096,0.125718,calls/second,seconds
1515194061,4,0.002000,0.001257,0.001000,0.000437,0.001000,0.002000,0.002000,0.002000,0.002000,0.002000,0.006714,0.000014,0.029435,0.105582,calls/second,seconds
1515194961,8,0.002000,0.001040,0.001000,0.000197,0.001000,0.001000,0.001000,0.002000,0.002000,0.002000,0.028238,0.015971,0.250306,0.446755,calls/second,seconds
1515195861,8,0.002000,0.001243,0.001000,0.000429,0.001000,0.001000,0.002000,0.002000,0.002000,0.002000,0.009977,0.000001,0.029750,0.168166,calls/second,seconds
1516971447,9,0.002000,0.001000,0.000000,0.000483,0.001000,0.001000,0.002000,0.002000,0.002000,0.002000,0.017867,0.000423,0.307925,0.923763,calls/second,seconds
1517224347,21,0.002000,0.000850,0.000000,0.000705,0.001000,0.001000,0.002000,0.002000,0.002000,0.002000,0.030928,0.000008,0.028639,0.105585,calls/second,seconds
1518701058,9,0.001000,0.000455,0.000000,0.000498,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.015015,0.000077,0.196832,0.727972,calls/second,seconds
1519235658,45,0.001000,0.000534,0.000000,0.000499,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.383652,0.326064,0.393811,0.398566,calls/second,seconds
1519237458,18,0.002000,0.000561,0.000000,0.000598,0.001000,0.001000,0.002000,0.002000,0.002000,0.002000,0.028678,0.000017,0.032678,0.109991,calls/second,seconds
