t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1513705173,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001389,0.000001,0.018759,0.090870,calls/second,seconds
1513708773,8,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.012643,0.000048,0.199223,0.798963,calls/second,seconds
1515094161,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.008756,0.034755,0.140938,0.177976,calls/second,seconds
1515100461,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001244,0.000000,0.014130,0.082681,calls/second,seconds
1515104961,43,0.001000,0.000020,0.000000,0.000139,0.000000,0.000000,0.000000,0.000000,0.001000,0.001000,0.133786,0.068775,0.150303,0.179570,calls/second,seconds
1515115761,4,0.001000,0.000261,0.000000,0.000439,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.035255,0.044603,0.148163,0.180967,calls/second,seconds
1515116661,8,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031522,0.008949,0.186080,0.309842,calls/second,seconds
1515158061,5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.012631,0.007338,0.060115,0.132900,calls/second,seconds
1515158961,142,0.001000,0.000043,0.000000,0.000202,0.000000,0.000000,0.000000,0.001000,0.001000,0.001000,0.181859,0.005480,0.117687,0.175031,calls/second,seconds
1515159861,12,0.001000,0.000136,0.000000,0.000343,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.024161,0.002399,0.052909,0.124767,calls/second,seconds
1515169761,12,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.013866,0.000007,0.015614,0.082795,calls/second,seconds
1515170661,22,0.001000,0.000101,0.000000,0.000301,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.039374,0.022603,0.063096,0.125718,calls/second,seconds
1515194061,4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.006714,0.000014,0.029435,0.105582,calls/second,seconds
1515194961,8,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.028238,0.015971,0.250306,0.446755,calls/second,seconds
1515195861,8,0.001000,0.000100,0.000000,0.000300,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.009977,0.000001,0.029750,0.168166,calls/second,seconds
1516971447,9,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.017867,0.000423,0.307925,0.923763,calls/second,seconds
1517224347,24,0.001000,0.000083,0.000000,0.000276,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.035346,0.000008,0.029719,0.107172,calls/second,seconds
1518701058,9,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.015015,0.000077,0.196832,0.727972,calls/second,seconds
1519235658,48,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.409220,0.345246,0.402067,0.401693,calls/second,seconds
1519237458,21,0.001000,0.000097,0.000000,0.000296,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.033457,0.000019,0.033976,0.111679,calls/second,seconds
