t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1515782918,19,0.001000,0.000232,0.000000,0.000422,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.034824,0.023312,0.251128,0.778600,calls/second,seconds
1515783818,20,0.001000,0.000012,0.000000,0.000111,0.000000,0.000000,0.000000,0.000000,0.001000,0.001000,0.024965,0.023527,0.036403,0.096615,calls/second,seconds
1515784718,20,0.001000,0.000028,0.000000,0.000165,0.000000,0.000000,0.000000,0.001000,0.001000,0.001000,0.024963,0.023142,0.036337,0.096605,calls/second,seconds
1515785618,20,0.001000,0.000228,0.000000,0.000420,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.024962,0.023142,0.036337,0.096605,calls/second,seconds
1515786518,20,0.001000,0.000231,0.000000,0.000421,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.024965,0.023143,0.036350,0.096609,calls/second,seconds
1515787418,20,0.001000,0.000000,0.000000,0.000008,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.024949,0.023509,0.036380,0.096610,calls/second,seconds
1515788318,20,0.001000,0.000002,0.000000,0.000049,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,0.024962,0.023142,0.036344,0.096608,calls/second,seconds
1515789218,20,0.001000,0.000201,0.000000,0.000401,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.024959,0.023161,0.036381,0.096616,calls/second,seconds
1515790118,20,0.001000,0.000203,0.000000,0.000402,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.024957,0.023509,0.036380,0.096610,calls/second,seconds
1515791018,20,0.001000,0.000013,0.000000,0.000111,0.000000,0.000000,0.000000,0.000000,0.001000,0.001000,0.024959,0.023161,0.036374,0.096613,calls/second,seconds
1515791918,20,0.001000,0.000515,0.000000,0.000500,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.024960,0.023161,0.036374,0.096613,calls/second,seconds
1515792818,20,0.001000,0.000000,0.000000,0.000009,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.024955,0.023143,0.036357,0.096612,calls/second,seconds
1515793718,20,0.001000,0.000013,0.000000,0.000112,0.000000,0.000000,0.000000,0.000000,0.001000,0.001000,0.024956,0.023528,0.036423,0.096622,calls/second,seconds
1515794618,20,0.001000,0.000231,0.000000,0.000422,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.024956,0.023142,0.036337,0.096605,calls/second,seconds
1515795518,20,0.001000,0.000000,0.000000,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.024956,0.023509,0.036387,0.096614,calls/second,seconds
1515796418,20,0.001000,0.000031,0.000000,0.000173,0.000000,0.000000,0.000000,0.001000,0.001000,0.001000,0.024957,0.023161,0.036368,0.096612,calls/second,seconds
1515797318,20,0.001000,0.000241,0.000000,0.000427,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.024957,0.023161,0.036381,0.096616,calls/second,seconds
1515798218,20,0.001000,0.000001,0.000000,0.000032,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,0.024956,0.023528,0.036423,0.096622,calls/second,seconds
1515799118,20,0.001000,0.000188,0.000000,0.000390,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.024957,0.023509,0.036380,0.096610,calls/second,seconds
1515800018,20,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.024956,0.023528,0.036423,0.096622,calls/second,seconds
1515800918,20,0.001000,0.000244,0.000000,0.000429,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.024956,0.023527,0.036410,0.096618,calls/second,seconds
1515801818,20,0.001000,0.000000,0.000000,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.024958,0.023161,0.036368,0.096612,calls/second,seconds
1515802718,20,0.001000,0.000000,0.000000,0.000009,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.024955,0.023142,0.036337,0.096605,calls/second,seconds
1515803618,20,0.001000,0.000001,0.000000,0.000033,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,0.024957,0.023142,0.036344,0.096608,calls/second,seconds
1515804518,20,0.001000,0.000001,0.000000,0.000031,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.024957,0.023142,0.036344,0.096608,calls/second,seconds
