t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1515782918,19,0.008000,0.005527,0.004000,0.001649,0.006000,0.007000,0.008000,0.008000,0.008000,0.008000,0.034823,0.023312,0.251128,0.778600,calls/second,seconds
1515783818,20,0.010000,0.006588,0.003000,0.000834,0.007000,0.007000,0.007000,0.008000,0.010000,0.010000,0.024965,0.023527,0.036403,0.096615,calls/second,seconds
1515784718,20,0.008000,0.006695,0.003000,0.000706,0.007000,0.007000,0.007000,0.007000,0.007000,0.007000,0.024962,0.023142,0.036337,0.096605,calls/second,seconds
1515785618,20,0.008000,0.005090,0.003000,0.001645,0.006000,0.007000,0.007000,0.007000,0.008000,0.008000,0.024962,0.023142,0.036337,0.096605,calls/second,seconds
1515786518,20,0.009000,0.005050,0.003000,0.001826,0.006000,0.007000,0.007000,0.008000,0.009000,0.009000,0.024964,0.023143,0.036350,0.096609,calls/second,seconds
1515787418,20,0.008000,0.005237,0.003000,0.002179,0.006000,0.008000,0.008000,0.008000,0.008000,0.008000,0.024949,0.023509,0.036380,0.096610,calls/second,seconds
1515788318,20,0.010000,0.005189,0.004000,0.001280,0.004000,0.006000,0.007000,0.007000,0.007000,0.008000,0.024962,0.023142,0.036344,0.096608,calls/second,seconds
1515789218,20,0.007000,0.005018,0.003000,0.001807,0.006000,0.007000,0.007000,0.007000,0.007000,0.007000,0.024958,0.023161,0.036381,0.096616,calls/second,seconds
1515790118,20,0.008000,0.005680,0.003000,0.000636,0.006000,0.006000,0.006000,0.007000,0.007000,0.007000,0.024956,0.023509,0.036380,0.096610,calls/second,seconds
1515791018,20,0.006000,0.005480,0.003000,0.000508,0.005000,0.006000,0.006000,0.006000,0.006000,0.006000,0.024959,0.023161,0.036374,0.096613,calls/second,seconds
1515791918,20,0.014000,0.004311,0.003000,0.001699,0.003000,0.006000,0.006000,0.006000,0.014000,0.014000,0.024960,0.023161,0.036374,0.096613,calls/second,seconds
1515792818,20,0.007000,0.004412,0.003000,0.001077,0.004000,0.005000,0.006000,0.006000,0.006000,0.007000,0.024954,0.023143,0.036357,0.096612,calls/second,seconds
1515793718,20,0.007000,0.005677,0.003000,0.000629,0.006000,0.006000,0.006000,0.006000,0.007000,0.007000,0.024956,0.023528,0.036423,0.096622,calls/second,seconds
1515794618,20,0.008000,0.005695,0.002000,0.000554,0.006000,0.006000,0.006000,0.006000,0.008000,0.008000,0.024956,0.023142,0.036337,0.096605,calls/second,seconds
1515795518,20,0.008000,0.006547,0.003000,0.000968,0.006000,0.008000,0.008000,0.008000,0.008000,0.008000,0.024956,0.023509,0.036387,0.096614,calls/second,seconds
1515796418,20,0.018000,0.004936,0.004000,0.000991,0.004000,0.006000,0.006000,0.006000,0.006000,0.006000,0.024957,0.023161,0.036381,0.096616,calls/second,seconds
1515797318,20,0.007000,0.004928,0.003000,0.001205,0.005000,0.006000,0.006000,0.006000,0.006000,0.006000,0.024957,0.023161,0.036381,0.096616,calls/second,seconds
1515798218,20,0.007000,0.004896,0.003000,0.001265,0.005000,0.006000,0.006000,0.006000,0.006000,0.006000,0.024956,0.023528,0.036423,0.096622,calls/second,seconds
1515799118,20,0.007000,0.005170,0.003000,0.001341,0.006000,0.006000,0.006000,0.006000,0.006000,0.007000,0.024957,0.023509,0.036380,0.096610,calls/second,seconds
1515800018,20,0.007000,0.004898,0.002000,0.001336,0.005000,0.005000,0.007000,0.007000,0.007000,0.007000,0.024956,0.023528,0.036423,0.096622,calls/second,seconds
1515800918,20,0.006000,0.005730,0.002000,0.000449,0.006000,0.006000,0.006000,0.006000,0.006000,0.006000,0.024956,0.023527,0.036410,0.096618,calls/second,seconds
1515801818,20,0.006000,0.004801,0.003000,0.000440,0.005000,0.005000,0.005000,0.005000,0.006000,0.006000,0.024957,0.023161,0.036368,0.096612,calls/second,seconds
1515802718,20,0.006000,0.004422,0.003000,0.000937,0.005000,0.005000,0.005000,0.005000,0.006000,0.006000,0.024955,0.023142,0.036337,0.096605,calls/second,seconds
1515803618,20,0.006000,0.005718,0.003000,0.000573,0.006000,0.006000,0.006000,0.006000,0.006000,0.006000,0.024957,0.023142,0.036344,0.096608,calls/second,seconds
1515804518,20,0.007000,0.004589,0.003000,0.000858,0.005000,0.005000,0.005000,0.005000,0.007000,0.007000,0.024957,0.023142,0.036344,0.096608,calls/second,seconds
1515805418,20,0.007000,0.005621,0.003000,0.001174,0.006000,0.006000,0.007000,0.007000,0.007000,0.007000,0.024957,0.023528,0.036423,0.096622,calls/second,seconds
1515806318,20,0.007000,0.004935,0.003000,0.001044,0.005000,0.006000,0.006000,0.006000,0.007000,0.007000,0.024955,0.023161,0.036381,0.096616,calls/second,seconds
1515807218,20,0.008000,0.005212,0.003000,0.001447,0.005000,0.005000,0.008000,0.008000,0.008000,0.008000,0.024959,0.023142,0.036337,0.096605,calls/second,seconds
1515808118,20,0.007000,0.004301,0.003000,0.001256,0.005000,0.005000,0.006000,0.006000,0.006000,0.006000,0.024955,0.023528,0.036423,0.096622,calls/second,seconds
1515809018,20,0.007000,0.005976,0.003000,0.000362,0.006000,0.006000,0.006000,0.006000,0.007000,0.007000,0.024955,0.023161,0.036374,0.096613,calls/second,seconds
1515809918,20,0.007000,0.003853,0.003000,0.000924,0.004000,0.005000,0.005000,0.006000,0.006000,0.006000,0.024958,0.023161,0.036361,0.096609,calls/second,seconds
1515810818,20,0.007000,0.005251,0.003000,0.000475,0.005000,0.006000,0.006000,0.006000,0.006000,0.006000,0.024957,0.023527,0.036410,0.096618,calls/second,seconds
1515811718,20,0.006000,0.005086,0.003000,0.001353,0.006000,0.006000,0.006000,0.006000,0.006000,0.006000,0.024934,0.023510,0.036400,0.096617,calls/second,seconds
1515812618,20,0.007000,0.005355,0.003000,0.001222,0.006000,0.006000,0.006000,0.006000,0.006000,0.007000,0.024942,0.023528,0.036423,0.096622,calls/second,seconds
