t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1513267498,19,0.004000,0.002433,0.002000,0.000496,0.002000,0.003000,0.003000,0.003000,0.003000,0.003000,0.038041,0.044850,0.218918,0.592156,calls/second,seconds
1513268398,20,0.003000,0.002701,0.002000,0.000458,0.003000,0.003000,0.003000,0.003000,0.003000,0.003000,0.025129,0.041397,0.039151,0.097585,calls/second,seconds
1513269298,20,0.003000,0.002683,0.002000,0.000465,0.003000,0.003000,0.003000,0.003000,0.003000,0.003000,0.025128,0.041396,0.039145,0.097584,calls/second,seconds
1513270198,20,0.005000,0.002063,0.002000,0.000410,0.002000,0.002000,0.002000,0.003000,0.005000,0.005000,0.025128,0.041018,0.039139,0.097587,calls/second,seconds
1513271098,20,0.003000,0.002289,0.002000,0.000453,0.002000,0.003000,0.003000,0.003000,0.003000,0.003000,0.025129,0.040997,0.039095,0.097575,calls/second,seconds
1513271998,20,0.003000,0.002290,0.002000,0.000454,0.002000,0.003000,0.003000,0.003000,0.003000,0.003000,0.025129,0.041017,0.039126,0.097583,calls/second,seconds
1513272898,20,0.025000,0.002188,0.002000,0.000877,0.002000,0.002000,0.003000,0.003000,0.003000,0.025000,0.025128,0.041017,0.039126,0.097583,calls/second,seconds
1513273798,20,0.004000,0.002035,0.002000,0.000224,0.002000,0.002000,0.002000,0.003000,0.003000,0.004000,0.025128,0.041018,0.039139,0.097587,calls/second,seconds
1513274698,20,0.005000,0.002443,0.002000,0.000500,0.002000,0.003000,0.003000,0.003000,0.003000,0.004000,0.025128,0.040998,0.039108,0.097579,calls/second,seconds
1513275598,20,0.003000,0.002559,0.002000,0.000497,0.003000,0.003000,0.003000,0.003000,0.003000,0.003000,0.025128,0.040998,0.039115,0.097582,calls/second,seconds
1513276498,20,0.003000,0.002424,0.002000,0.000494,0.002000,0.003000,0.003000,0.003000,0.003000,0.003000,0.025128,0.041396,0.039145,0.097584,calls/second,seconds
1513277398,20,0.004000,0.002941,0.001000,0.000794,0.003000,0.004000,0.004000,0.004000,0.004000,0.004000,0.025129,0.040998,0.039108,0.097579,calls/second,seconds
1513278298,20,0.003000,0.002559,0.002000,0.000496,0.003000,0.003000,0.003000,0.003000,0.003000,0.003000,0.025129,0.040997,0.039095,0.097575,calls/second,seconds
1513279198,20,0.003000,0.002287,0.002000,0.000452,0.002000,0.003000,0.003000,0.003000,0.003000,0.003000,0.025128,0.041416,0.039182,0.097592,calls/second,seconds
1513280098,20,0.003000,0.002038,0.002000,0.000191,0.002000,0.002000,0.002000,0.003000,0.003000,0.003000,0.025129,0.041031,0.039287,0.097624,calls/second,seconds
1513280998,20,0.003000,0.002127,0.002000,0.000333,0.002000,0.002000,0.003000,0.003000,0.003000,0.003000,0.025128,0.040997,0.039095,0.097575,calls/second,seconds
1513281898,20,0.003000,0.002270,0.002000,0.000444,0.002000,0.003000,0.003000,0.003000,0.003000,0.003000,0.025128,0.041396,0.039145,0.097584,calls/second,seconds
1513282798,20,0.003000,0.002421,0.002000,0.000494,0.002000,0.003000,0.003000,0.003000,0.003000,0.003000,0.025128,0.041018,0.039139,0.097587,calls/second,seconds
1513283698,20,0.003000,0.002046,0.002000,0.000209,0.002000,0.002000,0.002000,0.003000,0.003000,0.003000,0.025128,0.041396,0.039138,0.097581,calls/second,seconds
1513284598,20,0.003000,0.002262,0.001000,0.000458,0.002000,0.003000,0.003000,0.003000,0.003000,0.003000,0.025128,0.041017,0.039126,0.097583,calls/second,seconds
1513285498,20,0.003000,0.002003,0.002000,0.000055,0.002000,0.002000,0.002000,0.002000,0.002000,0.003000,0.025129,0.040997,0.039095,0.097575,calls/second,seconds
1513286398,20,0.003000,0.002296,0.001000,0.000458,0.002000,0.003000,0.003000,0.003000,0.003000,0.003000,0.025128,0.041416,0.039182,0.097592,calls/second,seconds
1513287298,20,0.003000,0.002272,0.002000,0.000445,0.002000,0.003000,0.003000,0.003000,0.003000,0.003000,0.025128,0.041415,0.039162,0.097585,calls/second,seconds
1513288198,20,0.003000,0.002038,0.002000,0.000191,0.002000,0.002000,0.002000,0.003000,0.003000,0.003000,0.025128,0.041416,0.039182,0.097592,calls/second,seconds
1513289098,20,0.003000,0.002289,0.002000,0.000453,0.002000,0.003000,0.003000,0.003000,0.003000,0.003000,0.025127,0.041397,0.039158,0.097588,calls/second,seconds
1513289998,20,0.003000,0.002001,0.002000,0.000035,0.002000,0.002000,0.002000,0.002000,0.002000,0.003000,0.025128,0.041416,0.039182,0.097592,calls/second,seconds
1513290898,20,0.003000,0.002018,0.002000,0.000134,0.002000,0.002000,0.002000,0.002000,0.003000,0.003000,0.025129,0.040997,0.039095,0.097575,calls/second,seconds
1513291798,20,0.003000,0.002150,0.002000,0.000357,0.002000,0.002000,0.003000,0.003000,0.003000,0.003000,0.025129,0.040997,0.039095,0.097575,calls/second,seconds
1513292698,20,0.003000,0.002687,0.001000,0.000680,0.003000,0.003000,0.003000,0.003000,0.003000,0.003000,0.025128,0.040997,0.039095,0.097575,calls/second,seconds
1513293598,20,0.010000,0.002010,0.002000,0.000279,0.002000,0.002000,0.002000,0.002000,0.002000,0.010000,0.025129,0.040997,0.039095,0.097575,calls/second,seconds
1513294498,20,0.004000,0.002161,0.002000,0.000414,0.002000,0.002000,0.003000,0.003000,0.004000,0.004000,0.025128,0.040998,0.039108,0.097579,calls/second,seconds
1513295398,20,0.004000,0.001993,0.001000,0.000098,0.002000,0.002000,0.002000,0.002000,0.002000,0.003000,0.025128,0.040998,0.039108,0.097579,calls/second,seconds
1513296298,20,0.003000,0.002161,0.002000,0.000368,0.002000,0.002000,0.003000,0.003000,0.003000,0.003000,0.025128,0.040997,0.039095,0.097575,calls/second,seconds
1513297198,20,0.003000,0.002019,0.002000,0.000138,0.002000,0.002000,0.002000,0.002000,0.003000,0.003000,0.025128,0.041415,0.039169,0.097588,calls/second,seconds
1513298098,20,0.006000,0.003088,0.002000,0.001772,0.002000,0.006000,0.006000,0.006000,0.006000,0.006000,0.025129,0.040997,0.039095,0.097575,calls/second,seconds
1513298998,20,0.003000,0.002028,0.002000,0.000164,0.002000,0.002000,0.002000,0.003000,0.003000,0.003000,0.025128,0.041017,0.039119,0.097580,calls/second,seconds
1513299898,20,0.006000,0.002303,0.001000,0.000558,0.002000,0.003000,0.003000,0.003000,0.003000,0.006000,0.025127,0.040997,0.039095,0.097575,calls/second,seconds
1513300798,20,0.003000,0.002271,0.002000,0.000445,0.002000,0.003000,0.003000,0.003000,0.003000,0.003000,0.025128,0.041018,0.039139,0.097587,calls/second,seconds
1513301698,20,0.003000,0.002039,0.002000,0.000193,0.002000,0.002000,0.002000,0.003000,0.003000,0.003000,0.025128,0.040998,0.039108,0.097579,calls/second,seconds
1513302598,20,0.003000,0.002289,0.002000,0.000453,0.002000,0.003000,0.003000,0.003000,0.003000,0.003000,0.025128,0.041018,0.039139,0.097587,calls/second,seconds
1513303498,20,0.004000,0.002585,0.002000,0.000528,0.003000,0.003000,0.003000,0.003000,0.004000,0.004000,0.025127,0.041415,0.039162,0.097585,calls/second,seconds
1513304398,20,0.004000,0.002011,0.001000,0.000167,0.002000,0.002000,0.002000,0.002000,0.003000,0.003000,0.025128,0.040997,0.039095,0.097575,calls/second,seconds
1513305298,20,0.003000,0.002270,0.002000,0.000444,0.002000,0.003000,0.003000,0.003000,0.003000,0.003000,0.025128,0.041397,0.039151,0.097585,calls/second,seconds
1513306198,20,0.003000,0.002019,0.001000,0.000140,0.002000,0.002000,0.002000,0.002000,0.003000,0.003000,0.025128,0.040997,0.039095,0.097575,calls/second,seconds
1513307098,20,0.003000,0.002160,0.002000,0.000367,0.002000,0.002000,0.003000,0.003000,0.003000,0.003000,0.025126,0.041017,0.039119,0.097580,calls/second,seconds
1513307998,20,0.003000,0.002541,0.002000,0.000498,0.003000,0.003000,0.003000,0.003000,0.003000,0.003000,0.025129,0.040997,0.039095,0.097575,calls/second,seconds
1513308898,20,0.003000,0.002402,0.002000,0.000490,0.002000,0.003000,0.003000,0.003000,0.003000,0.003000,0.025128,0.041017,0.039126,0.097583,calls/second,seconds
1513309798,20,0.004000,0.002410,0.002000,0.000508,0.002000,0.003000,0.003000,0.003000,0.003000,0.004000,0.025128,0.041415,0.039169,0.097588,calls/second,seconds
1513310698,20,0.003000,0.002019,0.002000,0.000138,0.002000,0.002000,0.002000,0.002000,0.003000,0.003000,0.025129,0.040997,0.039095,0.097575,calls/second,seconds
1513311598,20,0.003000,0.002001,0.002000,0.000037,0.002000,0.002000,0.002000,0.002000,0.002000,0.003000,0.025128,0.041415,0.039162,0.097585,calls/second,seconds
1513312498,20,0.003000,0.002673,0.002000,0.000469,0.003000,0.003000,0.003000,0.003000,0.003000,0.003000,0.025129,0.040997,0.039095,0.097575,calls/second,seconds
1513313398,20,0.003000,0.002288,0.002000,0.000453,0.002000,0.003000,0.003000,0.003000,0.003000,0.003000,0.025128,0.040997,0.039102,0.097578,calls/second,seconds
1513314298,20,0.004000,0.002325,0.002000,0.000506,0.002000,0.003000,0.003000,0.003000,0.004000,0.004000,0.025128,0.040997,0.039102,0.097578,calls/second,seconds
1513315198,20,0.003000,0.002162,0.002000,0.000368,0.002000,0.002000,0.003000,0.003000,0.003000,0.003000,0.025128,0.041017,0.039126,0.097583,calls/second,seconds
1513316098,20,0.004000,0.002057,0.002000,0.000238,0.002000,0.002000,0.003000,0.003000,0.003000,0.004000,0.025128,0.041397,0.039151,0.097585,calls/second,seconds
1513316998,20,0.003000,0.002027,0.002000,0.000162,0.002000,0.002000,0.002000,0.003000,0.003000,0.003000,0.025128,0.040998,0.039108,0.097579,calls/second,seconds
1513317898,20,0.005000,0.002025,0.002000,0.000273,0.002000,0.002000,0.002000,0.002000,0.002000,0.005000,0.025128,0.041017,0.039119,0.097580,calls/second,seconds
1513318798,20,0.003000,0.002298,0.001000,0.000457,0.002000,0.003000,0.003000,0.003000,0.003000,0.003000,0.025128,0.041017,0.039126,0.097583,calls/second,seconds
