t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1513267498,19,0.006000,0.004529,0.003000,0.001160,0.005000,0.006000,0.006000,0.006000,0.006000,0.006000,0.038040,0.044850,0.218918,0.592156,calls/second,seconds
1513268398,20,0.005000,0.003964,0.003000,0.000187,0.004000,0.004000,0.004000,0.004000,0.004000,0.004000,0.025129,0.041397,0.039151,0.097585,calls/second,seconds
1513269298,20,0.005000,0.004018,0.003000,0.000233,0.004000,0.004000,0.004000,0.005000,0.005000,0.005000,0.025128,0.041396,0.039145,0.097584,calls/second,seconds
1513270198,20,0.008000,0.003927,0.003000,0.000993,0.004000,0.005000,0.005000,0.005000,0.008000,0.008000,0.025128,0.041018,0.039139,0.097587,calls/second,seconds
1513271098,20,0.005000,0.003562,0.003000,0.000499,0.004000,0.004000,0.004000,0.004000,0.004000,0.005000,0.025129,0.040997,0.039095,0.097575,calls/second,seconds
1513271998,20,0.006000,0.003729,0.003000,0.000556,0.004000,0.004000,0.004000,0.004000,0.006000,0.006000,0.025129,0.041017,0.039126,0.097583,calls/second,seconds
1513272898,20,0.009000,0.003604,0.003000,0.000492,0.004000,0.004000,0.004000,0.004000,0.004000,0.004000,0.025128,0.041017,0.039126,0.097583,calls/second,seconds
1513273798,20,0.006000,0.003686,0.003000,0.000464,0.004000,0.004000,0.004000,0.004000,0.004000,0.004000,0.025128,0.041018,0.039139,0.097587,calls/second,seconds
1513274698,20,0.010000,0.003316,0.003000,0.000469,0.003000,0.004000,0.004000,0.004000,0.004000,0.004000,0.025128,0.040998,0.039108,0.097579,calls/second,seconds
1513275598,20,0.005000,0.003299,0.003000,0.000458,0.003000,0.004000,0.004000,0.004000,0.004000,0.004000,0.025128,0.040998,0.039115,0.097582,calls/second,seconds
1513276498,20,0.004000,0.003710,0.003000,0.000454,0.004000,0.004000,0.004000,0.004000,0.004000,0.004000,0.025128,0.041396,0.039145,0.097584,calls/second,seconds
1513277398,20,0.004000,0.003544,0.003000,0.000498,0.004000,0.004000,0.004000,0.004000,0.004000,0.004000,0.025129,0.041397,0.039151,0.097585,calls/second,seconds
1513278298,20,0.005000,0.003700,0.003000,0.000476,0.004000,0.004000,0.004000,0.004000,0.004000,0.005000,0.025129,0.040997,0.039095,0.097575,calls/second,seconds
1513279198,20,0.005000,0.004184,0.003000,0.000631,0.004000,0.005000,0.005000,0.005000,0.005000,0.005000,0.025128,0.041416,0.039182,0.097592,calls/second,seconds
1513280098,20,0.006000,0.003723,0.003000,0.000559,0.004000,0.004000,0.004000,0.004000,0.006000,0.006000,0.025129,0.041031,0.039287,0.097624,calls/second,seconds
1513280998,20,0.005000,0.003865,0.003000,0.000810,0.004000,0.005000,0.005000,0.005000,0.005000,0.005000,0.025128,0.040997,0.039095,0.097575,calls/second,seconds
