t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1513267498,19,1.509000,0.560747,0.219000,0.163321,0.654000,0.693000,0.693000,0.693000,0.693000,1.509000,0.038036,0.044850,0.218918,0.592156,calls/second,seconds
1513268398,20,0.708000,0.572979,0.224000,0.145478,0.634000,0.708000,0.708000,0.708000,0.708000,0.708000,0.025127,0.041397,0.039151,0.097585,calls/second,seconds
1513269298,20,1.008000,0.549288,0.215000,0.145073,0.650000,0.666000,0.666000,0.666000,0.666000,1.008000,0.025127,0.041396,0.039145,0.097584,calls/second,seconds
1513270198,20,0.691000,0.528859,0.220000,0.174581,0.667000,0.682000,0.682000,0.682000,0.682000,0.682000,0.025127,0.041416,0.039182,0.097592,calls/second,seconds
1513271098,20,0.701000,0.542124,0.211000,0.153797,0.637000,0.680000,0.680000,0.680000,0.701000,0.701000,0.025128,0.040997,0.039095,0.097575,calls/second,seconds
1513271998,20,0.697000,0.541365,0.227000,0.145414,0.617000,0.679000,0.679000,0.679000,0.679000,0.694000,0.025128,0.041017,0.039126,0.097583,calls/second,seconds
1513272898,20,0.712000,0.558531,0.218000,0.151558,0.661000,0.676000,0.676000,0.676000,0.676000,0.693000,0.025127,0.041017,0.039126,0.097583,calls/second,seconds
1513273798,20,0.709000,0.536298,0.217000,0.151594,0.634000,0.666000,0.666000,0.666000,0.667000,0.709000,0.025127,0.041018,0.039139,0.097587,calls/second,seconds
1513274698,20,0.702000,0.580922,0.215000,0.156038,0.686000,0.702000,0.702000,0.702000,0.702000,0.702000,0.025127,0.040997,0.039095,0.097575,calls/second,seconds
1513275598,20,0.698000,0.555562,0.222000,0.150801,0.638000,0.690000,0.690000,0.690000,0.690000,0.690000,0.025127,0.040998,0.039115,0.097582,calls/second,seconds
1513276498,20,0.798000,0.543934,0.218000,0.146419,0.612000,0.678000,0.678000,0.734000,0.798000,0.798000,0.025127,0.041396,0.039145,0.097584,calls/second,seconds
1513277398,20,0.705000,0.560958,0.221000,0.150154,0.660000,0.686000,0.686000,0.686000,0.705000,0.705000,0.025128,0.041397,0.039151,0.097585,calls/second,seconds
1513278298,20,0.723000,0.557988,0.216000,0.154961,0.662000,0.680000,0.680000,0.680000,0.680000,0.680000,0.025128,0.040997,0.039095,0.097575,calls/second,seconds
1513279198,20,0.969000,0.768759,0.222000,0.246605,0.940000,0.969000,0.969000,0.969000,0.969000,0.969000,0.025127,0.041416,0.039182,0.097592,calls/second,seconds
1513280098,20,20.887000,0.646606,0.222000,1.432856,0.620000,0.683000,0.683000,0.683000,0.683000,20.887000,0.025128,0.041031,0.039287,0.097624,calls/second,seconds
1513280998,20,0.697000,0.533070,0.215000,0.169584,0.655000,0.686000,0.686000,0.686000,0.686000,0.697000,0.025127,0.040997,0.039095,0.097575,calls/second,seconds
1513281898,20,0.709000,0.535059,0.210000,0.160606,0.652000,0.676000,0.676000,0.676000,0.676000,0.676000,0.025127,0.041396,0.039145,0.097584,calls/second,seconds
1513282798,20,0.681000,0.526639,0.211000,0.147763,0.582000,0.681000,0.681000,0.681000,0.681000,0.681000,0.025127,0.041017,0.039126,0.097583,calls/second,seconds
1513283698,20,0.690000,0.503302,0.201000,0.153635,0.600000,0.659000,0.659000,0.659000,0.659000,0.690000,0.025127,0.041396,0.039138,0.097581,calls/second,seconds
1513284598,20,0.716000,0.533513,0.218000,0.143173,0.627000,0.651000,0.651000,0.651000,0.651000,0.675000,0.025127,0.041017,0.039126,0.097583,calls/second,seconds
1513285498,20,0.744000,0.413571,0.227000,0.108096,0.438000,0.534000,0.534000,0.596000,0.621000,0.652000,0.025128,0.040997,0.039095,0.097575,calls/second,seconds
1513286398,20,0.703000,0.557687,0.219000,0.164318,0.667000,0.703000,0.703000,0.703000,0.703000,0.703000,0.025127,0.041416,0.039182,0.097592,calls/second,seconds
1513287298,20,0.700000,0.483776,0.219000,0.133108,0.535000,0.628000,0.628000,0.638000,0.663000,0.700000,0.025127,0.041415,0.039162,0.097585,calls/second,seconds
1513288198,20,0.700000,0.543536,0.218000,0.157923,0.636000,0.696000,0.696000,0.696000,0.696000,0.700000,0.025127,0.041416,0.039182,0.097592,calls/second,seconds
1513289098,20,0.706000,0.590049,0.204000,0.152015,0.672000,0.704000,0.704000,0.704000,0.704000,0.706000,0.025126,0.041397,0.039158,0.097588,calls/second,seconds
1513289998,20,0.696000,0.554956,0.220000,0.155124,0.655000,0.685000,0.685000,0.685000,0.685000,0.685000,0.025127,0.041416,0.039182,0.097592,calls/second,seconds
1513290898,20,0.695000,0.508446,0.229000,0.132264,0.561000,0.646000,0.646000,0.646000,0.646000,0.695000,0.025128,0.040997,0.039095,0.097575,calls/second,seconds
1513291798,20,0.722000,0.579915,0.214000,0.159406,0.658000,0.722000,0.722000,0.722000,0.722000,0.722000,0.025128,0.040997,0.039095,0.097575,calls/second,seconds
