t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1513110998,20,0.051000,0.007433,0.003000,0.004987,0.007000,0.007000,0.017000,0.017000,0.017000,0.017000,0.025514,0.028744,0.037930,0.098603,calls/second,seconds
1513111898,20,0.008000,0.003898,0.002000,0.001432,0.005000,0.005000,0.005000,0.005000,0.006000,0.006000,0.024840,0.026446,0.049966,0.177945,calls/second,seconds
1513112798,20,0.005000,0.004391,0.002000,0.001186,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.024836,0.026784,0.050020,0.177955,calls/second,seconds
1513113698,20,0.007000,0.004377,0.002000,0.001587,0.004000,0.006000,0.006000,0.006000,0.006000,0.006000,0.024840,0.026447,0.049971,0.177946,calls/second,seconds
1513114598,20,0.008000,0.004870,0.002000,0.000907,0.005000,0.005000,0.006000,0.008000,0.008000,0.008000,0.024838,0.026801,0.050043,0.177959,calls/second,seconds
1513115498,20,0.005000,0.003597,0.002000,0.000991,0.004000,0.004000,0.005000,0.005000,0.005000,0.005000,0.024838,0.026784,0.050013,0.177952,calls/second,seconds
1513116398,20,0.006000,0.004232,0.002000,0.000830,0.004000,0.005000,0.005000,0.005000,0.005000,0.005000,0.024841,0.026463,0.049982,0.177947,calls/second,seconds
1513117298,20,0.007000,0.004253,0.002000,0.000759,0.004000,0.005000,0.005000,0.005000,0.005000,0.005000,0.024838,0.026446,0.049959,0.177942,calls/second,seconds
1513118198,20,0.006000,0.003481,0.002000,0.001067,0.003000,0.004000,0.005000,0.006000,0.006000,0.006000,0.024837,0.026464,0.050001,0.177954,calls/second,seconds
1513119098,20,0.006000,0.005044,0.002000,0.001087,0.005000,0.006000,0.006000,0.006000,0.006000,0.006000,0.024837,0.026801,0.050043,0.177959,calls/second,seconds
1513119998,20,0.008000,0.003685,0.002000,0.000633,0.004000,0.004000,0.004000,0.005000,0.007000,0.007000,0.024836,0.026801,0.050043,0.177959,calls/second,seconds
1513120898,20,0.006000,0.004577,0.002000,0.001016,0.005000,0.005000,0.006000,0.006000,0.006000,0.006000,0.024837,0.026800,0.050023,0.177953,calls/second,seconds
1513121798,20,0.006000,0.003966,0.002000,0.000735,0.004000,0.004000,0.005000,0.005000,0.006000,0.006000,0.024838,0.026800,0.050023,0.177953,calls/second,seconds
1513122698,20,0.005000,0.004455,0.002000,0.000782,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.024841,0.026446,0.049959,0.177942,calls/second,seconds
1513123598,20,0.005000,0.004058,0.002000,0.001002,0.004000,0.005000,0.005000,0.005000,0.005000,0.005000,0.024838,0.026446,0.049959,0.177942,calls/second,seconds
1513124498,20,0.005000,0.004597,0.002000,0.000516,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.024835,0.026784,0.050020,0.177955,calls/second,seconds
1513125398,20,0.005000,0.003854,0.002000,0.000889,0.004000,0.004000,0.005000,0.005000,0.005000,0.005000,0.024840,0.026446,0.049959,0.177942,calls/second,seconds
1513126298,20,0.006000,0.004443,0.002000,0.001163,0.005000,0.005000,0.005000,0.005000,0.006000,0.006000,0.024835,0.026801,0.050043,0.177959,calls/second,seconds
1513127198,20,0.007000,0.004076,0.002000,0.001256,0.005000,0.005000,0.005000,0.005000,0.007000,0.007000,0.024839,0.026801,0.050043,0.177959,calls/second,seconds
1513128098,20,0.010000,0.004703,0.002000,0.001148,0.004000,0.005000,0.007000,0.007000,0.007000,0.007000,0.024836,0.026784,0.050020,0.177955,calls/second,seconds
1513128998,20,0.005000,0.004269,0.002000,0.001129,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.024837,0.026800,0.050023,0.177953,calls/second,seconds
1513129898,20,0.007000,0.004116,0.002000,0.001194,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.024839,0.026447,0.049978,0.177949,calls/second,seconds
1513130798,20,0.005000,0.004302,0.002000,0.000940,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.024837,0.026801,0.050036,0.177956,calls/second,seconds
1513131698,20,0.006000,0.004000,0.002000,0.001173,0.004000,0.005000,0.005000,0.006000,0.006000,0.006000,0.024836,0.026464,0.050001,0.177954,calls/second,seconds
1513132598,20,0.006000,0.004480,0.002000,0.001253,0.005000,0.005000,0.006000,0.006000,0.006000,0.006000,0.024834,0.026464,0.050001,0.177954,calls/second,seconds
1513133498,20,0.006000,0.004916,0.003000,0.001119,0.005000,0.006000,0.006000,0.006000,0.006000,0.006000,0.024837,0.026801,0.050043,0.177959,calls/second,seconds
1513134398,20,0.006000,0.004299,0.002000,0.000954,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.024840,0.026446,0.049966,0.177945,calls/second,seconds
1513135298,20,0.007000,0.005115,0.002000,0.000928,0.005000,0.005000,0.007000,0.007000,0.007000,0.007000,0.024834,0.026800,0.050030,0.177956,calls/second,seconds
1513136198,20,0.005000,0.003680,0.002000,0.000760,0.004000,0.004000,0.004000,0.004000,0.005000,0.005000,0.024837,0.026464,0.050001,0.177954,calls/second,seconds
1513137098,20,0.008000,0.004095,0.001000,0.000462,0.004000,0.004000,0.005000,0.005000,0.008000,0.008000,0.024838,0.026800,0.050023,0.177953,calls/second,seconds
1513137998,20,0.007000,0.004357,0.003000,0.000528,0.004000,0.005000,0.005000,0.005000,0.005000,0.005000,0.024835,0.026801,0.050043,0.177959,calls/second,seconds
1513138898,20,0.005000,0.002746,0.001000,0.001120,0.002000,0.003000,0.005000,0.005000,0.005000,0.005000,0.024839,0.026463,0.049982,0.177947,calls/second,seconds
1513139798,20,0.007000,0.004330,0.002000,0.000989,0.005000,0.005000,0.005000,0.005000,0.007000,0.007000,0.024835,0.026801,0.050043,0.177959,calls/second,seconds
1513140698,20,0.006000,0.003438,0.002000,0.001570,0.003000,0.005000,0.006000,0.006000,0.006000,0.006000,0.024838,0.026801,0.050043,0.177959,calls/second,seconds
1513141598,20,0.006000,0.003785,0.002000,0.001116,0.003000,0.004000,0.006000,0.006000,0.006000,0.006000,0.024838,0.026447,0.049971,0.177946,calls/second,seconds
1513142498,20,0.005000,0.004451,0.002000,0.000802,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.024836,0.026800,0.050030,0.177956,calls/second,seconds
1513143398,20,0.006000,0.003899,0.002000,0.000907,0.004000,0.004000,0.005000,0.005000,0.005000,0.005000,0.024838,0.026447,0.049978,0.177949,calls/second,seconds
1513144298,20,0.013000,0.004432,0.002000,0.000566,0.004000,0.005000,0.005000,0.005000,0.005000,0.005000,0.024837,0.026801,0.050043,0.177959,calls/second,seconds
1513145198,20,0.005000,0.004295,0.002000,0.001109,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.024839,0.026446,0.049959,0.177942,calls/second,seconds
1513146098,20,0.006000,0.003542,0.002000,0.000888,0.004000,0.004000,0.004000,0.006000,0.006000,0.006000,0.024837,0.026800,0.050023,0.177953,calls/second,seconds
1513146998,20,0.005000,0.004424,0.002000,0.000827,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.024838,0.026801,0.050043,0.177959,calls/second,seconds
1513147898,20,0.005000,0.004277,0.002000,0.001134,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.024838,0.026464,0.050001,0.177954,calls/second,seconds
1513148798,20,0.007000,0.003911,0.002000,0.000917,0.004000,0.004000,0.005000,0.005000,0.005000,0.005000,0.024840,0.026446,0.049959,0.177942,calls/second,seconds
1513149698,16,0.005000,0.004928,0.002000,0.000395,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.019872,0.001335,0.039253,0.173820,calls/second,seconds
1513150598,20,0.005000,0.003657,0.002000,0.000807,0.004000,0.004000,0.004000,0.005000,0.005000,0.005000,0.024836,0.026801,0.050043,0.177959,calls/second,seconds
1513151498,20,0.010000,0.004405,0.003000,0.000571,0.004000,0.005000,0.005000,0.006000,0.006000,0.006000,0.024837,0.026801,0.050036,0.177956,calls/second,seconds
1513152398,20,0.006000,0.004126,0.002000,0.001211,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.024837,0.026464,0.050001,0.177954,calls/second,seconds
1513153298,20,0.006000,0.004051,0.002000,0.001242,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.024839,0.026463,0.049982,0.177947,calls/second,seconds
1513154198,20,0.006000,0.004779,0.002000,0.000497,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.024834,0.026801,0.050043,0.177959,calls/second,seconds
1513155098,20,0.006000,0.003944,0.002000,0.001418,0.005000,0.005000,0.005000,0.005000,0.006000,0.006000,0.024841,0.026463,0.049982,0.177947,calls/second,seconds
1513155998,20,0.007000,0.005004,0.002000,0.001540,0.005000,0.006000,0.007000,0.007000,0.007000,0.007000,0.024839,0.026784,0.050013,0.177952,calls/second,seconds
1513156881,20,0.007000,0.004105,0.002000,0.001321,0.005000,0.005000,0.005000,0.006000,0.007000,0.007000,0.024836,0.026801,0.050036,0.177956,calls/second,seconds
1513157781,20,0.005000,0.003506,0.002000,0.000804,0.004000,0.004000,0.004000,0.005000,0.005000,0.005000,0.024838,0.026447,0.049978,0.177949,calls/second,seconds
1513158681,20,0.006000,0.004603,0.002000,0.000793,0.005000,0.005000,0.005000,0.005000,0.005000,0.006000,0.024840,0.026463,0.049982,0.177947,calls/second,seconds
1513159581,20,0.006000,0.005133,0.002000,0.000459,0.005000,0.005000,0.006000,0.006000,0.006000,0.006000,0.024839,0.026464,0.050001,0.177954,calls/second,seconds
1513160481,20,0.006000,0.003920,0.002000,0.000995,0.003000,0.005000,0.005000,0.005000,0.005000,0.005000,0.024836,0.026464,0.050001,0.177954,calls/second,seconds
1513161381,20,0.008000,0.004004,0.002000,0.000756,0.004000,0.004000,0.005000,0.005000,0.008000,0.008000,0.024839,0.026463,0.049982,0.177947,calls/second,seconds
1513162281,20,0.008000,0.004635,0.002000,0.000930,0.005000,0.005000,0.005000,0.005000,0.008000,0.008000,0.024836,0.026801,0.050043,0.177959,calls/second,seconds
1513163181,20,0.008000,0.004319,0.003000,0.000731,0.004000,0.005000,0.005000,0.005000,0.005000,0.005000,0.024838,0.026800,0.050023,0.177953,calls/second,seconds
1513164081,20,0.006000,0.004950,0.003000,0.000659,0.005000,0.005000,0.006000,0.006000,0.006000,0.006000,0.024837,0.026801,0.050043,0.177959,calls/second,seconds
1513164981,20,0.006000,0.002695,0.002000,0.001272,0.002000,0.002000,0.005000,0.005000,0.006000,0.006000,0.024838,0.026463,0.049982,0.177947,calls/second,seconds
1513165881,20,0.006000,0.004154,0.002000,0.001205,0.005000,0.005000,0.005000,0.005000,0.006000,0.006000,0.024839,0.026464,0.050001,0.177954,calls/second,seconds
1513166781,20,0.007000,0.004592,0.002000,0.001025,0.005000,0.005000,0.006000,0.006000,0.007000,0.007000,0.024837,0.026463,0.049982,0.177947,calls/second,seconds
