t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1513110998,20,0.001000,0.000012,0.000000,0.000109,0.000000,0.000000,0.000000,0.000000,0.001000,0.001000,0.025514,0.028744,0.037930,0.098603,calls/second,seconds
1513111898,20,0.001000,0.000030,0.000000,0.000170,0.000000,0.000000,0.000000,0.001000,0.001000,0.001000,0.024840,0.026446,0.049966,0.177945,calls/second,seconds
1513112798,20,0.001000,0.000011,0.000000,0.000105,0.000000,0.000000,0.000000,0.000000,0.001000,0.001000,0.024836,0.026784,0.050020,0.177955,calls/second,seconds
1513113698,20,0.001000,0.000000,0.000000,0.000011,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.024840,0.026447,0.049971,0.177946,calls/second,seconds
1513114598,20,0.001000,0.000192,0.000000,0.000394,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.024838,0.026801,0.050043,0.177959,calls/second,seconds
1513115498,20,0.001000,0.000010,0.000000,0.000102,0.000000,0.000000,0.000000,0.000000,0.001000,0.001000,0.024838,0.026784,0.050013,0.177952,calls/second,seconds
1513116398,20,0.001000,0.000166,0.000000,0.000372,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.024841,0.026463,0.049982,0.177947,calls/second,seconds
1513117298,20,0.001000,0.000156,0.000000,0.000363,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.024838,0.026446,0.049959,0.177942,calls/second,seconds
1513118198,20,0.001000,0.000598,0.000000,0.000490,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.024837,0.026464,0.050001,0.177954,calls/second,seconds
1513119098,20,0.001000,0.000014,0.000000,0.000118,0.000000,0.000000,0.000000,0.000000,0.001000,0.001000,0.024837,0.026801,0.050043,0.177959,calls/second,seconds
1513119998,20,0.001000,0.000011,0.000000,0.000105,0.000000,0.000000,0.000000,0.000000,0.001000,0.001000,0.024836,0.026801,0.050043,0.177959,calls/second,seconds
1513120898,20,0.001000,0.000000,0.000000,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.024837,0.026800,0.050023,0.177953,calls/second,seconds
1513121798,20,0.001000,0.000156,0.000000,0.000363,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.024837,0.026800,0.050023,0.177953,calls/second,seconds
