t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1513110998,20,0.063000,0.018145,0.004000,0.021248,0.011000,0.011000,0.063000,0.063000,0.063000,0.063000,0.025514,0.028744,0.037930,0.098603,calls/second,seconds
1513111898,20,0.020000,0.005388,0.003000,0.001600,0.006000,0.006000,0.007000,0.009000,0.011000,0.011000,0.024840,0.026446,0.049966,0.177945,calls/second,seconds
1513112798,20,0.008000,0.006339,0.003000,0.001672,0.007000,0.007000,0.008000,0.008000,0.008000,0.008000,0.024836,0.026784,0.050020,0.177955,calls/second,seconds
1513113698,20,0.010000,0.005737,0.003000,0.001375,0.006000,0.007000,0.007000,0.007000,0.007000,0.007000,0.024840,0.026447,0.049971,0.177946,calls/second,seconds
1513114598,20,0.008000,0.006798,0.003000,0.000751,0.007000,0.007000,0.008000,0.008000,0.008000,0.008000,0.024838,0.026801,0.050043,0.177959,calls/second,seconds
1513115498,20,0.008000,0.005344,0.003000,0.001376,0.006000,0.006000,0.007000,0.007000,0.007000,0.007000,0.024838,0.026784,0.050013,0.177952,calls/second,seconds
1513116398,20,0.007000,0.005602,0.003000,0.000796,0.006000,0.006000,0.006000,0.006000,0.006000,0.007000,0.024841,0.026463,0.049982,0.177947,calls/second,seconds
1513117298,20,0.007000,0.006415,0.003000,0.001167,0.007000,0.007000,0.007000,0.007000,0.007000,0.007000,0.024837,0.026446,0.049959,0.177942,calls/second,seconds
1513118198,20,0.007000,0.004647,0.003000,0.001159,0.004000,0.006000,0.006000,0.006000,0.006000,0.006000,0.024836,0.026464,0.050001,0.177954,calls/second,seconds
1513119098,20,0.008000,0.005950,0.003000,0.001170,0.006000,0.006000,0.008000,0.008000,0.008000,0.008000,0.024836,0.026801,0.050043,0.177959,calls/second,seconds
1513119998,20,0.009000,0.006092,0.003000,0.000966,0.006000,0.007000,0.007000,0.007000,0.008000,0.008000,0.024836,0.026801,0.050043,0.177959,calls/second,seconds
1513120898,20,0.010000,0.005625,0.003000,0.000966,0.006000,0.006000,0.007000,0.007000,0.007000,0.007000,0.024836,0.026800,0.050023,0.177953,calls/second,seconds
1513121798,20,0.010000,0.005624,0.003000,0.000984,0.006000,0.006000,0.006000,0.006000,0.010000,0.010000,0.024837,0.026800,0.050023,0.177953,calls/second,seconds
1513122698,20,0.007000,0.006719,0.004000,0.000538,0.007000,0.007000,0.007000,0.007000,0.007000,0.007000,0.024840,0.026446,0.049959,0.177942,calls/second,seconds
1513123598,20,0.011000,0.006274,0.003000,0.000768,0.006000,0.007000,0.007000,0.007000,0.007000,0.007000,0.024838,0.026446,0.049959,0.177942,calls/second,seconds
1513124498,20,0.008000,0.006067,0.003000,0.000942,0.006000,0.006000,0.008000,0.008000,0.008000,0.008000,0.024834,0.026784,0.050020,0.177955,calls/second,seconds
1513125398,20,0.009000,0.005347,0.003000,0.001038,0.006000,0.006000,0.006000,0.007000,0.009000,0.009000,0.024839,0.026446,0.049959,0.177942,calls/second,seconds
1513126298,20,0.008000,0.005765,0.003000,0.000531,0.006000,0.006000,0.006000,0.006000,0.007000,0.007000,0.024835,0.026801,0.050043,0.177959,calls/second,seconds
1513127198,20,0.008000,0.005205,0.003000,0.001422,0.006000,0.006000,0.007000,0.007000,0.007000,0.008000,0.024839,0.026801,0.050043,0.177959,calls/second,seconds
1513128098,20,0.007000,0.006141,0.004000,0.000712,0.006000,0.007000,0.007000,0.007000,0.007000,0.007000,0.024836,0.026784,0.050020,0.177955,calls/second,seconds
1513128998,20,0.007000,0.005669,0.003000,0.001279,0.006000,0.006000,0.007000,0.007000,0.007000,0.007000,0.024837,0.026800,0.050023,0.177953,calls/second,seconds
1513129898,20,0.014000,0.006717,0.004000,0.001463,0.007000,0.008000,0.008000,0.008000,0.008000,0.014000,0.024839,0.026447,0.049978,0.177949,calls/second,seconds
1513130798,20,0.009000,0.006672,0.003000,0.001788,0.007000,0.007000,0.009000,0.009000,0.009000,0.009000,0.024836,0.026801,0.050036,0.177956,calls/second,seconds
1513131698,20,0.009000,0.005848,0.003000,0.000743,0.006000,0.006000,0.007000,0.007000,0.007000,0.007000,0.024835,0.026464,0.050001,0.177954,calls/second,seconds
1513132598,20,0.008000,0.005335,0.003000,0.001384,0.006000,0.006000,0.007000,0.007000,0.008000,0.008000,0.024834,0.026464,0.050001,0.177954,calls/second,seconds
1513133498,20,0.008000,0.006107,0.004000,0.001027,0.006000,0.007000,0.007000,0.007000,0.007000,0.007000,0.024837,0.026801,0.050043,0.177959,calls/second,seconds
1513134398,20,0.010000,0.005791,0.003000,0.000966,0.006000,0.006000,0.007000,0.007000,0.008000,0.008000,0.024839,0.026446,0.049966,0.177945,calls/second,seconds
1513135298,20,0.071000,0.016480,0.003000,0.023583,0.006000,0.007000,0.071000,0.071000,0.071000,0.071000,0.024834,0.026800,0.050030,0.177956,calls/second,seconds
1513136198,20,0.009000,0.004907,0.003000,0.000969,0.005000,0.005000,0.006000,0.006000,0.007000,0.007000,0.024837,0.026464,0.050001,0.177954,calls/second,seconds
1513137098,20,0.009000,0.006246,0.003000,0.000580,0.006000,0.006000,0.007000,0.008000,0.009000,0.009000,0.024838,0.026800,0.050023,0.177953,calls/second,seconds
1513137998,20,0.011000,0.004821,0.003000,0.001660,0.006000,0.006000,0.007000,0.007000,0.007000,0.007000,0.024834,0.026801,0.050043,0.177959,calls/second,seconds
1513138898,20,0.007000,0.003919,0.003000,0.001081,0.004000,0.004000,0.006000,0.006000,0.006000,0.007000,0.024838,0.026463,0.049982,0.177947,calls/second,seconds
1513139798,20,0.009000,0.006468,0.003000,0.001250,0.006000,0.007000,0.009000,0.009000,0.009000,0.009000,0.024835,0.026801,0.050043,0.177959,calls/second,seconds
1513140698,20,0.008000,0.004676,0.003000,0.001627,0.005000,0.006000,0.007000,0.007000,0.008000,0.008000,0.024837,0.026801,0.050043,0.177959,calls/second,seconds
1513141598,20,0.008000,0.004649,0.003000,0.001693,0.004000,0.004000,0.008000,0.008000,0.008000,0.008000,0.024837,0.026447,0.049971,0.177946,calls/second,seconds
1513142498,20,0.012000,0.005908,0.003000,0.001402,0.007000,0.007000,0.007000,0.007000,0.007000,0.007000,0.024836,0.026800,0.050030,0.177956,calls/second,seconds
1513143398,20,0.008000,0.005533,0.003000,0.001130,0.006000,0.006000,0.006000,0.006000,0.008000,0.008000,0.024838,0.026447,0.049978,0.177949,calls/second,seconds
1513144298,20,0.007000,0.005546,0.003000,0.001262,0.006000,0.006000,0.007000,0.007000,0.007000,0.007000,0.024837,0.026801,0.050043,0.177959,calls/second,seconds
1513145198,20,0.010000,0.004786,0.003000,0.001184,0.005000,0.005000,0.006000,0.007000,0.010000,0.010000,0.024839,0.026446,0.049959,0.177942,calls/second,seconds
1513146098,20,0.019000,0.005846,0.003000,0.002537,0.006000,0.006000,0.007000,0.019000,0.019000,0.019000,0.024837,0.026800,0.050023,0.177953,calls/second,seconds
1513146998,20,0.007000,0.005623,0.003000,0.000804,0.006000,0.006000,0.006000,0.006000,0.007000,0.007000,0.024838,0.026801,0.050043,0.177959,calls/second,seconds
1513147898,20,0.007000,0.005454,0.003000,0.001307,0.006000,0.006000,0.007000,0.007000,0.007000,0.007000,0.024837,0.026464,0.050001,0.177954,calls/second,seconds
1513148798,20,0.008000,0.005874,0.004000,0.000906,0.006000,0.006000,0.007000,0.007000,0.008000,0.008000,0.024840,0.026446,0.049959,0.177942,calls/second,seconds
1513149698,16,0.007000,0.005906,0.003000,0.001120,0.006000,0.007000,0.007000,0.007000,0.007000,0.007000,0.019871,0.001335,0.039253,0.173820,calls/second,seconds
1513150598,20,0.007000,0.005933,0.003000,0.001400,0.007000,0.007000,0.007000,0.007000,0.007000,0.007000,0.024836,0.026801,0.050043,0.177959,calls/second,seconds
1513151498,20,0.011000,0.006063,0.003000,0.001460,0.006000,0.007000,0.007000,0.008000,0.010000,0.010000,0.024836,0.026801,0.050036,0.177956,calls/second,seconds
1513152398,20,0.008000,0.006035,0.003000,0.001061,0.006000,0.007000,0.007000,0.007000,0.008000,0.008000,0.024837,0.026464,0.050001,0.177954,calls/second,seconds
1513153298,20,0.011000,0.005063,0.003000,0.001236,0.006000,0.006000,0.006000,0.006000,0.006000,0.006000,0.024839,0.026463,0.049982,0.177947,calls/second,seconds
1513154198,20,0.007000,0.006930,0.003000,0.000372,0.007000,0.007000,0.007000,0.007000,0.007000,0.007000,0.024834,0.026801,0.050043,0.177959,calls/second,seconds
1513155098,20,0.007000,0.004998,0.003000,0.001435,0.006000,0.006000,0.006000,0.007000,0.007000,0.007000,0.024841,0.026446,0.049959,0.177942,calls/second,seconds
1513155998,20,0.007000,0.006108,0.003000,0.001427,0.007000,0.007000,0.007000,0.007000,0.007000,0.007000,0.024838,0.026784,0.050013,0.177952,calls/second,seconds
1513156881,20,0.009000,0.005457,0.003000,0.001630,0.006000,0.007000,0.007000,0.007000,0.009000,0.009000,0.024836,0.026801,0.050036,0.177956,calls/second,seconds
1513157781,20,0.007000,0.005503,0.003000,0.001281,0.006000,0.006000,0.007000,0.007000,0.007000,0.007000,0.024838,0.026447,0.049978,0.177949,calls/second,seconds
1513158681,20,0.007000,0.005856,0.004000,0.000734,0.006000,0.006000,0.007000,0.007000,0.007000,0.007000,0.024840,0.026463,0.049982,0.177947,calls/second,seconds
1513159581,20,0.008000,0.005673,0.004000,0.000823,0.006000,0.006000,0.006000,0.007000,0.008000,0.008000,0.024838,0.026464,0.050001,0.177954,calls/second,seconds
1513160481,20,0.008000,0.004996,0.004000,0.001066,0.004000,0.006000,0.006000,0.007000,0.007000,0.008000,0.024836,0.026464,0.050001,0.177954,calls/second,seconds
1513161381,20,0.007000,0.005946,0.003000,0.000678,0.006000,0.006000,0.007000,0.007000,0.007000,0.007000,0.024839,0.026463,0.049982,0.177947,calls/second,seconds
1513162281,20,0.008000,0.005445,0.003000,0.000897,0.006000,0.006000,0.006000,0.006000,0.008000,0.008000,0.024836,0.026801,0.050043,0.177959,calls/second,seconds
1513163181,20,0.009000,0.005799,0.003000,0.000446,0.006000,0.006000,0.006000,0.006000,0.006000,0.007000,0.024837,0.026800,0.050023,0.177953,calls/second,seconds
1513164081,20,0.007000,0.005986,0.005000,0.000125,0.006000,0.006000,0.006000,0.006000,0.006000,0.006000,0.024837,0.026801,0.050043,0.177959,calls/second,seconds
1513164981,20,0.007000,0.003889,0.003000,0.001248,0.003000,0.004000,0.006000,0.006000,0.007000,0.007000,0.024838,0.026463,0.049982,0.177947,calls/second,seconds
1513165881,20,0.008000,0.005601,0.003000,0.001550,0.006000,0.007000,0.007000,0.007000,0.007000,0.007000,0.024838,0.026464,0.050001,0.177954,calls/second,seconds
1513166781,20,0.007000,0.005773,0.003000,0.000933,0.006000,0.006000,0.007000,0.007000,0.007000,0.007000,0.024837,0.026463,0.049982,0.177947,calls/second,seconds
1513167681,20,0.008000,0.005649,0.003000,0.000482,0.006000,0.006000,0.006000,0.006000,0.006000,0.006000,0.024837,0.026801,0.050036,0.177956,calls/second,seconds
1513168581,20,0.008000,0.006747,0.003000,0.000766,0.007000,0.007000,0.008000,0.008000,0.008000,0.008000,0.024838,0.026783,0.050000,0.177948,calls/second,seconds
1513169481,20,0.007000,0.005928,0.003000,0.001182,0.006000,0.007000,0.007000,0.007000,0.007000,0.007000,0.024839,0.026784,0.050013,0.177952,calls/second,seconds
1513170381,20,0.007000,0.006117,0.003000,0.000508,0.006000,0.006000,0.007000,0.007000,0.007000,0.007000,0.024838,0.026801,0.050043,0.177959,calls/second,seconds
1513171281,20,0.010000,0.006503,0.004000,0.000633,0.006000,0.007000,0.007000,0.007000,0.010000,0.010000,0.024838,0.026447,0.049971,0.177946,calls/second,seconds
1513172181,20,0.007000,0.005783,0.003000,0.000495,0.006000,0.006000,0.006000,0.006000,0.006000,0.006000,0.024838,0.026464,0.050001,0.177954,calls/second,seconds
1513173081,20,0.008000,0.006635,0.003000,0.001006,0.007000,0.007000,0.008000,0.008000,0.008000,0.008000,0.024837,0.026801,0.050036,0.177956,calls/second,seconds
1513173981,20,0.007000,0.005568,0.003000,0.001572,0.006000,0.007000,0.007000,0.007000,0.007000,0.007000,0.024837,0.026801,0.050043,0.177959,calls/second,seconds
1513174881,20,0.007000,0.004953,0.003000,0.001174,0.005000,0.006000,0.006000,0.006000,0.007000,0.007000,0.024838,0.026784,0.050013,0.177952,calls/second,seconds
1513175781,20,0.021000,0.005067,0.002000,0.001595,0.006000,0.006000,0.006000,0.007000,0.007000,0.007000,0.024841,0.026464,0.049994,0.177951,calls/second,seconds
1513176681,20,0.007000,0.005984,0.003000,0.001526,0.007000,0.007000,0.007000,0.007000,0.007000,0.007000,0.024840,0.026463,0.049988,0.177950,calls/second,seconds
1513177581,20,0.009000,0.006203,0.003000,0.000547,0.006000,0.006000,0.007000,0.007000,0.009000,0.009000,0.024837,0.026464,0.050001,0.177954,calls/second,seconds
1513178481,20,0.008000,0.006075,0.003000,0.000935,0.006000,0.007000,0.007000,0.007000,0.007000,0.007000,0.024838,0.026464,0.049994,0.177951,calls/second,seconds
1513179381,20,0.007000,0.006399,0.003000,0.000606,0.006000,0.007000,0.007000,0.007000,0.007000,0.007000,0.024837,0.026784,0.050020,0.177955,calls/second,seconds
1513180281,20,0.007000,0.005977,0.003000,0.000215,0.006000,0.006000,0.006000,0.006000,0.006000,0.006000,0.024838,0.026463,0.049982,0.177947,calls/second,seconds
1513181181,20,0.007000,0.006132,0.003000,0.001198,0.007000,0.007000,0.007000,0.007000,0.007000,0.007000,0.024835,0.026447,0.049971,0.177946,calls/second,seconds
1513182081,20,0.007000,0.005328,0.003000,0.001085,0.006000,0.006000,0.006000,0.006000,0.006000,0.006000,0.024840,0.026463,0.049988,0.177950,calls/second,seconds
1513182981,20,0.006000,0.005963,0.002000,0.000249,0.006000,0.006000,0.006000,0.006000,0.006000,0.006000,0.024836,0.026784,0.050013,0.177952,calls/second,seconds
1513183881,20,0.007000,0.005753,0.003000,0.001003,0.006000,0.006000,0.007000,0.007000,0.007000,0.007000,0.024844,0.026446,0.049959,0.177942,calls/second,seconds
1513184781,20,0.008000,0.005700,0.003000,0.000772,0.006000,0.006000,0.006000,0.006000,0.008000,0.008000,0.024839,0.026446,0.049959,0.177942,calls/second,seconds
1513185681,20,0.008000,0.005826,0.003000,0.000460,0.006000,0.006000,0.006000,0.006000,0.008000,0.008000,0.024839,0.026463,0.049988,0.177950,calls/second,seconds
1513186581,20,0.007000,0.004854,0.003000,0.001421,0.004000,0.006000,0.007000,0.007000,0.007000,0.007000,0.024838,0.026464,0.050001,0.177954,calls/second,seconds
1513187481,20,0.011000,0.006772,0.004000,0.002037,0.006000,0.006000,0.011000,0.011000,0.011000,0.011000,0.024838,0.026800,0.050023,0.177953,calls/second,seconds
1513188381,20,0.008000,0.005837,0.003000,0.000523,0.006000,0.006000,0.006000,0.006000,0.008000,0.008000,0.024837,0.026464,0.049994,0.177951,calls/second,seconds
1513189281,20,0.007000,0.005080,0.003000,0.000667,0.005000,0.005000,0.006000,0.007000,0.007000,0.007000,0.024841,0.026446,0.049959,0.177942,calls/second,seconds
1513190181,20,0.007000,0.006053,0.002000,0.001225,0.007000,0.007000,0.007000,0.007000,0.007000,0.007000,0.024835,0.026801,0.050043,0.177959,calls/second,seconds
1513191081,20,0.008000,0.005333,0.003000,0.000982,0.006000,0.006000,0.006000,0.006000,0.008000,0.008000,0.024836,0.026464,0.050001,0.177954,calls/second,seconds
1513191981,12,0.006000,0.005640,0.003000,0.000781,0.006000,0.006000,0.006000,0.006000,0.006000,0.006000,0.014904,0.000067,0.033335,0.170433,calls/second,seconds
1513192881,13,0.007000,0.006246,0.003000,0.000779,0.006000,0.007000,0.007000,0.007000,0.007000,0.007000,0.023720,0.028765,0.053265,0.120102,calls/second,seconds
1513193781,20,0.007000,0.005678,0.004000,0.000812,0.006000,0.006000,0.006000,0.007000,0.007000,0.007000,0.024835,0.026464,0.050001,0.177954,calls/second,seconds
