t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1513110998,20,2.469000,0.583326,0.362000,0.201837,0.489000,0.659000,0.999000,0.999000,0.999000,0.999000,0.025507,0.028744,0.037930,0.098603,calls/second,seconds
1513111898,20,0.720000,0.461206,0.370000,0.079972,0.419000,0.441000,0.615000,0.615000,0.615000,0.615000,0.024838,0.026446,0.049959,0.177942,calls/second,seconds
1513112798,20,0.658000,0.522114,0.346000,0.024692,0.520000,0.523000,0.563000,0.563000,0.563000,0.563000,0.024834,0.026784,0.050013,0.177952,calls/second,seconds
1513113698,20,0.633000,0.465120,0.377000,0.029215,0.463000,0.463000,0.514000,0.514000,0.523000,0.609000,0.024837,0.026464,0.049994,0.177951,calls/second,seconds
1513114598,20,0.688000,0.505364,0.362000,0.036684,0.480000,0.538000,0.565000,0.565000,0.565000,0.567000,0.024836,0.026801,0.050043,0.177959,calls/second,seconds
1513115498,20,0.628000,0.467055,0.321000,0.032439,0.468000,0.469000,0.504000,0.504000,0.539000,0.581000,0.024835,0.026784,0.050013,0.177952,calls/second,seconds
1513116398,20,0.784000,0.446875,0.351000,0.069723,0.410000,0.507000,0.547000,0.571000,0.575000,0.575000,0.024838,0.026463,0.049982,0.177947,calls/second,seconds
1513117298,20,0.629000,0.504668,0.433000,0.029144,0.496000,0.530000,0.542000,0.542000,0.582000,0.582000,0.024835,0.026446,0.049959,0.177942,calls/second,seconds
1513118198,20,0.603000,0.456394,0.393000,0.064914,0.435000,0.518000,0.545000,0.545000,0.566000,0.566000,0.024835,0.026463,0.049988,0.177950,calls/second,seconds
1513119098,20,0.590000,0.513563,0.419000,0.039902,0.540000,0.544000,0.544000,0.544000,0.572000,0.572000,0.024835,0.026447,0.049978,0.177949,calls/second,seconds
1513119998,20,0.586000,0.534624,0.441000,0.017239,0.539000,0.541000,0.545000,0.545000,0.586000,0.586000,0.024835,0.026801,0.050043,0.177959,calls/second,seconds
1513120898,20,0.613000,0.484967,0.369000,0.029796,0.478000,0.511000,0.526000,0.542000,0.548000,0.548000,0.024834,0.026800,0.050030,0.177956,calls/second,seconds
1513121798,20,0.619000,0.458688,0.381000,0.021696,0.450000,0.467000,0.473000,0.515000,0.608000,0.608000,0.024834,0.026801,0.050036,0.177956,calls/second,seconds
1513122698,20,0.809000,0.503088,0.399000,0.047994,0.470000,0.551000,0.551000,0.551000,0.551000,0.809000,0.024837,0.026446,0.049959,0.177942,calls/second,seconds
1513123598,20,0.689000,0.482442,0.423000,0.064010,0.481000,0.503000,0.590000,0.590000,0.631000,0.631000,0.024836,0.026446,0.049959,0.177942,calls/second,seconds
1513124498,20,0.646000,0.502329,0.362000,0.056708,0.470000,0.544000,0.595000,0.595000,0.646000,0.646000,0.024833,0.026784,0.050020,0.177955,calls/second,seconds
1513125398,20,0.640000,0.542063,0.422000,0.057954,0.524000,0.577000,0.640000,0.640000,0.640000,0.640000,0.024836,0.026446,0.049959,0.177942,calls/second,seconds
1513126298,20,0.613000,0.528724,0.384000,0.041796,0.540000,0.557000,0.565000,0.565000,0.565000,0.565000,0.024833,0.026801,0.050043,0.177959,calls/second,seconds
1513127198,20,0.789000,0.491974,0.323000,0.071052,0.483000,0.521000,0.620000,0.620000,0.620000,0.620000,0.024837,0.026784,0.050013,0.177952,calls/second,seconds
1513128098,20,0.627000,0.488837,0.353000,0.030443,0.483000,0.511000,0.520000,0.520000,0.627000,0.627000,0.024833,0.026784,0.050020,0.177955,calls/second,seconds
1513128998,20,0.585000,0.471348,0.404000,0.049615,0.461000,0.519000,0.545000,0.545000,0.558000,0.558000,0.024834,0.026800,0.050023,0.177953,calls/second,seconds
1513129898,20,0.653000,0.531540,0.444000,0.028563,0.549000,0.553000,0.553000,0.553000,0.573000,0.573000,0.024836,0.026784,0.050020,0.177955,calls/second,seconds
1513130798,20,0.598000,0.522298,0.413000,0.042499,0.511000,0.529000,0.598000,0.598000,0.598000,0.598000,0.024835,0.026801,0.050036,0.177956,calls/second,seconds
1513131698,20,0.624000,0.485264,0.320000,0.089391,0.474000,0.542000,0.607000,0.607000,0.624000,0.624000,0.024834,0.026447,0.049978,0.177949,calls/second,seconds
1513132598,20,0.984000,0.551808,0.402000,0.202332,0.431000,0.584000,0.984000,0.984000,0.984000,0.984000,0.024832,0.026464,0.049994,0.177951,calls/second,seconds
1513133498,20,0.554000,0.521053,0.405000,0.032696,0.541000,0.542000,0.542000,0.542000,0.542000,0.542000,0.024834,0.026801,0.050043,0.177959,calls/second,seconds
1513134398,20,0.691000,0.516865,0.413000,0.072828,0.477000,0.529000,0.656000,0.656000,0.691000,0.691000,0.024836,0.026446,0.049966,0.177945,calls/second,seconds
1513135298,20,0.605000,0.520327,0.368000,0.058205,0.523000,0.579000,0.605000,0.605000,0.605000,0.605000,0.024832,0.026800,0.050030,0.177956,calls/second,seconds
1513136198,20,0.612000,0.489217,0.347000,0.069030,0.530000,0.535000,0.535000,0.535000,0.612000,0.612000,0.024835,0.026447,0.049978,0.177949,calls/second,seconds
1513137098,20,0.606000,0.471466,0.405000,0.059690,0.498000,0.527000,0.539000,0.545000,0.548000,0.548000,0.024837,0.026463,0.049982,0.177947,calls/second,seconds
1513137998,20,0.615000,0.449613,0.387000,0.057121,0.481000,0.501000,0.507000,0.520000,0.605000,0.605000,0.024831,0.026801,0.050043,0.177959,calls/second,seconds
