t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1519381976,116,0.001000,0.000016,0.000000,0.000125,0.000000,0.000000,0.000000,0.000000,0.001000,0.001000,0.166905,0.013641,0.285371,1.085564,calls/second,seconds
1519382876,20,0.001000,0.000252,0.000000,0.000434,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.023710,0.012840,0.032118,0.092476,calls/second,seconds
1519383776,20,0.001000,0.000270,0.000000,0.000444,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.023710,0.012652,0.032087,0.092474,calls/second,seconds
1519384676,20,0.001000,0.000001,0.000000,0.000033,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,0.023711,0.012642,0.032049,0.092463,calls/second,seconds
1519385576,20,0.001000,0.000262,0.000000,0.000440,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.023710,0.014626,0.032358,0.092509,calls/second,seconds
1519386476,24,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.028451,0.014224,0.038267,0.095912,calls/second,seconds
1519387376,20,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.023711,0.012781,0.032252,0.092504,calls/second,seconds
1519388276,22,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.026079,0.012652,0.032543,0.093386,calls/second,seconds
1519389176,20,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.023710,0.012652,0.032075,0.092470,calls/second,seconds
1519390076,30,0.001000,0.000001,0.000000,0.000028,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.035565,0.012643,0.034145,0.096875,calls/second,seconds
1519390976,20,0.001000,0.000000,0.000000,0.000009,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.023794,0.012649,0.032160,0.092496,calls/second,seconds
1519391876,20,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.023710,0.013401,0.032197,0.092492,calls/second,seconds
1519392776,20,0.001000,0.000000,0.000000,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.023710,0.012643,0.032071,0.092470,calls/second,seconds
1519393676,20,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.023713,0.013035,0.032148,0.092483,calls/second,seconds
1519394576,20,0.001000,0.000000,0.000000,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.023813,0.013156,0.032474,0.092957,calls/second,seconds
1519395476,20,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.023719,0.012642,0.032060,0.092470,calls/second,seconds
1519396376,20,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.023710,0.012642,0.032073,0.092478,calls/second,seconds
1519397276,20,0.001000,0.000000,0.000000,0.000009,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.023711,0.012644,0.032123,0.092495,calls/second,seconds
1519398176,20,0.001000,0.000177,0.000000,0.000381,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.023619,0.011634,0.031592,0.091977,calls/second,seconds
1519399076,20,0.001000,0.000000,0.000000,0.000008,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.023328,0.011745,0.031181,0.091070,calls/second,seconds
1519399976,20,0.001000,0.000000,0.000000,0.000007,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.023760,0.012642,0.032049,0.092463,calls/second,seconds
1519400876,20,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.023710,0.012840,0.032124,0.092479,calls/second,seconds
1519401776,20,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.023710,0.012652,0.032087,0.092474,calls/second,seconds
1519402676,20,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.023711,0.012642,0.032049,0.092463,calls/second,seconds
1519403576,20,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.023710,0.012652,0.032087,0.092474,calls/second,seconds
1519404476,20,0.001000,0.000177,0.000000,0.000381,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.023712,0.012642,0.032049,0.092463,calls/second,seconds
1519405376,20,0.001000,0.000017,0.000000,0.000129,0.000000,0.000000,0.000000,0.000000,0.001000,0.001000,0.023710,0.012840,0.032124,0.092479,calls/second,seconds
1519406276,20,0.001000,0.000253,0.000000,0.000435,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.023711,0.012642,0.032049,0.092463,calls/second,seconds
1519407176,20,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.023710,0.012652,0.032081,0.092471,calls/second,seconds
1519408076,20,0.001000,0.000001,0.000000,0.000028,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.023711,0.014428,0.032294,0.092496,calls/second,seconds
1519408976,20,0.001000,0.000000,0.000000,0.000009,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.023709,0.012840,0.032124,0.092479,calls/second,seconds
1519409876,20,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.023712,0.012642,0.032049,0.092463,calls/second,seconds
1519410776,20,0.001000,0.000253,0.000000,0.000435,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.023710,0.012840,0.032118,0.092476,calls/second,seconds
1519411676,20,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.023710,0.012652,0.032087,0.092474,calls/second,seconds
1519412576,20,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.023710,0.012840,0.032113,0.092475,calls/second,seconds
1519413476,20,0.001000,0.000000,0.000000,0.000009,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.023711,0.012652,0.032069,0.092467,calls/second,seconds
1519414376,20,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.023710,0.012642,0.032049,0.092463,calls/second,seconds
1519415276,20,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.023929,0.012977,0.032812,0.093027,calls/second,seconds
1519416176,20,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.023710,0.012652,0.032094,0.092483,calls/second,seconds
1519417076,20,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.023710,0.012652,0.032069,0.092467,calls/second,seconds
1519417976,20,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.023710,0.012652,0.032069,0.092467,calls/second,seconds
1519418876,20,0.001000,0.000000,0.000000,0.000007,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.023710,0.012652,0.032087,0.092474,calls/second,seconds
1519419776,20,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.023710,0.012652,0.032075,0.092470,calls/second,seconds
1519420676,20,0.001000,0.000000,0.000000,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.023711,0.012830,0.032086,0.092468,calls/second,seconds
1519421576,20,0.001000,0.000012,0.000000,0.000108,0.000000,0.000000,0.000000,0.000000,0.001000,0.001000,0.023711,0.012642,0.032049,0.092463,calls/second,seconds
1519422476,20,0.001000,0.000000,0.000000,0.000009,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.023711,0.012642,0.032049,0.092463,calls/second,seconds
1519423376,20,0.001000,0.000001,0.000000,0.000034,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,0.023708,0.012652,0.032081,0.092471,calls/second,seconds
1519424276,20,0.001000,0.000034,0.000000,0.000181,0.000000,0.000000,0.000000,0.001000,0.001000,0.001000,0.023710,0.012840,0.032118,0.092476,calls/second,seconds
1519425176,20,0.001000,0.000001,0.000000,0.000035,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,0.023709,0.012652,0.032087,0.092474,calls/second,seconds
1519426076,20,0.001000,0.000001,0.000000,0.000034,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,0.023712,0.012642,0.032049,0.092463,calls/second,seconds
1519426976,20,0.001000,0.000001,0.000000,0.000034,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,0.023711,0.012642,0.032049,0.092463,calls/second,seconds
1519427876,20,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.023710,0.012840,0.032118,0.092476,calls/second,seconds
1519428776,20,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.023664,0.011813,0.031593,0.091967,calls/second,seconds
1519429676,20,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.023693,0.012840,0.032124,0.092479,calls/second,seconds
1519430576,20,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.023710,0.012831,0.032103,0.092475,calls/second,seconds
