t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1519381976,19,0.009000,0.003065,0.002000,0.000667,0.003000,0.004000,0.004000,0.004000,0.004000,0.005000,0.027361,0.012843,0.040205,0.106534,calls/second,seconds
1519382876,20,0.004000,0.003238,0.002000,0.000458,0.003000,0.004000,0.004000,0.004000,0.004000,0.004000,0.023710,0.012840,0.032118,0.092476,calls/second,seconds
1519383776,20,0.004000,0.003056,0.002000,0.000669,0.003000,0.004000,0.004000,0.004000,0.004000,0.004000,0.023710,0.012652,0.032087,0.092474,calls/second,seconds
1519384676,20,0.008000,0.004245,0.002000,0.002186,0.003000,0.008000,0.008000,0.008000,0.008000,0.008000,0.023712,0.012642,0.032049,0.092463,calls/second,seconds
1519385576,20,0.005000,0.002553,0.002000,0.000503,0.003000,0.003000,0.003000,0.003000,0.003000,0.005000,0.023711,0.014626,0.032358,0.092509,calls/second,seconds
1519386476,20,0.003000,0.002777,0.002000,0.000416,0.003000,0.003000,0.003000,0.003000,0.003000,0.003000,0.023710,0.012840,0.032124,0.092479,calls/second,seconds
1519387376,20,0.004000,0.003237,0.002000,0.000456,0.003000,0.004000,0.004000,0.004000,0.004000,0.004000,0.023712,0.012781,0.032252,0.092504,calls/second,seconds
1519388276,20,0.006000,0.002999,0.002000,0.000035,0.003000,0.003000,0.003000,0.003000,0.003000,0.003000,0.023709,0.012652,0.032075,0.092470,calls/second,seconds
1519389176,20,0.003000,0.002696,0.002000,0.000460,0.003000,0.003000,0.003000,0.003000,0.003000,0.003000,0.023711,0.012652,0.032075,0.092470,calls/second,seconds
1519390076,20,0.005000,0.002355,0.002000,0.000551,0.002000,0.003000,0.003000,0.004000,0.004000,0.005000,0.023711,0.012643,0.032066,0.092469,calls/second,seconds
1519390976,20,0.008000,0.002556,0.002000,0.000902,0.002000,0.004000,0.004000,0.004000,0.004000,0.008000,0.023795,0.012649,0.032160,0.092496,calls/second,seconds
1519391876,20,0.003000,0.002019,0.002000,0.000135,0.002000,0.002000,0.002000,0.002000,0.003000,0.003000,0.023711,0.013401,0.032197,0.092492,calls/second,seconds
1519392776,20,0.004000,0.002980,0.002000,0.000720,0.003000,0.003000,0.004000,0.004000,0.004000,0.004000,0.023711,0.012643,0.032071,0.092470,calls/second,seconds
