t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1519381976,19,1.049000,0.724765,0.318000,0.237396,0.889000,0.950000,0.950000,0.969000,1.003000,1.049000,0.027357,0.012843,0.040205,0.106534,calls/second,seconds
1519382876,20,1.029000,0.787103,0.300000,0.269906,0.993000,1.029000,1.029000,1.029000,1.029000,1.029000,0.023709,0.012840,0.032118,0.092476,calls/second,seconds
1519383776,20,1.034000,0.729913,0.303000,0.251211,0.905000,0.969000,0.969000,0.971000,1.001000,1.001000,0.023709,0.012652,0.032087,0.092474,calls/second,seconds
1519384676,20,1.053000,0.789167,0.301000,0.258175,0.974000,1.032000,1.032000,1.032000,1.032000,1.053000,0.023711,0.012642,0.032049,0.092463,calls/second,seconds
1519385576,20,11.917000,9.654692,0.302000,4.023382,11.898000,11.917000,11.917000,11.917000,11.917000,11.917000,0.023710,0.014626,0.032358,0.092509,calls/second,seconds
1519386476,20,1.081000,0.781058,0.306000,0.262980,0.911000,1.081000,1.081000,1.081000,1.081000,1.081000,0.023709,0.012840,0.032124,0.092479,calls/second,seconds
1519387376,20,12.697000,1.384946,0.301000,2.834332,0.810000,0.867000,12.367000,12.697000,12.697000,12.697000,0.023711,0.012781,0.032252,0.092504,calls/second,seconds
1519388276,20,1.032000,0.726234,0.304000,0.233053,0.848000,0.956000,0.956000,0.972000,0.996000,0.996000,0.023708,0.012652,0.032075,0.092470,calls/second,seconds
1519389176,20,0.982000,0.699060,0.291000,0.240847,0.871000,0.928000,0.928000,0.928000,0.953000,0.953000,0.023710,0.012652,0.032075,0.092470,calls/second,seconds
1519390076,20,1.658000,1.173866,0.291000,0.469944,1.532000,1.547000,1.547000,1.547000,1.547000,1.547000,0.023710,0.012643,0.032066,0.092469,calls/second,seconds
1519390976,20,16.955000,0.727175,0.309000,1.079108,0.792000,0.868000,0.868000,0.972000,0.972000,16.955000,0.023794,0.012649,0.032160,0.092496,calls/second,seconds
1519391876,20,10.663000,3.508630,0.329000,2.005858,4.111000,5.648000,5.648000,5.648000,5.648000,5.648000,0.023710,0.013401,0.032197,0.092492,calls/second,seconds
1519392776,20,8.318000,0.738067,0.308000,0.332609,0.914000,0.950000,0.950000,0.950000,0.955000,0.992000,0.023710,0.012643,0.032071,0.092470,calls/second,seconds
1519393676,20,8.467000,2.289696,0.328000,3.041364,0.784000,0.956000,8.467000,8.467000,8.467000,8.467000,0.023713,0.013035,0.032148,0.092483,calls/second,seconds
1519394576,20,3.976000,0.691393,0.301000,0.234505,0.801000,0.899000,0.899000,0.981000,0.981000,2.365000,0.023813,0.013156,0.032474,0.092957,calls/second,seconds
1519395476,20,4.566000,0.761753,0.293000,0.244175,0.908000,0.993000,0.993000,0.993000,0.993000,0.993000,0.023719,0.012642,0.032060,0.092470,calls/second,seconds
1519396376,20,7.734000,0.665038,0.306000,0.204427,0.793000,0.853000,0.853000,0.853000,0.959000,0.959000,0.023710,0.012642,0.032073,0.092478,calls/second,seconds
1519397276,20,16.537000,0.693685,0.325000,0.561565,0.870000,0.919000,0.919000,0.919000,0.919000,16.537000,0.023710,0.012644,0.032123,0.092495,calls/second,seconds
1519398176,20,5.113000,0.798159,0.293000,0.399648,1.057000,1.089000,1.089000,1.089000,1.089000,4.390000,0.023619,0.011634,0.031592,0.091977,calls/second,seconds
1519399076,20,30.643000,9.413392,0.305000,9.802344,3.608000,11.468000,26.005000,26.005000,30.643000,30.643000,0.023327,0.011745,0.031181,0.091070,calls/second,seconds
1519399976,20,2.105000,0.682262,0.299000,0.207894,0.804000,0.874000,0.874000,0.874000,0.931000,0.999000,0.023760,0.012642,0.032049,0.092463,calls/second,seconds
1519400876,20,0.972000,0.726562,0.299000,0.244986,0.915000,0.962000,0.962000,0.962000,0.962000,0.962000,0.023709,0.012840,0.032124,0.092479,calls/second,seconds
1519401776,20,1.414000,0.700449,0.280000,0.237646,0.831000,0.926000,0.926000,1.017000,1.017000,1.414000,0.023710,0.012652,0.032087,0.092474,calls/second,seconds
1519402676,20,0.977000,0.744989,0.306000,0.242401,0.919000,0.977000,0.977000,0.977000,0.977000,0.977000,0.023711,0.012642,0.032049,0.092463,calls/second,seconds
1519403576,20,0.989000,0.714832,0.298000,0.220800,0.841000,0.913000,0.913000,0.913000,0.942000,0.989000,0.023710,0.012652,0.032087,0.092474,calls/second,seconds
1519404476,20,1.014000,0.697025,0.306000,0.216263,0.833000,0.920000,0.920000,0.920000,1.014000,1.014000,0.023711,0.012642,0.032049,0.092463,calls/second,seconds
1519405376,20,0.976000,0.681418,0.301000,0.219534,0.854000,0.872000,0.872000,0.872000,0.976000,0.976000,0.023709,0.012840,0.032124,0.092479,calls/second,seconds
1519406276,20,0.988000,0.755139,0.308000,0.251371,0.942000,0.988000,0.988000,0.988000,0.988000,0.988000,0.023711,0.012642,0.032049,0.092463,calls/second,seconds
1519407176,20,1.016000,0.670847,0.290000,0.213064,0.804000,0.871000,0.871000,0.871000,0.941000,1.003000,0.023710,0.012652,0.032081,0.092471,calls/second,seconds
1519408076,20,9.381000,7.307077,0.300000,3.685388,9.285000,9.381000,9.381000,9.381000,9.381000,9.381000,0.023711,0.014428,0.032294,0.092496,calls/second,seconds
1519408976,20,1.057000,0.772106,0.293000,0.270941,0.970000,1.040000,1.040000,1.040000,1.057000,1.057000,0.023709,0.012840,0.032124,0.092479,calls/second,seconds
1519409876,20,1.150000,0.732665,0.302000,0.248581,0.932000,0.956000,0.956000,0.956000,0.956000,0.956000,0.023711,0.012642,0.032049,0.092463,calls/second,seconds
1519410776,20,0.947000,0.684509,0.286000,0.198730,0.743000,0.898000,0.898000,0.898000,0.915000,0.915000,0.023710,0.012840,0.032118,0.092476,calls/second,seconds
1519411676,20,0.974000,0.706242,0.294000,0.219303,0.795000,0.925000,0.925000,0.925000,0.963000,0.963000,0.023710,0.012652,0.032087,0.092474,calls/second,seconds
1519412576,20,0.953000,0.685211,0.310000,0.249255,0.889000,0.924000,0.924000,0.924000,0.930000,0.953000,0.023710,0.012840,0.032113,0.092475,calls/second,seconds
1519413476,20,1.177000,0.712198,0.302000,0.234934,0.849000,0.967000,0.967000,0.967000,0.976000,0.976000,0.023711,0.012652,0.032069,0.092467,calls/second,seconds
1519414376,20,1.466000,1.082591,0.297000,0.410753,1.309000,1.466000,1.466000,1.466000,1.466000,1.466000,0.023710,0.012642,0.032049,0.092463,calls/second,seconds
1519415276,20,32.836000,3.387929,0.302000,8.675156,0.902000,0.996000,32.763000,32.836000,32.836000,32.836000,0.023929,0.012977,0.032812,0.093027,calls/second,seconds
1519416176,20,7.586000,0.652428,0.302000,0.234041,0.813000,0.893000,0.893000,0.893000,0.920000,0.962000,0.023710,0.012652,0.032094,0.092483,calls/second,seconds
1519417076,20,0.976000,0.720453,0.300000,0.263403,0.930000,0.973000,0.973000,0.973000,0.973000,0.973000,0.023710,0.012652,0.032069,0.092467,calls/second,seconds
1519417976,20,0.999000,0.647354,0.288000,0.209149,0.766000,0.852000,0.852000,0.907000,0.969000,0.969000,0.023710,0.012652,0.032069,0.092467,calls/second,seconds
1519418876,20,0.980000,0.721441,0.291000,0.246904,0.899000,0.960000,0.960000,0.960000,0.960000,0.960000,0.023710,0.012652,0.032087,0.092474,calls/second,seconds
1519419776,20,4.380000,0.660381,0.299000,0.209877,0.796000,0.858000,0.858000,0.858000,0.930000,0.975000,0.023710,0.012652,0.032075,0.092470,calls/second,seconds
1519420676,20,0.975000,0.689648,0.312000,0.222406,0.798000,0.946000,0.946000,0.946000,0.975000,0.975000,0.023710,0.012830,0.032086,0.092468,calls/second,seconds
1519421576,20,0.981000,0.663615,0.291000,0.217202,0.765000,0.895000,0.895000,0.933000,0.952000,0.962000,0.023711,0.012642,0.032049,0.092463,calls/second,seconds
1519422476,20,0.994000,0.725080,0.287000,0.237971,0.850000,0.988000,0.988000,0.988000,0.988000,0.990000,0.023711,0.012642,0.032049,0.092463,calls/second,seconds
1519423376,20,0.962000,0.656429,0.294000,0.232987,0.826000,0.888000,0.888000,0.888000,0.924000,0.954000,0.023708,0.012652,0.032081,0.092471,calls/second,seconds
1519424276,20,0.942000,0.689986,0.305000,0.200826,0.770000,0.917000,0.917000,0.917000,0.939000,0.942000,0.023710,0.012840,0.032118,0.092476,calls/second,seconds
1519425176,20,1.019000,0.668697,0.290000,0.232342,0.817000,0.894000,0.894000,0.981000,1.019000,1.019000,0.023709,0.012652,0.032087,0.092474,calls/second,seconds
1519426076,20,1.179000,0.746189,0.305000,0.232809,0.883000,0.948000,0.948000,0.948000,0.980000,0.980000,0.023712,0.012642,0.032049,0.092463,calls/second,seconds
1519426976,20,0.991000,0.680679,0.293000,0.218825,0.811000,0.888000,0.888000,0.888000,0.986000,0.986000,0.023711,0.012642,0.032049,0.092463,calls/second,seconds
1519427876,20,0.975000,0.743017,0.308000,0.215782,0.868000,0.942000,0.942000,0.942000,0.956000,0.958000,0.023710,0.012840,0.032118,0.092476,calls/second,seconds
1519428776,20,0.972000,0.649855,0.300000,0.201961,0.796000,0.836000,0.836000,0.836000,0.918000,0.958000,0.023663,0.011813,0.031593,0.091967,calls/second,seconds
1519429676,20,0.977000,0.739592,0.303000,0.239819,0.923000,0.952000,0.952000,0.952000,0.956000,0.969000,0.023693,0.012840,0.032124,0.092479,calls/second,seconds
1519430576,20,0.983000,0.725782,0.300000,0.217470,0.852000,0.914000,0.914000,0.914000,0.983000,0.983000,0.023710,0.012831,0.032103,0.092475,calls/second,seconds
1519431476,20,1.018000,0.687919,0.302000,0.257146,0.847000,0.966000,0.966000,0.975000,1.004000,1.004000,0.023711,0.012642,0.032049,0.092463,calls/second,seconds
1519432376,20,1.109000,0.834281,0.300000,0.278259,0.971000,1.109000,1.109000,1.109000,1.109000,1.109000,0.023710,0.012652,0.032075,0.092470,calls/second,seconds
1519433276,20,0.964000,0.724361,0.298000,0.222197,0.856000,0.939000,0.939000,0.939000,0.957000,0.957000,0.023710,0.012840,0.032124,0.092479,calls/second,seconds
1519434176,20,0.993000,0.689553,0.311000,0.206397,0.813000,0.892000,0.892000,0.892000,0.910000,0.959000,0.023710,0.012840,0.032113,0.092475,calls/second,seconds
1519435076,20,1.029000,0.687903,0.314000,0.218908,0.786000,0.936000,0.936000,0.936000,0.937000,0.973000,0.023710,0.012643,0.032060,0.092466,calls/second,seconds
1519435976,20,0.996000,0.712527,0.306000,0.228934,0.880000,0.917000,0.917000,0.974000,0.996000,0.996000,0.023710,0.012840,0.032124,0.092479,calls/second,seconds
1519436876,20,1.136000,0.813627,0.307000,0.255862,1.008000,1.042000,1.042000,1.042000,1.042000,1.042000,0.023710,0.012840,0.032113,0.092475,calls/second,seconds
1519437776,20,20.611000,16.489502,0.310000,7.877710,20.533000,20.611000,20.611000,20.611000,20.611000,20.611000,0.023711,0.016726,0.032584,0.092535,calls/second,seconds
1519438676,20,0.999000,0.712622,0.293000,0.248456,0.897000,0.967000,0.967000,0.967000,0.967000,0.999000,0.023710,0.012830,0.032092,0.092471,calls/second,seconds
1519439576,20,1.020000,0.740278,0.283000,0.278688,0.938000,1.020000,1.020000,1.020000,1.020000,1.020000,0.023711,0.012642,0.032049,0.092463,calls/second,seconds
1519440476,20,0.964000,0.713208,0.289000,0.240565,0.879000,0.948000,0.948000,0.948000,0.948000,0.964000,0.023711,0.012642,0.032049,0.092463,calls/second,seconds
1519441376,20,0.958000,0.628108,0.282000,0.215585,0.723000,0.869000,0.869000,0.869000,0.958000,0.958000,0.023500,0.010702,0.031015,0.091448,calls/second,seconds
1519442276,20,1.018000,0.708321,0.299000,0.233528,0.784000,0.985000,0.985000,0.985000,0.985000,0.985000,0.023710,0.012643,0.032060,0.092466,calls/second,seconds
1519443176,20,0.994000,0.660437,0.290000,0.210032,0.789000,0.863000,0.863000,0.863000,0.948000,0.961000,0.023709,0.012840,0.032124,0.092479,calls/second,seconds
1519444076,20,1.003000,0.718240,0.307000,0.242387,0.889000,0.954000,0.954000,0.954000,0.966000,0.966000,0.023710,0.012642,0.032049,0.092463,calls/second,seconds
1519444976,20,0.984000,0.658606,0.287000,0.203562,0.738000,0.886000,0.886000,0.886000,0.941000,0.984000,0.023709,0.012840,0.032124,0.092479,calls/second,seconds
1519445876,20,1.093000,0.721982,0.313000,0.236285,0.896000,0.940000,0.940000,0.940000,0.950000,1.019000,0.023710,0.012652,0.032087,0.092474,calls/second,seconds
1519446776,20,0.940000,0.646986,0.300000,0.194415,0.767000,0.832000,0.832000,0.847000,0.903000,0.925000,0.023710,0.012652,0.032069,0.092467,calls/second,seconds
1519447676,20,0.973000,0.706468,0.300000,0.234591,0.893000,0.918000,0.918000,0.919000,0.971000,0.973000,0.023711,0.012642,0.032049,0.092463,calls/second,seconds
1519448576,20,0.958000,0.679015,0.278000,0.214897,0.781000,0.885000,0.885000,0.910000,0.953000,0.958000,0.023710,0.012652,0.032069,0.092467,calls/second,seconds
1519449476,20,0.982000,0.730463,0.296000,0.248792,0.918000,0.982000,0.982000,0.982000,0.982000,0.982000,0.023710,0.012840,0.032124,0.092479,calls/second,seconds
1519450376,20,0.993000,0.677999,0.306000,0.212766,0.816000,0.882000,0.882000,0.882000,0.931000,0.993000,0.023710,0.012840,0.032124,0.092479,calls/second,seconds
1519451276,20,0.995000,0.725657,0.303000,0.237970,0.883000,0.963000,0.963000,0.963000,0.963000,0.995000,0.023711,0.012642,0.032049,0.092463,calls/second,seconds
1519452176,20,1.021000,0.657768,0.301000,0.223134,0.809000,0.872000,0.872000,0.920000,0.993000,1.021000,0.023710,0.012642,0.032055,0.092466,calls/second,seconds
1519453076,20,1.009000,0.715649,0.315000,0.222179,0.849000,0.934000,0.934000,0.934000,0.965000,0.965000,0.023711,0.012642,0.032049,0.092463,calls/second,seconds
1519453976,20,1.001000,0.672556,0.311000,0.216840,0.822000,0.879000,0.879000,0.932000,1.001000,1.001000,0.023710,0.012831,0.032097,0.092472,calls/second,seconds
1519454876,20,1.148000,0.874401,0.305000,0.287806,1.110000,1.148000,1.148000,1.148000,1.148000,1.148000,0.023711,0.012840,0.032118,0.092476,calls/second,seconds
1519455776,20,0.946000,0.658758,0.290000,0.221962,0.812000,0.874000,0.874000,0.874000,0.927000,0.940000,0.023710,0.012652,0.032087,0.092474,calls/second,seconds
1519456676,20,0.960000,0.680096,0.308000,0.229291,0.811000,0.923000,0.923000,0.934000,0.958000,0.958000,0.023711,0.012642,0.032049,0.092463,calls/second,seconds
1519457576,20,1.008000,0.625564,0.306000,0.186221,0.692000,0.825000,0.825000,0.899000,0.923000,1.008000,0.023710,0.012652,0.032075,0.092470,calls/second,seconds
1519458476,20,0.984000,0.734538,0.307000,0.246409,0.909000,0.976000,0.976000,0.976000,0.984000,0.984000,0.023711,0.012652,0.032069,0.092467,calls/second,seconds
1519459376,20,0.971000,0.673491,0.296000,0.208167,0.811000,0.869000,0.869000,0.869000,0.902000,0.971000,0.023711,0.012642,0.032049,0.092463,calls/second,seconds
1519460276,20,0.973000,0.711488,0.298000,0.205278,0.813000,0.905000,0.905000,0.905000,0.973000,0.973000,0.023710,0.012642,0.032049,0.092463,calls/second,seconds
