t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1519381976,116,0.072000,0.018440,0.016000,0.005194,0.018000,0.018000,0.018000,0.020000,0.020000,0.071000,0.166904,0.013641,0.285371,1.085564,calls/second,seconds
1519382876,20,0.020000,0.017813,0.017000,0.000567,0.018000,0.018000,0.019000,0.019000,0.020000,0.020000,0.023710,0.012840,0.032118,0.092476,calls/second,seconds
1519383776,20,0.020000,0.017662,0.017000,0.000783,0.017000,0.018000,0.019000,0.019000,0.019000,0.019000,0.023710,0.012652,0.032087,0.092474,calls/second,seconds
1519384676,20,0.049000,0.025437,0.017000,0.013700,0.018000,0.049000,0.049000,0.049000,0.049000,0.049000,0.023711,0.012642,0.032049,0.092463,calls/second,seconds
1519385576,20,0.021000,0.018267,0.017000,0.000467,0.018000,0.019000,0.019000,0.019000,0.019000,0.019000,0.023710,0.014626,0.032358,0.092509,calls/second,seconds
1519386476,24,0.021000,0.018086,0.017000,0.000481,0.018000,0.018000,0.019000,0.019000,0.019000,0.021000,0.028451,0.014224,0.038267,0.095912,calls/second,seconds
1519387376,20,0.019000,0.017502,0.017000,0.000502,0.018000,0.018000,0.018000,0.018000,0.018000,0.019000,0.023712,0.012781,0.032252,0.092504,calls/second,seconds
1519388276,21,0.020000,0.017767,0.017000,0.000497,0.018000,0.018000,0.018000,0.019000,0.019000,0.019000,0.024894,0.012652,0.032309,0.092928,calls/second,seconds
1519389176,20,0.018000,0.017520,0.017000,0.000500,0.018000,0.018000,0.018000,0.018000,0.018000,0.018000,0.023710,0.012652,0.032075,0.092470,calls/second,seconds
1519390076,30,0.069000,0.017814,0.017000,0.001298,0.017000,0.020000,0.020000,0.020000,0.020000,0.020000,0.035565,0.012643,0.034145,0.096875,calls/second,seconds
1519390976,20,0.019000,0.017051,0.017000,0.000287,0.017000,0.017000,0.017000,0.018000,0.019000,0.019000,0.023795,0.012649,0.032160,0.092496,calls/second,seconds
1519391876,20,0.063000,0.017033,0.017000,0.000398,0.017000,0.017000,0.017000,0.018000,0.018000,0.019000,0.023710,0.013401,0.032197,0.092492,calls/second,seconds
1519392776,20,0.018000,0.017024,0.016000,0.000742,0.017000,0.018000,0.018000,0.018000,0.018000,0.018000,0.023711,0.012643,0.032071,0.092470,calls/second,seconds
1519393676,20,0.066000,0.017745,0.016000,0.000970,0.018000,0.019000,0.019000,0.019000,0.019000,0.019000,0.023714,0.013035,0.032148,0.092483,calls/second,seconds
1519394576,20,0.067000,0.016769,0.016000,0.000476,0.017000,0.017000,0.017000,0.017000,0.018000,0.018000,0.023814,0.013156,0.032474,0.092957,calls/second,seconds
