t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1517610258,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.007455,0.024903,0.131848,0.174065,calls/second,seconds
1518701058,27,0.001000,0.000328,0.000000,0.000469,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.044083,0.000090,0.247858,0.929366,calls/second,seconds
1519232958,3,0.001000,0.000692,0.000000,0.000462,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.020832,0.026091,0.132074,0.174097,calls/second,seconds
1519234758,9,0.001000,0.000554,0.000000,0.000497,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.022668,0.002706,0.490557,1.167020,calls/second,seconds
1519235658,29,0.001000,0.000239,0.000000,0.000427,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.165942,0.186156,1.087281,1.518503,calls/second,seconds
1519236558,10,0.001000,0.000274,0.000000,0.000446,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.066494,0.163614,1.112472,1.533147,calls/second,seconds
1519237458,6,0.001000,0.000167,0.000000,0.000373,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.009559,0.000039,0.151929,0.602560,calls/second,seconds
1519241058,12,0.001000,0.000808,0.000000,0.000394,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.038939,0.010215,0.093332,0.153241,calls/second,seconds
1519242858,15,0.001000,0.000704,0.000000,0.000456,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.020297,0.000719,0.162896,0.803879,calls/second,seconds
1519243758,34,0.001000,0.000194,0.000000,0.000395,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.049172,0.000039,0.194126,0.854800,calls/second,seconds
1519248258,9,0.001000,0.000222,0.000000,0.000415,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.058102,0.160593,1.110104,1.532155,calls/second,seconds
1519249158,1,0.001000,0.001000,0.001000,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001511,0.000004,0.022533,0.096596,calls/second,seconds
1519252758,9,0.001000,0.000222,0.000000,0.000416,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.014009,0.000046,0.216778,0.888901,calls/second,seconds
1519254558,27,0.001000,0.000221,0.000000,0.000415,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.039995,0.000263,0.206100,0.866996,calls/second,seconds
1519255458,9,0.001000,0.000222,0.000000,0.000416,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.010114,0.000001,0.095795,0.677063,calls/second,seconds
1519263558,9,0.001000,0.000111,0.000000,0.000314,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,1.111098,1.800000,1.800000,1.800000,calls/second,seconds
1519264458,21,0.001000,0.000661,0.000000,0.000473,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.031725,0.082408,0.230181,0.880893,calls/second,seconds
1519306758,9,0.001000,0.000334,0.000000,0.000472,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.018764,0.000713,0.375732,1.067762,calls/second,seconds
