t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1517522958,20,0.444000,0.367295,0.311000,0.023210,0.380000,0.380000,0.382000,0.419000,0.444000,0.444000,0.024445,0.022180,0.035255,0.095183,calls/second,seconds
1517523858,20,2.998000,0.350013,0.309000,0.120925,0.321000,0.385000,0.391000,0.391000,0.391000,2.998000,0.024406,0.023067,0.035277,0.095152,calls/second,seconds
1517524758,20,0.412000,0.337891,0.305000,0.035997,0.326000,0.326000,0.412000,0.412000,0.412000,0.412000,0.024400,0.023082,0.035311,0.095160,calls/second,seconds
1517525658,20,0.422000,0.345583,0.305000,0.034463,0.324000,0.385000,0.388000,0.388000,0.422000,0.422000,0.024403,0.023067,0.035277,0.095152,calls/second,seconds
1517526558,17,0.398000,0.318864,0.294000,0.032711,0.308000,0.340000,0.375000,0.385000,0.393000,0.393000,0.020740,0.023053,0.033061,0.093133,calls/second,seconds
1517527458,20,0.411000,0.347063,0.298000,0.031529,0.332000,0.381000,0.381000,0.381000,0.411000,0.411000,0.024402,0.023068,0.035289,0.095156,calls/second,seconds
1517528358,20,0.433000,0.333774,0.286000,0.027671,0.318000,0.370000,0.371000,0.371000,0.390000,0.433000,0.024400,0.023366,0.035346,0.095165,calls/second,seconds
1517529258,20,14.191000,5.115207,0.306000,5.832408,0.363000,9.656000,14.191000,14.191000,14.191000,14.191000,0.024400,0.025233,0.035565,0.095194,calls/second,seconds
1517530158,20,27.066000,2.052301,0.287000,5.311062,0.331000,0.401000,3.472000,27.066000,27.066000,27.066000,0.024401,0.023738,0.035548,0.095211,calls/second,seconds
1517531058,20,6.989000,0.321138,0.300000,0.056887,0.314000,0.314000,0.359000,0.359000,0.359000,0.374000,0.024400,0.023081,0.035324,0.095168,calls/second,seconds
1517531958,20,0.396000,0.338316,0.300000,0.027846,0.322000,0.371000,0.375000,0.396000,0.396000,0.396000,0.024366,0.021486,0.034745,0.094634,calls/second,seconds
1517532858,20,0.403000,0.355986,0.306000,0.031492,0.371000,0.371000,0.398000,0.398000,0.398000,0.398000,0.024402,0.023068,0.035296,0.095159,calls/second,seconds
1517533758,20,6.675000,2.703580,0.292000,2.500777,2.298000,5.001000,6.675000,6.675000,6.675000,6.675000,0.024402,0.024458,0.035526,0.095197,calls/second,seconds
1517534658,20,20.952000,0.515098,0.305000,1.048488,0.306000,0.366000,0.701000,5.978000,7.268000,8.359000,0.024402,0.023119,0.035427,0.095203,calls/second,seconds
1517535558,20,3.835000,0.357092,0.296000,0.104183,0.368000,0.368000,0.375000,0.375000,0.727000,0.727000,0.024400,0.023367,0.035352,0.095166,calls/second,seconds
1517536458,20,0.395000,0.344604,0.293000,0.036178,0.323000,0.383000,0.383000,0.395000,0.395000,0.395000,0.024402,0.023067,0.035277,0.095152,calls/second,seconds
