t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1517522958,68,0.060000,0.020844,0.019000,0.000983,0.020000,0.022000,0.022000,0.022000,0.022000,0.022000,0.083052,0.022184,0.179198,0.926122,calls/second,seconds
1517523858,20,0.021000,0.019569,0.019000,0.000791,0.019000,0.020000,0.021000,0.021000,0.021000,0.021000,0.024407,0.023067,0.035277,0.095152,calls/second,seconds
1517524758,20,0.041000,0.020024,0.019000,0.000207,0.020000,0.020000,0.020000,0.021000,0.021000,0.021000,0.024401,0.023082,0.035318,0.095163,calls/second,seconds
1517525658,20,0.043000,0.020189,0.019000,0.000396,0.020000,0.020000,0.021000,0.021000,0.021000,0.021000,0.024404,0.023067,0.035277,0.095152,calls/second,seconds
1517526558,17,0.020000,0.019799,0.019000,0.000401,0.020000,0.020000,0.020000,0.020000,0.020000,0.020000,0.020741,0.023053,0.033061,0.093133,calls/second,seconds
1517527458,20,0.021000,0.019585,0.019000,0.000493,0.020000,0.020000,0.020000,0.020000,0.020000,0.020000,0.024403,0.023068,0.035296,0.095159,calls/second,seconds
1517528358,20,0.021000,0.019809,0.019000,0.000393,0.020000,0.020000,0.020000,0.020000,0.020000,0.020000,0.024401,0.023366,0.035346,0.095165,calls/second,seconds
1517529258,20,0.024000,0.019565,0.019000,0.000885,0.019000,0.020000,0.020000,0.024000,0.024000,0.024000,0.024401,0.025233,0.035565,0.095194,calls/second,seconds
1517530158,20,0.020000,0.019212,0.019000,0.000409,0.019000,0.019000,0.020000,0.020000,0.020000,0.020000,0.024402,0.023738,0.035548,0.095211,calls/second,seconds
1517531058,20,0.020000,0.019199,0.018000,0.000402,0.019000,0.019000,0.020000,0.020000,0.020000,0.020000,0.024401,0.023081,0.035324,0.095168,calls/second,seconds
1517531958,20,0.021000,0.018737,0.018000,0.000705,0.019000,0.019000,0.020000,0.020000,0.020000,0.020000,0.024367,0.021486,0.034745,0.094634,calls/second,seconds
1517532858,20,0.019000,0.018972,0.018000,0.000165,0.019000,0.019000,0.019000,0.019000,0.019000,0.019000,0.024403,0.023068,0.035296,0.095159,calls/second,seconds
1517533758,20,0.020000,0.018398,0.018000,0.000513,0.018000,0.019000,0.019000,0.019000,0.020000,0.020000,0.024403,0.024458,0.035526,0.095197,calls/second,seconds
1517534658,20,0.020000,0.018835,0.018000,0.000371,0.019000,0.019000,0.019000,0.019000,0.019000,0.019000,0.024403,0.023119,0.035427,0.095203,calls/second,seconds
1517535558,20,0.040000,0.028075,0.018000,0.010041,0.020000,0.040000,0.040000,0.040000,0.040000,0.040000,0.024401,0.023367,0.035352,0.095166,calls/second,seconds
1517536458,20,0.020000,0.019352,0.018000,0.000507,0.019000,0.020000,0.020000,0.020000,0.020000,0.020000,0.024403,0.023067,0.035277,0.095152,calls/second,seconds
1517537358,20,0.038000,0.018865,0.018000,0.000672,0.019000,0.019000,0.019000,0.019000,0.019000,0.022000,0.024401,0.023081,0.035299,0.095156,calls/second,seconds
1517538258,20,0.020000,0.019148,0.018000,0.000428,0.019000,0.019000,0.020000,0.020000,0.020000,0.020000,0.024403,0.023353,0.035329,0.095161,calls/second,seconds
1517539158,20,0.042000,0.018442,0.018000,0.000519,0.018000,0.019000,0.019000,0.019000,0.020000,0.020000,0.024402,0.023352,0.035324,0.095160,calls/second,seconds
1517540058,20,0.020000,0.019163,0.018000,0.000404,0.019000,0.019000,0.020000,0.020000,0.020000,0.020000,0.024401,0.023367,0.035358,0.095169,calls/second,seconds
1517540958,20,0.041000,0.018575,0.018000,0.000598,0.019000,0.019000,0.019000,0.020000,0.020000,0.020000,0.024402,0.023082,0.035311,0.095160,calls/second,seconds
1517541858,20,0.019000,0.018820,0.018000,0.000384,0.019000,0.019000,0.019000,0.019000,0.019000,0.019000,0.024409,0.023067,0.035277,0.095152,calls/second,seconds
1517542758,20,0.019000,0.018177,0.018000,0.000381,0.018000,0.018000,0.019000,0.019000,0.019000,0.019000,0.024403,0.023067,0.035283,0.095155,calls/second,seconds
1517543658,20,0.019000,0.018788,0.018000,0.000409,0.019000,0.019000,0.019000,0.019000,0.019000,0.019000,0.024403,0.023353,0.035329,0.095161,calls/second,seconds
1517544558,20,0.020000,0.018543,0.018000,0.000748,0.018000,0.019000,0.020000,0.020000,0.020000,0.020000,0.024400,0.023367,0.035379,0.095180,calls/second,seconds
1517545458,20,0.019000,0.018607,0.018000,0.000488,0.019000,0.019000,0.019000,0.019000,0.019000,0.019000,0.024403,0.023370,0.035396,0.095180,calls/second,seconds
1517546358,20,0.020000,0.018383,0.018000,0.000511,0.018000,0.019000,0.019000,0.019000,0.020000,0.020000,0.024401,0.023367,0.035358,0.095169,calls/second,seconds
1517547258,20,0.022000,0.019337,0.018000,0.001291,0.019000,0.019000,0.022000,0.022000,0.022000,0.022000,0.024403,0.023067,0.035277,0.095152,calls/second,seconds
1517548158,20,0.019000,0.018755,0.018000,0.000430,0.019000,0.019000,0.019000,0.019000,0.019000,0.019000,0.024402,0.023067,0.035277,0.095152,calls/second,seconds
1517549058,20,0.020000,0.018228,0.018000,0.000449,0.018000,0.018000,0.019000,0.019000,0.020000,0.020000,0.024401,0.023082,0.035318,0.095163,calls/second,seconds
1517549958,20,0.019000,0.018635,0.018000,0.000482,0.019000,0.019000,0.019000,0.019000,0.019000,0.019000,0.024403,0.023366,0.035346,0.095165,calls/second,seconds
1517550858,20,0.020000,0.018611,0.018000,0.000488,0.019000,0.019000,0.019000,0.019000,0.019000,0.019000,0.024402,0.023366,0.035339,0.095162,calls/second,seconds
1517551758,20,0.020000,0.018022,0.018000,0.000147,0.018000,0.018000,0.018000,0.019000,0.019000,0.019000,0.024403,0.023352,0.035317,0.095157,calls/second,seconds
1517552658,20,0.049000,0.018831,0.018000,0.001373,0.019000,0.019000,0.019000,0.019000,0.019000,0.049000,0.024402,0.023081,0.035306,0.095159,calls/second,seconds
1517553558,20,0.020000,0.018384,0.018000,0.000490,0.018000,0.019000,0.019000,0.019000,0.019000,0.020000,0.024401,0.023081,0.035306,0.095159,calls/second,seconds
1517554458,20,0.020000,0.019074,0.018000,0.000866,0.019000,0.020000,0.020000,0.020000,0.020000,0.020000,0.024403,0.023352,0.035317,0.095157,calls/second,seconds
