t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1518701058,2,0.003000,0.002000,0.001000,0.001000,0.003000,0.003000,0.003000,0.003000,0.003000,0.003000,0.003286,0.000018,0.054134,0.205367,calls/second,seconds
1519234758,2,0.001000,0.001000,0.001000,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.005055,0.000601,0.109013,0.259338,calls/second,seconds
1519235658,6,0.002000,0.001118,0.001000,0.000323,0.001000,0.001000,0.002000,0.002000,0.002000,0.002000,0.034326,0.037058,0.239857,0.336900,calls/second,seconds
1519236558,2,0.001000,0.001000,0.001000,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.013301,0.035687,0.246690,0.340479,calls/second,seconds
1519237458,1,0.001000,0.001000,0.001000,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001630,0.000008,0.026620,0.102115,calls/second,seconds
1519241058,2,0.001000,0.001000,0.001000,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.011085,0.021646,0.223214,0.329317,calls/second,seconds
1519242858,2,0.001000,0.001000,0.001000,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.002706,0.000002,0.035098,0.177746,calls/second,seconds
1519243758,2,0.001000,0.001000,0.001000,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.002892,0.000004,0.040778,0.186859,calls/second,seconds
1519248258,2,0.001000,0.001000,0.001000,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.012913,0.035687,0.246690,0.340479,calls/second,seconds
1519249158,2,0.002000,0.001504,0.001000,0.000500,0.002000,0.002000,0.002000,0.002000,0.002000,0.002000,0.003027,0.000007,0.045066,0.193192,calls/second,seconds
1519252758,2,0.001000,0.001000,0.001000,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.003113,0.000010,0.048173,0.197534,calls/second,seconds
1519254558,2,0.001000,0.001000,0.001000,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.002967,0.000006,0.043589,0.191058,calls/second,seconds
1519255458,2,0.001000,0.001000,0.001000,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.002248,0.000000,0.021288,0.150458,calls/second,seconds
1519263558,2,0.001000,0.000500,0.000000,0.000500,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.247401,0.400000,0.400000,0.400000,calls/second,seconds
1519264458,4,0.002000,0.001116,0.001000,0.000320,0.001000,0.001000,0.002000,0.002000,0.002000,0.002000,0.020879,0.029077,0.115893,0.165918,calls/second,seconds
1519306758,2,0.001000,0.001000,0.001000,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.004170,0.000159,0.083496,0.237280,calls/second,seconds
