t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1518701058,33,0.006000,0.000478,0.000000,0.001315,0.000000,0.000000,0.005000,0.006000,0.006000,0.006000,0.053993,0.000276,0.878449,3.369780,calls/second,seconds
1519234758,20,0.001000,0.000100,0.000000,0.000300,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.050387,0.006014,1.090127,2.593377,calls/second,seconds
1519235658,19,0.001000,0.000138,0.000000,0.000345,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.108697,0.112434,0.274871,0.350352,calls/second,seconds
1519236558,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.013301,0.035687,0.246690,0.340479,calls/second,seconds
1519237458,12,0.001000,0.000081,0.000000,0.000272,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.019443,0.000092,0.314156,1.218586,calls/second,seconds
1519241058,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.011085,0.021646,0.223214,0.329317,calls/second,seconds
1519242858,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002706,0.000002,0.035098,0.177746,calls/second,seconds
1519243758,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002893,0.000004,0.040778,0.186859,calls/second,seconds
1519248258,2,0.001000,0.000500,0.000000,0.000500,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.012913,0.035687,0.246690,0.340479,calls/second,seconds
1519249158,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001519,0.000004,0.022912,0.097134,calls/second,seconds
1519252758,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003113,0.000010,0.048173,0.197534,calls/second,seconds
1519254558,20,0.001000,0.000100,0.000000,0.000300,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.029637,0.000061,0.435887,1.910577,calls/second,seconds
1519255458,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002248,0.000000,0.021288,0.150458,calls/second,seconds
1519263558,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.247568,0.400000,0.400000,0.400000,calls/second,seconds
1519264458,38,0.001000,0.000295,0.000000,0.000456,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.186898,0.189756,0.293848,0.357535,calls/second,seconds
1519306758,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004170,0.000159,0.083496,0.237280,calls/second,seconds
