t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1518701058,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004908,0.000025,0.079859,0.306344,calls/second,seconds
1519234758,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.007558,0.000902,0.163519,0.389007,calls/second,seconds
1519235658,28,0.001000,0.000037,0.000000,0.000190,0.000000,0.000000,0.000000,0.001000,0.001000,0.001000,0.160162,0.183605,0.300956,0.359905,calls/second,seconds
1519236558,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.013301,0.035687,0.246690,0.340479,calls/second,seconds
1519237458,9,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.014332,0.000011,0.028783,0.104928,calls/second,seconds
1519241058,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.011085,0.021646,0.223214,0.329317,calls/second,seconds
1519242858,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002706,0.000002,0.035098,0.177746,calls/second,seconds
1519243758,3,0.001000,0.000267,0.000000,0.000443,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.004339,0.000005,0.041156,0.187397,calls/second,seconds
1519248258,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.012913,0.035687,0.246690,0.340479,calls/second,seconds
1519249158,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001519,0.000004,0.022912,0.097134,calls/second,seconds
1519252758,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003113,0.000010,0.048173,0.197534,calls/second,seconds
1519254558,3,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004446,0.000009,0.065383,0.286587,calls/second,seconds
1519255458,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002248,0.000000,0.021288,0.150458,calls/second,seconds
1519263558,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.247479,0.400000,0.400000,0.400000,calls/second,seconds
1519264458,29,0.001000,0.000006,0.000000,0.000080,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,0.106495,0.140154,0.149246,0.176623,calls/second,seconds
1519306758,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004170,0.000159,0.083496,0.237280,calls/second,seconds
