t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1516877847,19,0.010000,0.005186,0.003000,0.001521,0.006000,0.006000,0.007000,0.007000,0.007000,0.008000,0.028519,0.019312,0.108771,0.396039,calls/second,seconds
1516878747,20,0.016000,0.005644,0.003000,0.001237,0.005000,0.007000,0.007000,0.007000,0.007000,0.007000,0.023609,0.019481,0.033443,0.092375,calls/second,seconds
1516879647,20,0.011000,0.005285,0.003000,0.001849,0.005000,0.006000,0.008000,0.008000,0.008000,0.008000,0.023613,0.019308,0.033396,0.092367,calls/second,seconds
1516880547,20,0.011000,0.005253,0.004000,0.000669,0.005000,0.005000,0.007000,0.007000,0.007000,0.011000,0.023615,0.019299,0.033376,0.092362,calls/second,seconds
1516881447,20,0.006000,0.004928,0.003000,0.000445,0.005000,0.005000,0.005000,0.005000,0.006000,0.006000,0.023618,0.019299,0.033376,0.092362,calls/second,seconds
1516882347,20,0.006000,0.004828,0.003000,0.000430,0.005000,0.005000,0.005000,0.005000,0.005000,0.006000,0.023614,0.019299,0.033376,0.092362,calls/second,seconds
1516883247,20,0.008000,0.004465,0.003000,0.000715,0.005000,0.005000,0.005000,0.005000,0.006000,0.006000,0.023604,0.019308,0.033402,0.092369,calls/second,seconds
1516884147,20,0.007000,0.004116,0.003000,0.000367,0.004000,0.004000,0.005000,0.005000,0.005000,0.005000,0.023634,0.020322,0.033467,0.092374,calls/second,seconds
1516885047,20,0.007000,0.003721,0.003000,0.000899,0.003000,0.005000,0.005000,0.005000,0.005000,0.005000,0.023760,0.019299,0.033580,0.092800,calls/second,seconds
1516885947,20,0.005000,0.003546,0.002000,0.000976,0.003000,0.005000,0.005000,0.005000,0.005000,0.005000,0.023606,0.019483,0.033463,0.092382,calls/second,seconds
1516886847,20,0.006000,0.003835,0.003000,0.000835,0.004000,0.004000,0.005000,0.005000,0.006000,0.006000,0.023576,0.020351,0.033542,0.092397,calls/second,seconds
1516887747,20,0.005000,0.003811,0.002000,0.001006,0.003000,0.005000,0.005000,0.005000,0.005000,0.005000,0.023610,0.020330,0.033561,0.092403,calls/second,seconds
1516888647,20,0.006000,0.004376,0.003000,0.000970,0.004000,0.004000,0.006000,0.006000,0.006000,0.006000,0.023608,0.019308,0.033402,0.092369,calls/second,seconds
1516889547,20,0.009000,0.004332,0.002000,0.001184,0.004000,0.006000,0.006000,0.006000,0.006000,0.006000,0.023610,0.019299,0.033382,0.092365,calls/second,seconds
1516890447,20,0.012000,0.004557,0.003000,0.001249,0.005000,0.006000,0.006000,0.006000,0.006000,0.006000,0.023611,0.019299,0.033376,0.092362,calls/second,seconds
1516891347,20,0.008000,0.003897,0.002000,0.001547,0.003000,0.004000,0.008000,0.008000,0.008000,0.008000,0.023613,0.019299,0.033376,0.092362,calls/second,seconds
1516892247,20,0.007000,0.003847,0.003000,0.000697,0.004000,0.004000,0.005000,0.005000,0.005000,0.007000,0.023608,0.019481,0.033432,0.092372,calls/second,seconds
1516893147,20,0.005000,0.004364,0.003000,0.000757,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.023608,0.019481,0.033443,0.092375,calls/second,seconds
1516894047,20,0.008000,0.003756,0.003000,0.001095,0.003000,0.004000,0.006000,0.006000,0.006000,0.006000,0.023608,0.019473,0.033480,0.092396,calls/second,seconds
1516894947,20,0.006000,0.003579,0.003000,0.000892,0.003000,0.005000,0.005000,0.005000,0.005000,0.005000,0.023607,0.022955,0.034031,0.092471,calls/second,seconds
1516895847,20,0.008000,0.004640,0.002000,0.000791,0.005000,0.005000,0.005000,0.005000,0.008000,0.008000,0.023489,0.018294,0.033016,0.091903,calls/second,seconds
1516896747,20,0.007000,0.004984,0.002000,0.001638,0.005000,0.007000,0.007000,0.007000,0.007000,0.007000,0.023655,0.023930,0.033753,0.092417,calls/second,seconds
1516897647,20,0.008000,0.002758,0.002000,0.000971,0.002000,0.004000,0.004000,0.005000,0.005000,0.006000,0.024210,0.020365,0.034594,0.094234,calls/second,seconds
1516898547,20,0.006000,0.004336,0.002000,0.001622,0.005000,0.006000,0.006000,0.006000,0.006000,0.006000,0.023607,0.019882,0.033528,0.092395,calls/second,seconds
1516899447,20,0.013000,0.004388,0.002000,0.001552,0.005000,0.005000,0.005000,0.013000,0.013000,0.013000,0.023606,0.020117,0.033786,0.092460,calls/second,seconds
1516900347,20,0.007000,0.003790,0.002000,0.001281,0.004000,0.005000,0.005000,0.005000,0.005000,0.005000,0.023556,0.019654,0.033681,0.092434,calls/second,seconds
1516901247,20,0.006000,0.002827,0.002000,0.000983,0.002000,0.004000,0.004000,0.005000,0.005000,0.006000,0.023615,0.023123,0.033829,0.092433,calls/second,seconds
1516902147,20,0.006000,0.003504,0.002000,0.001164,0.003000,0.005000,0.005000,0.005000,0.005000,0.005000,0.023481,0.017824,0.033089,0.091923,calls/second,seconds
1516903047,20,0.006000,0.002830,0.002000,0.000607,0.003000,0.003000,0.003000,0.005000,0.005000,0.005000,0.023612,0.019698,0.033484,0.092405,calls/second,seconds
1516903947,20,0.013000,0.003978,0.002000,0.001664,0.003000,0.006000,0.006000,0.006000,0.006000,0.006000,0.023610,0.019359,0.033484,0.092394,calls/second,seconds
1516904847,20,0.006000,0.002983,0.002000,0.001701,0.002000,0.003000,0.006000,0.006000,0.006000,0.006000,0.023604,0.019474,0.033455,0.092384,calls/second,seconds
1516905747,20,0.005000,0.003399,0.002000,0.000496,0.003000,0.004000,0.004000,0.004000,0.004000,0.005000,0.023518,0.017764,0.032858,0.091861,calls/second,seconds
1516906647,20,0.005000,0.003419,0.002000,0.000578,0.003000,0.004000,0.004000,0.004000,0.005000,0.005000,0.023611,0.019299,0.033376,0.092362,calls/second,seconds
1516907547,20,0.006000,0.003028,0.002000,0.000279,0.003000,0.003000,0.003000,0.003000,0.005000,0.006000,0.023607,0.019308,0.033402,0.092369,calls/second,seconds
1516908447,20,0.010000,0.004222,0.003000,0.001537,0.003000,0.006000,0.006000,0.006000,0.010000,0.010000,0.023608,0.019473,0.033429,0.092374,calls/second,seconds
1516909347,20,0.007000,0.004229,0.003000,0.001816,0.003000,0.007000,0.007000,0.007000,0.007000,0.007000,0.023609,0.019299,0.033376,0.092362,calls/second,seconds
1516910247,20,0.005000,0.003201,0.002000,0.001252,0.003000,0.005000,0.005000,0.005000,0.005000,0.005000,0.023608,0.019473,0.033429,0.092374,calls/second,seconds
1516911147,20,0.006000,0.004281,0.003000,0.001065,0.004000,0.005000,0.006000,0.006000,0.006000,0.006000,0.023604,0.019481,0.033449,0.092378,calls/second,seconds
1516912047,20,0.007000,0.003648,0.003000,0.000520,0.004000,0.004000,0.004000,0.005000,0.005000,0.005000,0.023606,0.019300,0.033393,0.092369,calls/second,seconds
1516912947,20,0.006000,0.004441,0.003000,0.000896,0.005000,0.005000,0.005000,0.005000,0.005000,0.006000,0.023610,0.019299,0.033376,0.092362,calls/second,seconds
1516913847,20,0.006000,0.004812,0.003000,0.000934,0.005000,0.006000,0.006000,0.006000,0.006000,0.006000,0.023607,0.019308,0.033407,0.092370,calls/second,seconds
1516914747,20,0.007000,0.003302,0.003000,0.000469,0.003000,0.004000,0.004000,0.004000,0.004000,0.005000,0.023609,0.019300,0.033387,0.092366,calls/second,seconds
1516915647,20,0.008000,0.004995,0.003000,0.002021,0.004000,0.008000,0.008000,0.008000,0.008000,0.008000,0.023608,0.019481,0.033443,0.092375,calls/second,seconds
1516916547,20,0.006000,0.004943,0.003000,0.000822,0.005000,0.006000,0.006000,0.006000,0.006000,0.006000,0.023609,0.019472,0.033412,0.092367,calls/second,seconds
1516917447,20,0.008000,0.004613,0.003000,0.001157,0.005000,0.005000,0.006000,0.006000,0.006000,0.008000,0.023610,0.019299,0.033376,0.092362,calls/second,seconds
1516918347,20,0.010000,0.003787,0.002000,0.000808,0.004000,0.004000,0.005000,0.005000,0.005000,0.005000,0.023608,0.019300,0.033393,0.092369,calls/second,seconds
1516919247,20,0.006000,0.004287,0.003000,0.000991,0.004000,0.005000,0.006000,0.006000,0.006000,0.006000,0.023607,0.019481,0.033438,0.092375,calls/second,seconds
1516920147,20,0.006000,0.004048,0.003000,0.000832,0.004000,0.005000,0.005000,0.005000,0.005000,0.005000,0.023611,0.019299,0.033382,0.092365,calls/second,seconds
1516921047,20,0.006000,0.003415,0.003000,0.000610,0.003000,0.004000,0.005000,0.005000,0.005000,0.005000,0.023609,0.019481,0.033432,0.092372,calls/second,seconds
1516921947,20,0.010000,0.003677,0.002000,0.001456,0.003000,0.005000,0.006000,0.006000,0.006000,0.006000,0.023606,0.019481,0.033449,0.092378,calls/second,seconds
1516922847,20,0.007000,0.004508,0.002000,0.000747,0.004000,0.005000,0.006000,0.006000,0.006000,0.007000,0.023606,0.019481,0.033449,0.092378,calls/second,seconds
1516923747,20,0.005000,0.003003,0.002000,0.000762,0.003000,0.004000,0.004000,0.004000,0.004000,0.005000,0.023613,0.019299,0.033376,0.092362,calls/second,seconds
1516924647,20,0.006000,0.004617,0.002000,0.001159,0.005000,0.005000,0.006000,0.006000,0.006000,0.006000,0.023605,0.019481,0.033449,0.092378,calls/second,seconds
1516925547,20,0.007000,0.003881,0.003000,0.000892,0.004000,0.005000,0.005000,0.005000,0.006000,0.006000,0.023607,0.019299,0.033382,0.092365,calls/second,seconds
1516926447,20,0.006000,0.003956,0.002000,0.000914,0.004000,0.004000,0.005000,0.005000,0.005000,0.006000,0.023609,0.019300,0.033393,0.092369,calls/second,seconds
1516927347,20,0.006000,0.003309,0.002000,0.000712,0.003000,0.003000,0.005000,0.005000,0.005000,0.006000,0.023608,0.019481,0.033449,0.092378,calls/second,seconds
1516928247,20,0.006000,0.003987,0.002000,0.000799,0.004000,0.005000,0.005000,0.005000,0.005000,0.005000,0.023608,0.019299,0.033376,0.092362,calls/second,seconds
1516929147,20,0.056000,0.005142,0.003000,0.002495,0.006000,0.007000,0.007000,0.007000,0.007000,0.056000,0.023611,0.019299,0.033376,0.092362,calls/second,seconds
1516930047,20,0.011000,0.003952,0.002000,0.001171,0.004000,0.004000,0.005000,0.006000,0.011000,0.011000,0.023608,0.019481,0.033449,0.092378,calls/second,seconds
1516930947,20,0.008000,0.004178,0.003000,0.001631,0.003000,0.005000,0.008000,0.008000,0.008000,0.008000,0.023611,0.019299,0.033376,0.092362,calls/second,seconds
1516931847,20,0.006000,0.003729,0.002000,0.000482,0.004000,0.004000,0.004000,0.004000,0.004000,0.005000,0.023606,0.019481,0.033449,0.092378,calls/second,seconds
1516932747,20,0.006000,0.003878,0.002000,0.000741,0.004000,0.004000,0.005000,0.006000,0.006000,0.006000,0.023609,0.019481,0.033432,0.092372,calls/second,seconds
1516933647,20,0.007000,0.004586,0.003000,0.001585,0.005000,0.005000,0.007000,0.007000,0.007000,0.007000,0.023609,0.019299,0.033382,0.092365,calls/second,seconds
1516934547,20,0.006000,0.003375,0.002000,0.001005,0.003000,0.004000,0.005000,0.005000,0.005000,0.005000,0.023609,0.019473,0.033429,0.092374,calls/second,seconds
1516935447,20,0.006000,0.004327,0.002000,0.000915,0.005000,0.005000,0.005000,0.005000,0.006000,0.006000,0.023612,0.019299,0.033376,0.092362,calls/second,seconds
1516936347,20,0.006000,0.004259,0.002000,0.001599,0.005000,0.006000,0.006000,0.006000,0.006000,0.006000,0.023611,0.019299,0.033376,0.092362,calls/second,seconds
1516937247,20,0.007000,0.004958,0.003000,0.000867,0.005000,0.005000,0.006000,0.006000,0.006000,0.006000,0.023606,0.019481,0.033449,0.092378,calls/second,seconds
1516938147,20,0.006000,0.002980,0.002000,0.000957,0.003000,0.004000,0.004000,0.005000,0.006000,0.006000,0.023605,0.019880,0.033493,0.092384,calls/second,seconds
1516939047,20,0.005000,0.004032,0.002000,0.000763,0.004000,0.005000,0.005000,0.005000,0.005000,0.005000,0.023609,0.019481,0.033443,0.092375,calls/second,seconds
1516939947,20,0.006000,0.005040,0.002000,0.000913,0.005000,0.006000,0.006000,0.006000,0.006000,0.006000,0.023612,0.021461,0.033751,0.092437,calls/second,seconds
1516940847,20,0.006000,0.003548,0.002000,0.001501,0.003000,0.004000,0.006000,0.006000,0.006000,0.006000,0.023606,0.019534,0.033668,0.092426,calls/second,seconds
1516941747,20,0.046000,0.004337,0.002000,0.003938,0.004000,0.006000,0.006000,0.006000,0.006000,0.046000,0.023486,0.017970,0.032940,0.091875,calls/second,seconds
1516942647,20,0.006000,0.004357,0.003000,0.001214,0.004000,0.006000,0.006000,0.006000,0.006000,0.006000,0.023612,0.019299,0.033376,0.092362,calls/second,seconds
1516943547,20,0.006000,0.002934,0.002000,0.000454,0.003000,0.003000,0.003000,0.005000,0.005000,0.005000,0.023610,0.019308,0.033396,0.092367,calls/second,seconds
1516944447,20,0.006000,0.003808,0.003000,0.000806,0.004000,0.004000,0.005000,0.005000,0.005000,0.005000,0.023604,0.019481,0.033449,0.092378,calls/second,seconds
1516945347,20,0.017000,0.003617,0.003000,0.001359,0.003000,0.004000,0.005000,0.005000,0.005000,0.017000,0.023607,0.019481,0.033443,0.092375,calls/second,seconds
1516946247,20,0.005000,0.004010,0.003000,0.000752,0.004000,0.005000,0.005000,0.005000,0.005000,0.005000,0.023607,0.019481,0.033449,0.092378,calls/second,seconds
1516947147,20,0.010000,0.003677,0.002000,0.000966,0.004000,0.004000,0.004000,0.005000,0.010000,0.010000,0.023605,0.019481,0.033449,0.092378,calls/second,seconds
1516948047,20,0.005000,0.003871,0.003000,0.000990,0.003000,0.005000,0.005000,0.005000,0.005000,0.005000,0.023605,0.019481,0.033449,0.092378,calls/second,seconds
1516948947,20,0.005000,0.004183,0.003000,0.000973,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.023609,0.019299,0.033382,0.092365,calls/second,seconds
1516949847,20,0.005000,0.003820,0.003000,0.000801,0.004000,0.004000,0.005000,0.005000,0.005000,0.005000,0.023608,0.019472,0.033418,0.092370,calls/second,seconds
1516950747,20,0.007000,0.004569,0.002000,0.000564,0.005000,0.005000,0.005000,0.005000,0.005000,0.007000,0.023607,0.019481,0.033449,0.092378,calls/second,seconds
1516951647,20,0.014000,0.004264,0.002000,0.001587,0.005000,0.005000,0.005000,0.005000,0.014000,0.014000,0.023619,0.019299,0.033376,0.092362,calls/second,seconds
1516952547,20,0.007000,0.002834,0.002000,0.000688,0.003000,0.003000,0.004000,0.004000,0.005000,0.005000,0.023607,0.019300,0.033387,0.092366,calls/second,seconds
1516953447,20,0.006000,0.004518,0.002000,0.000551,0.005000,0.005000,0.005000,0.005000,0.005000,0.006000,0.023610,0.019697,0.033419,0.092368,calls/second,seconds
1516954347,20,0.007000,0.005050,0.002000,0.001241,0.005000,0.007000,0.007000,0.007000,0.007000,0.007000,0.023612,0.019299,0.033400,0.092378,calls/second,seconds
1516955247,20,0.007000,0.003501,0.002000,0.000874,0.003000,0.004000,0.005000,0.005000,0.005000,0.005000,0.023608,0.019299,0.033376,0.092362,calls/second,seconds
1516956147,20,0.007000,0.004212,0.002000,0.001521,0.004000,0.006000,0.006000,0.006000,0.006000,0.007000,0.023609,0.019308,0.033421,0.092378,calls/second,seconds
1516957047,20,0.006000,0.004023,0.003000,0.001307,0.003000,0.006000,0.006000,0.006000,0.006000,0.006000,0.023607,0.019880,0.033493,0.092384,calls/second,seconds
1516957947,20,0.007000,0.003547,0.002000,0.001189,0.004000,0.005000,0.005000,0.005000,0.005000,0.005000,0.023611,0.019308,0.033407,0.092370,calls/second,seconds
1516958847,20,0.006000,0.004060,0.002000,0.000876,0.004000,0.005000,0.005000,0.005000,0.005000,0.005000,0.023606,0.020305,0.033528,0.092389,calls/second,seconds
1516959747,20,0.005000,0.003826,0.003000,0.000803,0.004000,0.005000,0.005000,0.005000,0.005000,0.005000,0.023607,0.019308,0.033413,0.092373,calls/second,seconds
1516960647,20,0.005000,0.004333,0.002000,0.000950,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.023609,0.019299,0.033376,0.092362,calls/second,seconds
1516961547,20,0.007000,0.004024,0.002000,0.000937,0.004000,0.005000,0.005000,0.005000,0.005000,0.007000,0.023607,0.019481,0.033443,0.092375,calls/second,seconds
1516962447,20,0.007000,0.004579,0.002000,0.001253,0.004000,0.006000,0.006000,0.006000,0.006000,0.006000,0.023606,0.019473,0.033429,0.092374,calls/second,seconds
1516963347,20,0.006000,0.004112,0.002000,0.000868,0.004000,0.005000,0.005000,0.005000,0.006000,0.006000,0.023608,0.019472,0.033412,0.092367,calls/second,seconds
1516964247,20,0.009000,0.003897,0.002000,0.001318,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.023610,0.019299,0.033376,0.092362,calls/second,seconds
1516965147,19,0.006000,0.004399,0.002000,0.000759,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.022430,0.019200,0.032186,0.091576,calls/second,seconds
1516966047,20,0.009000,0.003103,0.002000,0.000599,0.003000,0.003000,0.003000,0.005000,0.005000,0.009000,0.023606,0.019481,0.033449,0.092378,calls/second,seconds
1516966947,20,0.006000,0.004531,0.002000,0.001258,0.005000,0.006000,0.006000,0.006000,0.006000,0.006000,0.023607,0.019481,0.033449,0.092378,calls/second,seconds
1516967847,20,0.006000,0.004758,0.003000,0.001393,0.006000,0.006000,0.006000,0.006000,0.006000,0.006000,0.023606,0.019308,0.033402,0.092369,calls/second,seconds
1516968747,20,0.005000,0.003601,0.002000,0.000868,0.003000,0.004000,0.005000,0.005000,0.005000,0.005000,0.023609,0.019308,0.033413,0.092373,calls/second,seconds
1516969647,20,0.006000,0.004891,0.002000,0.000430,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.023614,0.019299,0.033376,0.092362,calls/second,seconds
1516970547,20,0.007000,0.004160,0.003000,0.000724,0.004000,0.005000,0.005000,0.005000,0.007000,0.007000,0.023606,0.019473,0.033423,0.092371,calls/second,seconds
1516971447,20,0.006000,0.003660,0.002000,0.001032,0.003000,0.004000,0.006000,0.006000,0.006000,0.006000,0.023596,0.019481,0.033453,0.092381,calls/second,seconds
1516972347,20,0.006000,0.003564,0.003000,0.000706,0.003000,0.004000,0.005000,0.005000,0.005000,0.006000,0.023609,0.019481,0.033449,0.092378,calls/second,seconds
1516973247,20,0.008000,0.004463,0.002000,0.001303,0.005000,0.006000,0.006000,0.006000,0.006000,0.006000,0.023607,0.019706,0.033445,0.092375,calls/second,seconds
1516974147,20,0.007000,0.003812,0.002000,0.001243,0.003000,0.004000,0.007000,0.007000,0.007000,0.007000,0.023607,0.019482,0.033487,0.092394,calls/second,seconds
1516975047,20,0.005000,0.004272,0.002000,0.000913,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.023610,0.019299,0.033376,0.092362,calls/second,seconds
1516975947,20,0.007000,0.003487,0.002000,0.000808,0.003000,0.004000,0.005000,0.007000,0.007000,0.007000,0.023580,0.019776,0.033741,0.092444,calls/second,seconds
1516976847,20,0.007000,0.003949,0.002000,0.001169,0.005000,0.005000,0.005000,0.005000,0.005000,0.005000,0.023393,0.017764,0.032858,0.091863,calls/second,seconds
1516977747,20,0.067000,0.021753,0.002000,0.029452,0.003000,0.067000,0.067000,0.067000,0.067000,0.067000,0.023606,0.020338,0.033601,0.092416,calls/second,seconds
1516978647,20,0.007000,0.003688,0.002000,0.001259,0.003000,0.005000,0.005000,0.005000,0.005000,0.006000,0.023617,0.019858,0.033737,0.092446,calls/second,seconds
1516979547,20,0.012000,0.003583,0.002000,0.000979,0.003000,0.005000,0.005000,0.005000,0.005000,0.012000,0.023608,0.019698,0.033438,0.092377,calls/second,seconds
