t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1516877847,19,3.099000,0.618655,0.488000,0.100024,0.614000,0.662000,0.757000,0.757000,0.757000,0.757000,0.028513,0.019312,0.108771,0.396039,calls/second,seconds
1516878747,20,0.759000,0.612804,0.409000,0.078558,0.631000,0.654000,0.726000,0.726000,0.726000,0.727000,0.023607,0.019481,0.033443,0.092375,calls/second,seconds
1516879647,20,0.686000,0.582759,0.485000,0.025955,0.586000,0.609000,0.609000,0.636000,0.636000,0.661000,0.023609,0.019308,0.033407,0.092370,calls/second,seconds
1516880547,20,0.703000,0.567898,0.513000,0.053562,0.528000,0.615000,0.675000,0.675000,0.675000,0.675000,0.023612,0.019299,0.033376,0.092362,calls/second,seconds
1516881447,20,0.833000,0.644688,0.506000,0.031137,0.664000,0.672000,0.672000,0.689000,0.689000,0.705000,0.023615,0.019299,0.033376,0.092362,calls/second,seconds
1516882347,20,0.719000,0.626477,0.477000,0.066692,0.612000,0.719000,0.719000,0.719000,0.719000,0.719000,0.023611,0.019299,0.033376,0.092362,calls/second,seconds
1516883247,20,0.693000,0.563993,0.476000,0.041216,0.575000,0.585000,0.612000,0.650000,0.650000,0.657000,0.023600,0.019481,0.033449,0.092378,calls/second,seconds
1516884147,20,4.872000,2.727154,0.501000,1.830337,3.463000,4.872000,4.872000,4.872000,4.872000,4.872000,0.023632,0.020322,0.033467,0.092374,calls/second,seconds
1516885047,20,5.885000,0.503600,0.404000,0.047698,0.526000,0.529000,0.529000,0.569000,0.569000,0.675000,0.023757,0.019299,0.033580,0.092800,calls/second,seconds
1516885947,20,2.945000,0.519703,0.403000,0.154694,0.487000,0.614000,0.614000,1.204000,1.204000,2.945000,0.023605,0.019483,0.033463,0.092382,calls/second,seconds
1516886847,20,13.597000,4.670565,0.427000,3.372557,6.605000,8.067000,8.067000,8.067000,8.067000,8.067000,0.023574,0.020331,0.033518,0.092393,calls/second,seconds
1516887747,20,14.619000,2.347186,0.427000,1.713705,3.006000,4.138000,4.138000,4.138000,4.138000,14.619000,0.023609,0.020330,0.033561,0.092403,calls/second,seconds
1516888647,20,0.762000,0.513008,0.401000,0.033165,0.507000,0.557000,0.557000,0.557000,0.557000,0.762000,0.023606,0.019308,0.033402,0.092369,calls/second,seconds
1516889547,20,0.587000,0.546932,0.431000,0.043103,0.579000,0.580000,0.580000,0.580000,0.580000,0.580000,0.023605,0.019481,0.033438,0.092375,calls/second,seconds
1516890447,20,0.661000,0.543713,0.406000,0.046297,0.568000,0.587000,0.587000,0.591000,0.591000,0.613000,0.023609,0.019299,0.033376,0.092362,calls/second,seconds
1516891347,20,0.715000,0.529791,0.417000,0.070981,0.490000,0.565000,0.645000,0.645000,0.645000,0.645000,0.023611,0.019299,0.033376,0.092362,calls/second,seconds
1516892247,20,0.628000,0.500937,0.421000,0.063640,0.495000,0.564000,0.578000,0.578000,0.578000,0.628000,0.023605,0.019481,0.033432,0.092372,calls/second,seconds
1516893147,20,0.838000,0.533149,0.400000,0.139456,0.437000,0.621000,0.838000,0.838000,0.838000,0.838000,0.023607,0.019481,0.033443,0.092375,calls/second,seconds
1516894047,20,22.697000,0.528993,0.427000,0.261928,0.562000,0.577000,0.583000,0.583000,0.583000,0.583000,0.023605,0.019473,0.033480,0.092396,calls/second,seconds
1516894947,20,26.082000,8.946523,0.381000,7.482302,7.672000,17.311000,17.311000,26.082000,26.082000,26.082000,0.023605,0.022955,0.034031,0.092471,calls/second,seconds
1516895847,20,19.218000,1.399886,0.443000,1.069277,0.689000,2.662000,2.913000,2.913000,2.913000,9.180000,0.023487,0.018294,0.033016,0.091903,calls/second,seconds
1516896747,20,23.377000,15.321782,0.444000,10.376434,22.190000,23.377000,23.377000,23.377000,23.377000,23.377000,0.023652,0.023930,0.033753,0.092417,calls/second,seconds
1516897647,20,43.974000,2.808464,0.436000,3.402721,0.443000,7.931000,7.931000,9.154000,9.154000,14.685000,0.024207,0.020365,0.034594,0.094234,calls/second,seconds
1516898547,20,7.092000,1.308589,0.418000,1.381199,0.490000,1.391000,3.675000,3.675000,3.675000,7.092000,0.023605,0.019882,0.033528,0.092395,calls/second,seconds
1516899447,20,38.067000,2.077500,0.413000,2.884146,1.286000,1.818000,6.132000,6.132000,6.132000,38.067000,0.023604,0.020117,0.033786,0.092460,calls/second,seconds
1516900347,20,15.942000,1.174638,0.451000,2.872723,0.520000,0.555000,3.837000,14.588000,14.588000,15.942000,0.023555,0.019654,0.033681,0.092434,calls/second,seconds
1516901247,20,14.200000,10.512535,0.409000,2.824709,11.884000,12.400000,12.400000,12.400000,12.400000,12.400000,0.023612,0.023123,0.033829,0.092433,calls/second,seconds
1516902147,20,26.161000,0.684517,0.443000,1.522638,0.446000,0.462000,0.579000,6.205000,6.447000,26.161000,0.023479,0.017824,0.033089,0.091923,calls/second,seconds
1516903047,20,32.482000,1.077558,0.409000,1.024015,0.585000,0.585000,2.858000,2.858000,2.858000,2.858000,0.023609,0.019698,0.033484,0.092405,calls/second,seconds
1516903947,20,11.724000,0.734906,0.389000,1.052183,0.512000,0.593000,0.593000,6.344000,6.344000,6.344000,0.023605,0.019532,0.033520,0.092399,calls/second,seconds
1516904847,20,6.347000,0.500433,0.409000,0.098873,0.493000,0.493000,0.591000,0.591000,0.591000,2.337000,0.023602,0.019483,0.033475,0.092388,calls/second,seconds
1516905747,20,2.961000,0.504006,0.390000,0.231341,0.480000,0.499000,0.511000,0.614000,0.897000,2.961000,0.023516,0.017764,0.032858,0.091861,calls/second,seconds
1516906647,20,1.733000,0.503010,0.394000,0.176130,0.474000,0.509000,0.643000,1.649000,1.649000,1.649000,0.023609,0.019299,0.033376,0.092362,calls/second,seconds
1516907547,20,1.588000,0.468953,0.399000,0.031816,0.482000,0.487000,0.487000,0.550000,0.562000,0.601000,0.023605,0.019308,0.033402,0.092369,calls/second,seconds
1516908447,20,0.619000,0.506213,0.402000,0.043519,0.500000,0.563000,0.563000,0.563000,0.563000,0.563000,0.023606,0.019300,0.033387,0.092366,calls/second,seconds
1516909347,20,0.966000,0.502709,0.413000,0.033740,0.513000,0.514000,0.514000,0.530000,0.579000,0.590000,0.023607,0.019299,0.033376,0.092362,calls/second,seconds
1516910247,20,0.679000,0.607853,0.427000,0.053503,0.598000,0.679000,0.679000,0.679000,0.679000,0.679000,0.023606,0.019473,0.033429,0.092374,calls/second,seconds
1516911147,20,0.592000,0.526898,0.405000,0.043976,0.557000,0.557000,0.575000,0.575000,0.575000,0.575000,0.023603,0.019481,0.033449,0.092378,calls/second,seconds
1516912047,20,0.703000,0.503809,0.441000,0.078682,0.458000,0.548000,0.638000,0.638000,0.638000,0.703000,0.023604,0.019473,0.033423,0.092371,calls/second,seconds
1516912947,20,0.683000,0.580896,0.449000,0.087111,0.608000,0.683000,0.683000,0.683000,0.683000,0.683000,0.023609,0.019299,0.033376,0.092362,calls/second,seconds
1516913847,20,0.628000,0.528877,0.414000,0.071781,0.525000,0.628000,0.628000,0.628000,0.628000,0.628000,0.023605,0.019308,0.033407,0.092370,calls/second,seconds
1516914747,20,0.609000,0.458033,0.402000,0.049959,0.455000,0.529000,0.529000,0.529000,0.592000,0.592000,0.023608,0.019300,0.033387,0.092366,calls/second,seconds
1516915647,20,0.599000,0.505013,0.427000,0.036208,0.513000,0.529000,0.555000,0.555000,0.555000,0.581000,0.023605,0.019481,0.033443,0.092375,calls/second,seconds
1516916547,20,0.680000,0.580660,0.418000,0.041742,0.563000,0.591000,0.680000,0.680000,0.680000,0.680000,0.023606,0.019472,0.033412,0.092367,calls/second,seconds
1516917447,20,0.702000,0.606860,0.457000,0.080309,0.663000,0.663000,0.702000,0.702000,0.702000,0.702000,0.023608,0.019299,0.033376,0.092362,calls/second,seconds
1516918347,20,0.620000,0.509427,0.414000,0.045142,0.504000,0.556000,0.556000,0.556000,0.620000,0.620000,0.023605,0.019308,0.033413,0.092373,calls/second,seconds
1516919247,20,0.690000,0.496482,0.426000,0.043957,0.488000,0.497000,0.599000,0.599000,0.616000,0.616000,0.023605,0.019481,0.033438,0.092375,calls/second,seconds
1516920147,20,0.617000,0.525690,0.432000,0.033321,0.546000,0.546000,0.564000,0.564000,0.564000,0.564000,0.023609,0.019299,0.033376,0.092362,calls/second,seconds
1516921047,20,0.692000,0.511716,0.426000,0.038236,0.498000,0.501000,0.612000,0.612000,0.612000,0.612000,0.023607,0.019481,0.033432,0.092372,calls/second,seconds
