t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1516042069,12,0.003000,0.002796,0.002000,0.000403,0.003000,0.003000,0.003000,0.003000,0.003000,0.003000,0.029560,0.038472,0.125541,0.265682,calls/second,seconds
1516042969,20,0.004000,0.003216,0.002000,0.000449,0.003000,0.003000,0.004000,0.004000,0.004000,0.004000,0.026032,0.038730,0.056104,0.185846,calls/second,seconds
1516043869,20,0.005000,0.003255,0.002000,0.001051,0.003000,0.003000,0.005000,0.005000,0.005000,0.005000,0.026031,0.038073,0.056064,0.185844,calls/second,seconds
1516044769,20,0.004000,0.002458,0.002000,0.000498,0.002000,0.003000,0.003000,0.003000,0.003000,0.003000,0.026029,0.038731,0.056127,0.185853,calls/second,seconds
1516045669,20,0.004000,0.002987,0.002000,0.000126,0.003000,0.003000,0.003000,0.003000,0.003000,0.004000,0.026031,0.038041,0.056030,0.185836,calls/second,seconds
1516046569,16,0.003000,0.002480,0.002000,0.000500,0.002000,0.003000,0.003000,0.003000,0.003000,0.003000,0.020825,0.036241,0.049569,0.182345,calls/second,seconds
1516047469,20,0.003000,0.002967,0.002000,0.000178,0.003000,0.003000,0.003000,0.003000,0.003000,0.003000,0.026035,0.038041,0.056030,0.185836,calls/second,seconds
1516048369,20,0.003000,0.002248,0.002000,0.000432,0.002000,0.002000,0.003000,0.003000,0.003000,0.003000,0.026031,0.038730,0.056104,0.185846,calls/second,seconds
1516049269,20,0.003000,0.002251,0.002000,0.000434,0.002000,0.003000,0.003000,0.003000,0.003000,0.003000,0.026033,0.038697,0.056086,0.185845,calls/second,seconds
1516050169,20,0.005000,0.002455,0.002000,0.000504,0.002000,0.003000,0.003000,0.003000,0.003000,0.005000,0.026032,0.038073,0.056064,0.185844,calls/second,seconds
1516051069,20,0.003000,0.002703,0.002000,0.000457,0.003000,0.003000,0.003000,0.003000,0.003000,0.003000,0.026032,0.038697,0.056078,0.185841,calls/second,seconds
1516051969,20,0.005000,0.003008,0.002000,0.000675,0.003000,0.003000,0.004000,0.004000,0.004000,0.004000,0.026029,0.038041,0.056038,0.185839,calls/second,seconds
1516052869,20,0.003000,0.002513,0.002000,0.000500,0.003000,0.003000,0.003000,0.003000,0.003000,0.003000,0.026029,0.038731,0.056127,0.185853,calls/second,seconds
1516053769,20,0.004000,0.002231,0.002000,0.000422,0.002000,0.002000,0.003000,0.003000,0.003000,0.003000,0.026033,0.038042,0.056045,0.185839,calls/second,seconds
1516054669,20,0.003000,0.002680,0.002000,0.000466,0.003000,0.003000,0.003000,0.003000,0.003000,0.003000,0.026028,0.038731,0.056127,0.185853,calls/second,seconds
1516055569,20,0.003000,0.002332,0.002000,0.000471,0.002000,0.003000,0.003000,0.003000,0.003000,0.003000,0.026032,0.038073,0.056056,0.185840,calls/second,seconds
1516056469,20,0.006000,0.003115,0.002000,0.001568,0.002000,0.003000,0.006000,0.006000,0.006000,0.006000,0.026031,0.038730,0.056104,0.185846,calls/second,seconds
1516057369,20,0.006000,0.002440,0.002000,0.000497,0.002000,0.003000,0.003000,0.003000,0.003000,0.003000,0.026031,0.038041,0.056038,0.185839,calls/second,seconds
1516058269,20,0.003000,0.002036,0.002000,0.000185,0.002000,0.002000,0.002000,0.003000,0.003000,0.003000,0.026032,0.038041,0.056030,0.185836,calls/second,seconds
1516059169,20,0.003000,0.002449,0.002000,0.000497,0.002000,0.003000,0.003000,0.003000,0.003000,0.003000,0.026031,0.038075,0.056079,0.185848,calls/second,seconds
1516060069,20,0.003000,0.002465,0.002000,0.000499,0.002000,0.003000,0.003000,0.003000,0.003000,0.003000,0.026034,0.038041,0.056038,0.185839,calls/second,seconds
1516060969,20,0.003000,0.002432,0.002000,0.000495,0.002000,0.003000,0.003000,0.003000,0.003000,0.003000,0.026032,0.038041,0.056030,0.185836,calls/second,seconds
1516061869,20,0.003000,0.002487,0.002000,0.000500,0.002000,0.003000,0.003000,0.003000,0.003000,0.003000,0.026031,0.038730,0.056104,0.185846,calls/second,seconds
1516062769,20,0.006000,0.002077,0.002000,0.000484,0.002000,0.002000,0.002000,0.003000,0.006000,0.006000,0.026030,0.038075,0.056071,0.185844,calls/second,seconds
1516063669,20,0.003000,0.002033,0.002000,0.000178,0.002000,0.002000,0.002000,0.003000,0.003000,0.003000,0.026027,0.038731,0.056127,0.185853,calls/second,seconds
1516064569,20,0.003000,0.002719,0.002000,0.000450,0.003000,0.003000,0.003000,0.003000,0.003000,0.003000,0.026033,0.038075,0.056079,0.185848,calls/second,seconds
1516065469,20,0.006000,0.002580,0.002000,0.000494,0.003000,0.003000,0.003000,0.003000,0.003000,0.003000,0.026032,0.038042,0.056053,0.185843,calls/second,seconds
1516066369,20,0.004000,0.002990,0.002000,0.000664,0.003000,0.003000,0.004000,0.004000,0.004000,0.004000,0.026030,0.038073,0.056064,0.185844,calls/second,seconds
1516067269,20,0.006000,0.002550,0.002000,0.000498,0.003000,0.003000,0.003000,0.003000,0.003000,0.003000,0.026031,0.038041,0.056038,0.185839,calls/second,seconds
1516068169,20,0.004000,0.002717,0.002000,0.000817,0.002000,0.003000,0.004000,0.004000,0.004000,0.004000,0.026031,0.038041,0.056030,0.185836,calls/second,seconds
1516069069,20,0.003000,0.002749,0.002000,0.000434,0.003000,0.003000,0.003000,0.003000,0.003000,0.003000,0.026036,0.038041,0.056030,0.185836,calls/second,seconds
1516069969,20,0.003000,0.002998,0.002000,0.000046,0.003000,0.003000,0.003000,0.003000,0.003000,0.003000,0.026033,0.038041,0.056038,0.185839,calls/second,seconds
1516070869,20,0.003000,0.002738,0.002000,0.000440,0.003000,0.003000,0.003000,0.003000,0.003000,0.003000,0.026031,0.038699,0.056100,0.185849,calls/second,seconds
1516071769,20,0.003000,0.002419,0.002000,0.000493,0.002000,0.003000,0.003000,0.003000,0.003000,0.003000,0.026033,0.038073,0.056056,0.185840,calls/second,seconds
1516072669,20,0.003000,0.002683,0.002000,0.000465,0.003000,0.003000,0.003000,0.003000,0.003000,0.003000,0.026032,0.038041,0.056030,0.185836,calls/second,seconds
1516073569,20,0.003000,0.002249,0.002000,0.000433,0.002000,0.002000,0.003000,0.003000,0.003000,0.003000,0.026032,0.038041,0.056030,0.185836,calls/second,seconds
1516074469,20,0.004000,0.002534,0.002000,0.000501,0.003000,0.003000,0.003000,0.003000,0.003000,0.003000,0.026028,0.038731,0.056127,0.185853,calls/second,seconds
1516075369,20,0.004000,0.002754,0.002000,0.000473,0.003000,0.003000,0.003000,0.003000,0.004000,0.004000,0.026032,0.038041,0.056030,0.185836,calls/second,seconds
1516076269,20,0.003000,0.002434,0.002000,0.000496,0.002000,0.003000,0.003000,0.003000,0.003000,0.003000,0.026030,0.038731,0.056131,0.185856,calls/second,seconds
1516077169,20,0.003000,0.002770,0.001000,0.000421,0.003000,0.003000,0.003000,0.003000,0.003000,0.003000,0.026030,0.038042,0.056053,0.185843,calls/second,seconds
1516078069,20,0.007000,0.002733,0.002000,0.000444,0.003000,0.003000,0.003000,0.003000,0.003000,0.003000,0.026030,0.038075,0.056071,0.185844,calls/second,seconds
1516078969,20,0.003000,0.002671,0.002000,0.000470,0.003000,0.003000,0.003000,0.003000,0.003000,0.003000,0.026029,0.038731,0.056127,0.185853,calls/second,seconds
1516079869,20,0.003000,0.002501,0.002000,0.000500,0.003000,0.003000,0.003000,0.003000,0.003000,0.003000,0.026031,0.038073,0.056056,0.185840,calls/second,seconds
1516080769,20,0.003000,0.002048,0.002000,0.000214,0.002000,0.002000,0.002000,0.003000,0.003000,0.003000,0.026029,0.038730,0.056112,0.185849,calls/second,seconds
1516081669,20,0.003000,0.002452,0.002000,0.000498,0.002000,0.003000,0.003000,0.003000,0.003000,0.003000,0.026028,0.038731,0.056127,0.185853,calls/second,seconds
1516082569,20,0.003000,0.002737,0.002000,0.000440,0.003000,0.003000,0.003000,0.003000,0.003000,0.003000,0.026034,0.038042,0.056053,0.185843,calls/second,seconds
1516083469,20,0.003000,0.002681,0.002000,0.000466,0.003000,0.003000,0.003000,0.003000,0.003000,0.003000,0.026033,0.038042,0.056045,0.185839,calls/second,seconds
1516084369,20,0.007000,0.002800,0.002000,0.000431,0.003000,0.003000,0.003000,0.003000,0.003000,0.007000,0.026031,0.038041,0.056038,0.185839,calls/second,seconds
1516085269,20,0.003000,0.002542,0.002000,0.000498,0.003000,0.003000,0.003000,0.003000,0.003000,0.003000,0.026032,0.038041,0.056030,0.185836,calls/second,seconds
1516086169,20,0.003000,0.002051,0.002000,0.000220,0.002000,0.002000,0.003000,0.003000,0.003000,0.003000,0.026033,0.038041,0.056030,0.185836,calls/second,seconds
1516087069,20,0.003000,0.002546,0.002000,0.000498,0.003000,0.003000,0.003000,0.003000,0.003000,0.003000,0.026033,0.038041,0.056030,0.185836,calls/second,seconds
1516087969,20,0.022000,0.006847,0.002000,0.007952,0.003000,0.003000,0.022000,0.022000,0.022000,0.022000,0.026030,0.038731,0.056119,0.185850,calls/second,seconds
1516088869,20,0.003000,0.002247,0.002000,0.000431,0.002000,0.002000,0.003000,0.003000,0.003000,0.003000,0.026027,0.038731,0.056127,0.185853,calls/second,seconds
1516089769,20,0.003000,0.002519,0.002000,0.000500,0.003000,0.003000,0.003000,0.003000,0.003000,0.003000,0.026029,0.038731,0.056127,0.185853,calls/second,seconds
1516090669,20,0.003000,0.002518,0.002000,0.000500,0.003000,0.003000,0.003000,0.003000,0.003000,0.003000,0.026033,0.038041,0.056030,0.185836,calls/second,seconds
1516091569,20,0.003000,0.002284,0.002000,0.000451,0.002000,0.003000,0.003000,0.003000,0.003000,0.003000,0.026029,0.038075,0.056079,0.185848,calls/second,seconds
1516092469,20,0.004000,0.002758,0.002000,0.000471,0.003000,0.003000,0.003000,0.003000,0.004000,0.004000,0.026031,0.038730,0.056112,0.185849,calls/second,seconds
1516093369,20,0.003000,0.002315,0.002000,0.000464,0.002000,0.003000,0.003000,0.003000,0.003000,0.003000,0.026030,0.038731,0.056119,0.185850,calls/second,seconds
1516094269,20,0.003000,0.002277,0.002000,0.000448,0.002000,0.003000,0.003000,0.003000,0.003000,0.003000,0.026031,0.038042,0.056053,0.185843,calls/second,seconds
1516095169,20,0.003000,0.002562,0.002000,0.000496,0.003000,0.003000,0.003000,0.003000,0.003000,0.003000,0.026029,0.038731,0.056127,0.185853,calls/second,seconds
1516096069,20,0.003000,0.002666,0.002000,0.000472,0.003000,0.003000,0.003000,0.003000,0.003000,0.003000,0.026030,0.038042,0.056053,0.185843,calls/second,seconds
1516096969,20,0.003000,0.002751,0.002000,0.000432,0.003000,0.003000,0.003000,0.003000,0.003000,0.003000,0.026030,0.038075,0.056079,0.185848,calls/second,seconds
