t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1516042069,12,0.005000,0.004296,0.004000,0.000456,0.004000,0.005000,0.005000,0.005000,0.005000,0.005000,0.029559,0.038472,0.125541,0.265682,calls/second,seconds
1516042969,20,0.005000,0.003740,0.003000,0.000442,0.004000,0.004000,0.004000,0.004000,0.004000,0.005000,0.026032,0.038730,0.056104,0.185846,calls/second,seconds
1516043869,20,0.007000,0.004484,0.003000,0.001441,0.004000,0.004000,0.007000,0.007000,0.007000,0.007000,0.026031,0.038073,0.056064,0.185844,calls/second,seconds
1516044769,20,0.005000,0.004000,0.003000,0.000009,0.004000,0.004000,0.004000,0.004000,0.004000,0.004000,0.026028,0.038731,0.056127,0.185853,calls/second,seconds
1516045669,20,0.006000,0.003702,0.003000,0.000458,0.004000,0.004000,0.004000,0.004000,0.004000,0.004000,0.026031,0.038041,0.056030,0.185836,calls/second,seconds
1516046569,16,0.005000,0.004462,0.003000,0.000503,0.004000,0.005000,0.005000,0.005000,0.005000,0.005000,0.020824,0.036241,0.049569,0.182345,calls/second,seconds
1516047469,20,0.005000,0.003768,0.003000,0.000422,0.004000,0.004000,0.004000,0.004000,0.004000,0.004000,0.026034,0.038041,0.056030,0.185836,calls/second,seconds
1516048369,20,0.004000,0.004000,0.003000,0.000010,0.004000,0.004000,0.004000,0.004000,0.004000,0.004000,0.026031,0.038730,0.056104,0.185846,calls/second,seconds
1516049269,20,0.005000,0.004200,0.003000,0.000440,0.004000,0.004000,0.005000,0.005000,0.005000,0.005000,0.026033,0.038697,0.056086,0.185845,calls/second,seconds
1516050169,20,0.005000,0.003999,0.003000,0.000034,0.004000,0.004000,0.004000,0.004000,0.004000,0.004000,0.026032,0.038073,0.056064,0.185844,calls/second,seconds
1516051069,20,0.005000,0.003829,0.003000,0.000856,0.004000,0.005000,0.005000,0.005000,0.005000,0.005000,0.026032,0.038697,0.056078,0.185841,calls/second,seconds
1516051969,20,0.012000,0.003956,0.003000,0.000206,0.004000,0.004000,0.004000,0.004000,0.004000,0.004000,0.026029,0.038041,0.056038,0.185839,calls/second,seconds
1516052869,20,0.004000,0.003768,0.003000,0.000422,0.004000,0.004000,0.004000,0.004000,0.004000,0.004000,0.026029,0.038731,0.056127,0.185853,calls/second,seconds
1516053769,20,0.004000,0.003770,0.003000,0.000421,0.004000,0.004000,0.004000,0.004000,0.004000,0.004000,0.026033,0.038042,0.056045,0.185839,calls/second,seconds
1516054669,20,0.004000,0.003783,0.003000,0.000412,0.004000,0.004000,0.004000,0.004000,0.004000,0.004000,0.026028,0.038731,0.056127,0.185853,calls/second,seconds
1516055569,20,0.005000,0.003702,0.003000,0.000459,0.004000,0.004000,0.004000,0.004000,0.004000,0.004000,0.026031,0.038073,0.056056,0.185840,calls/second,seconds
1516056469,20,0.005000,0.003986,0.003000,0.000129,0.004000,0.004000,0.004000,0.004000,0.004000,0.005000,0.026030,0.038730,0.056104,0.185846,calls/second,seconds
1516057369,20,0.008000,0.003717,0.003000,0.000452,0.004000,0.004000,0.004000,0.004000,0.004000,0.004000,0.026031,0.038041,0.056038,0.185839,calls/second,seconds
1516058269,20,0.009000,0.004189,0.003000,0.000459,0.004000,0.004000,0.005000,0.005000,0.005000,0.005000,0.026031,0.038041,0.056030,0.185836,calls/second,seconds
1516059169,20,0.004000,0.003754,0.003000,0.000430,0.004000,0.004000,0.004000,0.004000,0.004000,0.004000,0.026031,0.038075,0.056079,0.185848,calls/second,seconds
1516060069,20,0.004000,0.003784,0.003000,0.000412,0.004000,0.004000,0.004000,0.004000,0.004000,0.004000,0.026034,0.038041,0.056038,0.185839,calls/second,seconds
1516060969,20,0.005000,0.004047,0.003000,0.000718,0.004000,0.005000,0.005000,0.005000,0.005000,0.005000,0.026032,0.038041,0.056030,0.185836,calls/second,seconds
1516061869,20,0.004000,0.004000,0.003000,0.000008,0.004000,0.004000,0.004000,0.004000,0.004000,0.004000,0.026031,0.038730,0.056104,0.185846,calls/second,seconds
1516062769,20,0.007000,0.003808,0.003000,0.000565,0.004000,0.004000,0.004000,0.004000,0.007000,0.007000,0.026030,0.038075,0.056071,0.185844,calls/second,seconds
1516063669,20,0.005000,0.004004,0.003000,0.000251,0.004000,0.004000,0.004000,0.005000,0.005000,0.005000,0.026026,0.038731,0.056127,0.185853,calls/second,seconds
1516064569,20,0.005000,0.003984,0.003000,0.000124,0.004000,0.004000,0.004000,0.004000,0.004000,0.004000,0.026032,0.038075,0.056079,0.185848,calls/second,seconds
1516065469,20,0.004000,0.003500,0.003000,0.000500,0.004000,0.004000,0.004000,0.004000,0.004000,0.004000,0.026032,0.038042,0.056053,0.185843,calls/second,seconds
1516066369,20,0.008000,0.005064,0.003000,0.001605,0.004000,0.005000,0.008000,0.008000,0.008000,0.008000,0.026030,0.038073,0.056064,0.185844,calls/second,seconds
1516067269,20,0.007000,0.003981,0.003000,0.000139,0.004000,0.004000,0.004000,0.004000,0.004000,0.004000,0.026031,0.038041,0.056038,0.185839,calls/second,seconds
1516068169,20,0.021000,0.007948,0.003000,0.007178,0.004000,0.004000,0.021000,0.021000,0.021000,0.021000,0.026031,0.038041,0.056030,0.185836,calls/second,seconds
1516069069,20,0.004000,0.003347,0.003000,0.000476,0.003000,0.004000,0.004000,0.004000,0.004000,0.004000,0.026036,0.038041,0.056030,0.185836,calls/second,seconds
1516069969,20,0.008000,0.003312,0.003000,0.000495,0.003000,0.004000,0.004000,0.004000,0.005000,0.005000,0.026033,0.038041,0.056038,0.185839,calls/second,seconds
