t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1516042069,12,0.483000,0.410640,0.320000,0.057344,0.414000,0.483000,0.483000,0.483000,0.483000,0.483000,0.029555,0.038472,0.125541,0.265682,calls/second,seconds
1516042969,20,0.497000,0.402157,0.310000,0.057841,0.421000,0.421000,0.497000,0.497000,0.497000,0.497000,0.026031,0.038730,0.056104,0.185846,calls/second,seconds
1516043869,20,0.552000,0.380204,0.317000,0.031476,0.379000,0.392000,0.420000,0.431000,0.440000,0.440000,0.026030,0.038073,0.056064,0.185844,calls/second,seconds
1516044769,20,0.627000,0.391809,0.321000,0.037628,0.409000,0.409000,0.410000,0.450000,0.627000,0.627000,0.026027,0.038731,0.056127,0.185853,calls/second,seconds
1516045669,20,0.411000,0.347936,0.326000,0.019056,0.350000,0.367000,0.370000,0.373000,0.373000,0.389000,0.026030,0.038041,0.056030,0.185836,calls/second,seconds
1516046569,16,0.426000,0.393633,0.324000,0.012742,0.401000,0.401000,0.410000,0.410000,0.410000,0.426000,0.020823,0.036241,0.049569,0.182345,calls/second,seconds
1516047469,20,0.533000,0.357762,0.305000,0.029607,0.367000,0.371000,0.384000,0.407000,0.413000,0.423000,0.026033,0.038041,0.056030,0.185836,calls/second,seconds
1516048369,20,0.434000,0.369653,0.317000,0.034615,0.400000,0.401000,0.403000,0.403000,0.434000,0.434000,0.026030,0.038730,0.056104,0.185846,calls/second,seconds
1516049269,20,0.466000,0.388148,0.314000,0.064904,0.346000,0.457000,0.462000,0.462000,0.462000,0.465000,0.026032,0.038697,0.056086,0.185845,calls/second,seconds
1516050169,20,0.502000,0.413540,0.313000,0.056148,0.401000,0.420000,0.502000,0.502000,0.502000,0.502000,0.026030,0.038073,0.056064,0.185844,calls/second,seconds
1516051069,20,0.486000,0.392117,0.315000,0.033694,0.394000,0.409000,0.443000,0.443000,0.443000,0.443000,0.026031,0.038697,0.056078,0.185841,calls/second,seconds
1516051969,20,0.423000,0.358169,0.306000,0.028640,0.362000,0.379000,0.383000,0.383000,0.383000,0.387000,0.026027,0.038041,0.056038,0.185839,calls/second,seconds
1516052869,20,0.452000,0.368212,0.279000,0.071233,0.316000,0.444000,0.452000,0.452000,0.452000,0.452000,0.026028,0.038731,0.056127,0.185853,calls/second,seconds
1516053769,20,0.462000,0.361732,0.284000,0.050116,0.320000,0.404000,0.432000,0.432000,0.432000,0.432000,0.026032,0.038042,0.056045,0.185839,calls/second,seconds
1516054669,20,0.443000,0.377774,0.297000,0.049843,0.335000,0.419000,0.443000,0.443000,0.443000,0.443000,0.026027,0.038731,0.056127,0.185853,calls/second,seconds
1516055569,20,0.464000,0.360204,0.313000,0.040569,0.330000,0.373000,0.419000,0.425000,0.464000,0.464000,0.026030,0.038073,0.056056,0.185840,calls/second,seconds
1516056469,20,0.473000,0.389437,0.316000,0.049949,0.381000,0.392000,0.472000,0.472000,0.472000,0.472000,0.026029,0.038730,0.056104,0.185846,calls/second,seconds
1516057369,20,0.504000,0.380792,0.325000,0.032792,0.398000,0.406000,0.409000,0.409000,0.409000,0.421000,0.026029,0.038041,0.056038,0.185839,calls/second,seconds
1516058269,20,0.421000,0.349714,0.310000,0.035002,0.346000,0.397000,0.397000,0.397000,0.419000,0.419000,0.026030,0.038041,0.056030,0.185836,calls/second,seconds
1516059169,20,0.451000,0.374876,0.304000,0.029263,0.385000,0.385000,0.410000,0.410000,0.415000,0.415000,0.026030,0.038075,0.056079,0.185848,calls/second,seconds
1516060069,20,0.481000,0.375077,0.303000,0.018877,0.380000,0.380000,0.390000,0.433000,0.439000,0.439000,0.026033,0.038041,0.056038,0.185839,calls/second,seconds
1516060969,20,0.448000,0.387483,0.325000,0.017252,0.382000,0.397000,0.406000,0.414000,0.448000,0.448000,0.026030,0.038041,0.056030,0.185836,calls/second,seconds
1516061869,20,0.635000,0.451953,0.322000,0.100368,0.398000,0.463000,0.635000,0.635000,0.635000,0.635000,0.026030,0.038730,0.056104,0.185846,calls/second,seconds
1516062769,20,0.524000,0.338753,0.312000,0.031342,0.319000,0.375000,0.395000,0.447000,0.451000,0.451000,0.026029,0.038075,0.056071,0.185844,calls/second,seconds
1516063669,20,0.469000,0.385066,0.290000,0.057014,0.393000,0.415000,0.469000,0.469000,0.469000,0.469000,0.026025,0.038731,0.056127,0.185853,calls/second,seconds
1516064569,20,0.465000,0.356312,0.306000,0.040598,0.350000,0.357000,0.420000,0.420000,0.465000,0.465000,0.026031,0.038075,0.056079,0.185848,calls/second,seconds
1516065469,20,0.465000,0.376219,0.308000,0.035038,0.395000,0.395000,0.421000,0.421000,0.421000,0.427000,0.026031,0.038042,0.056053,0.185843,calls/second,seconds
1516066369,20,0.491000,0.390926,0.305000,0.022130,0.387000,0.405000,0.419000,0.419000,0.491000,0.491000,0.026029,0.038073,0.056064,0.185844,calls/second,seconds
1516067269,20,0.511000,0.374571,0.321000,0.027526,0.369000,0.412000,0.412000,0.412000,0.412000,0.511000,0.026030,0.038041,0.056038,0.185839,calls/second,seconds
1516068169,20,0.466000,0.383907,0.318000,0.051178,0.373000,0.400000,0.466000,0.466000,0.466000,0.466000,0.026030,0.038041,0.056030,0.185836,calls/second,seconds
1516069069,20,0.544000,0.395210,0.321000,0.039876,0.415000,0.430000,0.430000,0.458000,0.494000,0.494000,0.026035,0.038041,0.056030,0.185836,calls/second,seconds
1516069969,20,0.548000,0.366367,0.312000,0.024595,0.355000,0.386000,0.399000,0.441000,0.447000,0.447000,0.026031,0.038041,0.056038,0.185839,calls/second,seconds
1516070869,20,0.476000,0.395073,0.294000,0.045728,0.395000,0.395000,0.469000,0.469000,0.469000,0.469000,0.026029,0.038699,0.056100,0.185849,calls/second,seconds
1516071769,20,0.441000,0.359901,0.295000,0.027179,0.376000,0.376000,0.377000,0.438000,0.441000,0.441000,0.026031,0.038073,0.056056,0.185840,calls/second,seconds
1516072669,20,0.451000,0.383411,0.313000,0.033013,0.373000,0.412000,0.425000,0.425000,0.429000,0.429000,0.026031,0.038041,0.056030,0.185836,calls/second,seconds
1516073569,20,0.538000,0.345042,0.284000,0.044953,0.370000,0.390000,0.390000,0.425000,0.433000,0.433000,0.026031,0.038041,0.056030,0.185836,calls/second,seconds
1516074469,20,0.451000,0.377436,0.309000,0.046338,0.382000,0.433000,0.433000,0.433000,0.433000,0.451000,0.026027,0.038731,0.056127,0.185853,calls/second,seconds
1516075369,20,0.423000,0.334652,0.315000,0.018215,0.330000,0.355000,0.357000,0.389000,0.394000,0.394000,0.026031,0.038041,0.056030,0.185836,calls/second,seconds
1516076269,20,4.614000,0.357385,0.288000,0.051087,0.320000,0.405000,0.418000,0.418000,0.461000,0.461000,0.026029,0.038731,0.056131,0.185856,calls/second,seconds
1516077169,20,0.467000,0.353766,0.304000,0.012214,0.351000,0.364000,0.364000,0.387000,0.399000,0.420000,0.026029,0.038042,0.056053,0.185843,calls/second,seconds
1516078069,20,0.482000,0.395201,0.302000,0.057395,0.388000,0.482000,0.482000,0.482000,0.482000,0.482000,0.026029,0.038075,0.056071,0.185844,calls/second,seconds
1516078969,20,0.433000,0.370888,0.316000,0.029184,0.356000,0.396000,0.408000,0.408000,0.408000,0.408000,0.026028,0.038731,0.056127,0.185853,calls/second,seconds
1516079869,20,0.902000,0.367691,0.322000,0.031050,0.388000,0.391000,0.405000,0.444000,0.472000,0.472000,0.026029,0.038073,0.056056,0.185840,calls/second,seconds
1516080769,20,0.455000,0.390733,0.316000,0.032329,0.375000,0.376000,0.449000,0.449000,0.455000,0.455000,0.026028,0.038730,0.056112,0.185849,calls/second,seconds
1516081669,20,0.547000,0.336145,0.311000,0.030354,0.332000,0.345000,0.389000,0.389000,0.403000,0.448000,0.026027,0.038731,0.056127,0.185853,calls/second,seconds
1516082569,20,1.596000,0.369057,0.313000,0.049110,0.351000,0.375000,0.412000,0.432000,0.437000,0.486000,0.026032,0.038042,0.056053,0.185843,calls/second,seconds
1516083469,20,0.459000,0.383929,0.320000,0.032228,0.360000,0.416000,0.420000,0.420000,0.420000,0.433000,0.026031,0.038042,0.056045,0.185839,calls/second,seconds
1516084369,20,0.456000,0.351759,0.317000,0.023075,0.361000,0.374000,0.374000,0.398000,0.399000,0.423000,0.026029,0.038041,0.056038,0.185839,calls/second,seconds
1516085269,20,0.461000,0.326721,0.309000,0.015180,0.320000,0.334000,0.339000,0.363000,0.407000,0.424000,0.026031,0.038041,0.056030,0.185836,calls/second,seconds
1516086169,20,0.464000,0.357511,0.303000,0.025028,0.370000,0.370000,0.390000,0.390000,0.400000,0.412000,0.026031,0.038041,0.056030,0.185836,calls/second,seconds
1516087069,20,0.505000,0.383790,0.323000,0.067828,0.336000,0.388000,0.505000,0.505000,0.505000,0.505000,0.026031,0.038041,0.056030,0.185836,calls/second,seconds
1516087969,20,0.499000,0.356740,0.294000,0.073117,0.345000,0.383000,0.475000,0.475000,0.485000,0.485000,0.026028,0.038731,0.056119,0.185850,calls/second,seconds
