t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1516042069,61,0.023000,0.019509,0.018000,0.000577,0.019000,0.020000,0.020000,0.020000,0.021000,0.023000,0.150006,0.042003,0.586983,1.321725,calls/second,seconds
1516042969,20,0.041000,0.019359,0.019000,0.002728,0.019000,0.019000,0.019000,0.020000,0.041000,0.041000,0.026032,0.038730,0.056104,0.185846,calls/second,seconds
1516043869,20,0.043000,0.019243,0.019000,0.000873,0.019000,0.019000,0.020000,0.020000,0.020000,0.043000,0.026031,0.038073,0.056064,0.185844,calls/second,seconds
1516044769,20,0.043000,0.019516,0.018000,0.000537,0.020000,0.020000,0.020000,0.020000,0.020000,0.020000,0.026028,0.038731,0.056127,0.185853,calls/second,seconds
1516045669,20,0.041000,0.025210,0.019000,0.009901,0.019000,0.041000,0.041000,0.041000,0.041000,0.041000,0.026031,0.038041,0.056030,0.185836,calls/second,seconds
1516046569,16,0.020000,0.018728,0.018000,0.000833,0.018000,0.019000,0.020000,0.020000,0.020000,0.020000,0.020824,0.036241,0.049569,0.182345,calls/second,seconds
1516047469,20,0.031000,0.019423,0.018000,0.001040,0.019000,0.020000,0.021000,0.021000,0.021000,0.021000,0.026034,0.038041,0.056030,0.185836,calls/second,seconds
1516048369,20,0.020000,0.018351,0.018000,0.000480,0.018000,0.019000,0.019000,0.019000,0.019000,0.020000,0.026031,0.038730,0.056104,0.185846,calls/second,seconds
1516049269,20,0.047000,0.018784,0.018000,0.000472,0.019000,0.019000,0.019000,0.019000,0.019000,0.019000,0.026032,0.038697,0.056086,0.185845,calls/second,seconds
1516050169,20,0.020000,0.019000,0.018000,0.000009,0.019000,0.019000,0.019000,0.019000,0.019000,0.019000,0.026031,0.038073,0.056064,0.185844,calls/second,seconds
1516051069,20,0.020000,0.018689,0.018000,0.000465,0.019000,0.019000,0.019000,0.019000,0.019000,0.019000,0.026031,0.038697,0.056078,0.185841,calls/second,seconds
