t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1515080661,20,0.009000,0.006882,0.003000,0.001409,0.007000,0.008000,0.008000,0.008000,0.008000,0.008000,0.027460,0.030218,0.094962,0.372157,calls/second,seconds
1515081561,20,0.010000,0.005815,0.004000,0.001469,0.007000,0.007000,0.007000,0.007000,0.007000,0.008000,0.025080,0.030214,0.037527,0.097253,calls/second,seconds
1515082461,20,0.008000,0.006890,0.005000,0.000983,0.006000,0.008000,0.008000,0.008000,0.008000,0.008000,0.025076,0.030233,0.037558,0.097261,calls/second,seconds
1515083361,20,0.009000,0.007284,0.003000,0.000995,0.007000,0.007000,0.009000,0.009000,0.009000,0.009000,0.025052,0.031371,0.037653,0.097276,calls/second,seconds
1515084261,20,0.008000,0.006615,0.005000,0.000489,0.007000,0.007000,0.007000,0.007000,0.007000,0.007000,0.025177,0.031386,0.052585,0.181002,calls/second,seconds
1515085161,20,0.009000,0.005654,0.004000,0.001400,0.006000,0.007000,0.007000,0.008000,0.008000,0.008000,0.025101,0.029815,0.037484,0.097248,calls/second,seconds
1515086061,20,0.008000,0.005488,0.003000,0.001388,0.006000,0.007000,0.007000,0.007000,0.007000,0.008000,0.025079,0.029835,0.037515,0.097255,calls/second,seconds
1515086961,20,0.008000,0.006965,0.003000,0.000245,0.007000,0.007000,0.007000,0.007000,0.007000,0.007000,0.025094,0.029815,0.037484,0.097248,calls/second,seconds
1515087861,20,0.008000,0.006771,0.003000,0.000777,0.007000,0.007000,0.008000,0.008000,0.008000,0.008000,0.025086,0.030214,0.037535,0.097256,calls/second,seconds
1515088761,20,0.008000,0.006598,0.003000,0.000501,0.007000,0.007000,0.007000,0.007000,0.007000,0.007000,0.025119,0.029320,0.037390,0.097227,calls/second,seconds
1515089661,20,0.008000,0.006636,0.004000,0.000504,0.007000,0.007000,0.007000,0.007000,0.008000,0.008000,0.025085,0.029835,0.037515,0.097255,calls/second,seconds
1515090561,20,0.008000,0.006657,0.003000,0.000872,0.007000,0.007000,0.008000,0.008000,0.008000,0.008000,0.025083,0.030215,0.037548,0.097260,calls/second,seconds
1515091461,20,0.010000,0.007127,0.006000,0.000453,0.007000,0.007000,0.008000,0.008000,0.008000,0.010000,0.025084,0.030233,0.037558,0.097261,calls/second,seconds
1515092361,20,0.009000,0.006010,0.003000,0.000541,0.006000,0.006000,0.006000,0.007000,0.009000,0.009000,0.025084,0.029816,0.037497,0.097251,calls/second,seconds
1515093261,20,0.009000,0.006632,0.003000,0.000518,0.007000,0.007000,0.007000,0.007000,0.008000,0.009000,0.025089,0.029835,0.037515,0.097255,calls/second,seconds
1515094161,20,0.009000,0.006666,0.003000,0.000620,0.007000,0.007000,0.007000,0.009000,0.009000,0.009000,0.025074,0.030234,0.037571,0.097265,calls/second,seconds
1515095061,20,0.012000,0.008453,0.003000,0.001748,0.008000,0.008000,0.012000,0.012000,0.012000,0.012000,0.025078,0.030234,0.037571,0.097265,calls/second,seconds
1515095961,20,0.009000,0.006665,0.004000,0.001515,0.007000,0.007000,0.009000,0.009000,0.009000,0.009000,0.025085,0.029836,0.037528,0.097259,calls/second,seconds
1515096861,20,0.010000,0.007127,0.003000,0.000484,0.007000,0.007000,0.008000,0.008000,0.008000,0.008000,0.025085,0.029816,0.037504,0.097254,calls/second,seconds
1515097761,20,0.007000,0.006744,0.005000,0.000437,0.007000,0.007000,0.007000,0.007000,0.007000,0.007000,0.025087,0.030214,0.037527,0.097253,calls/second,seconds
1515098661,20,0.008000,0.006598,0.004000,0.000495,0.007000,0.007000,0.007000,0.007000,0.007000,0.007000,0.025074,0.030234,0.037564,0.097262,calls/second,seconds
1515099561,20,0.011000,0.006357,0.003000,0.000534,0.006000,0.007000,0.007000,0.007000,0.007000,0.007000,0.025074,0.030234,0.037571,0.097265,calls/second,seconds
1515100461,20,0.008000,0.005217,0.003000,0.001482,0.006000,0.006000,0.007000,0.007000,0.007000,0.008000,0.025070,0.029836,0.037528,0.097259,calls/second,seconds
1515101361,20,0.008000,0.006399,0.006000,0.000490,0.006000,0.007000,0.007000,0.007000,0.007000,0.007000,0.025083,0.030234,0.037571,0.097265,calls/second,seconds
1515102261,20,0.008000,0.006970,0.006000,0.000172,0.007000,0.007000,0.007000,0.007000,0.007000,0.007000,0.025082,0.029836,0.037521,0.097256,calls/second,seconds
1515103161,20,0.008000,0.006978,0.006000,0.000641,0.007000,0.007000,0.008000,0.008000,0.008000,0.008000,0.025081,0.030234,0.037564,0.097262,calls/second,seconds
1515104061,20,0.008000,0.006381,0.006000,0.000486,0.006000,0.007000,0.007000,0.007000,0.007000,0.007000,0.025079,0.029835,0.037508,0.097252,calls/second,seconds
1515104961,20,0.007000,0.006014,0.003000,0.001546,0.007000,0.007000,0.007000,0.007000,0.007000,0.007000,0.025060,0.030234,0.037571,0.097265,calls/second,seconds
1515105861,20,0.010000,0.006555,0.004000,0.000734,0.007000,0.007000,0.007000,0.007000,0.010000,0.010000,0.025086,0.030215,0.037548,0.097260,calls/second,seconds
1515106761,20,0.008000,0.006995,0.003000,0.000255,0.007000,0.007000,0.007000,0.008000,0.008000,0.008000,0.025082,0.029815,0.037484,0.097248,calls/second,seconds
1515107661,20,0.008000,0.006392,0.003000,0.001696,0.007000,0.007000,0.008000,0.008000,0.008000,0.008000,0.025085,0.029835,0.037515,0.097255,calls/second,seconds
1515108561,20,0.008000,0.006583,0.004000,0.000504,0.007000,0.007000,0.007000,0.007000,0.007000,0.007000,0.025083,0.029835,0.037515,0.097255,calls/second,seconds
1515109461,20,0.007000,0.006258,0.003000,0.001539,0.007000,0.007000,0.007000,0.007000,0.007000,0.007000,0.025079,0.030234,0.037564,0.097262,calls/second,seconds
1515110361,20,0.008000,0.006027,0.003000,0.001061,0.006000,0.007000,0.007000,0.007000,0.007000,0.007000,0.025086,0.029815,0.037484,0.097248,calls/second,seconds
1515111261,20,0.008000,0.006584,0.006000,0.000493,0.007000,0.007000,0.007000,0.007000,0.007000,0.007000,0.025084,0.029815,0.037484,0.097248,calls/second,seconds
1515112161,20,0.019000,0.006576,0.006000,0.001512,0.006000,0.007000,0.007000,0.008000,0.019000,0.019000,0.025086,0.029815,0.037484,0.097248,calls/second,seconds
1515113061,20,0.007000,0.006190,0.003000,0.000393,0.006000,0.006000,0.007000,0.007000,0.007000,0.007000,0.025084,0.030214,0.037535,0.097256,calls/second,seconds
1515113961,20,0.007000,0.006598,0.003000,0.000492,0.007000,0.007000,0.007000,0.007000,0.007000,0.007000,0.025085,0.030234,0.037564,0.097262,calls/second,seconds
1515114861,20,0.007000,0.006565,0.006000,0.000496,0.007000,0.007000,0.007000,0.007000,0.007000,0.007000,0.025084,0.029835,0.037508,0.097252,calls/second,seconds
1515115761,20,0.007000,0.006797,0.004000,0.000408,0.007000,0.007000,0.007000,0.007000,0.007000,0.007000,0.025084,0.030214,0.037535,0.097256,calls/second,seconds
1515116661,20,0.012000,0.006617,0.004000,0.000848,0.007000,0.007000,0.007000,0.008000,0.012000,0.012000,0.025080,0.030233,0.037558,0.097261,calls/second,seconds
1515117561,20,0.008000,0.005834,0.003000,0.001412,0.006000,0.007000,0.007000,0.007000,0.007000,0.007000,0.025085,0.029836,0.037521,0.097256,calls/second,seconds
1515118461,20,0.008000,0.006594,0.003000,0.000522,0.007000,0.007000,0.007000,0.007000,0.008000,0.008000,0.025083,0.030233,0.037558,0.097261,calls/second,seconds
1515119361,20,0.008000,0.006988,0.006000,0.000125,0.007000,0.007000,0.007000,0.007000,0.007000,0.008000,0.025093,0.029815,0.037484,0.097248,calls/second,seconds
1515120261,20,0.008000,0.006198,0.003000,0.000561,0.006000,0.006000,0.007000,0.007000,0.008000,0.008000,0.025083,0.030215,0.037548,0.097260,calls/second,seconds
1515121161,20,0.007000,0.006231,0.003000,0.000428,0.006000,0.006000,0.007000,0.007000,0.007000,0.007000,0.025081,0.030234,0.037571,0.097265,calls/second,seconds
1515122061,20,0.007000,0.006375,0.006000,0.000484,0.006000,0.007000,0.007000,0.007000,0.007000,0.007000,0.025082,0.030234,0.037571,0.097265,calls/second,seconds
1515122961,20,0.008000,0.006367,0.004000,0.000748,0.006000,0.006000,0.008000,0.008000,0.008000,0.008000,0.025085,0.030215,0.037540,0.097257,calls/second,seconds
1515123861,20,0.055000,0.006601,0.005000,0.001424,0.007000,0.007000,0.007000,0.007000,0.007000,0.007000,0.025078,0.030234,0.037571,0.097265,calls/second,seconds
1515124761,20,0.007000,0.006598,0.006000,0.000490,0.007000,0.007000,0.007000,0.007000,0.007000,0.007000,0.025086,0.030214,0.037527,0.097253,calls/second,seconds
1515125661,20,0.008000,0.006222,0.006000,0.000416,0.006000,0.006000,0.007000,0.007000,0.007000,0.007000,0.025084,0.030214,0.037527,0.097253,calls/second,seconds
1515126561,20,0.008000,0.006486,0.006000,0.000550,0.006000,0.007000,0.007000,0.008000,0.008000,0.008000,0.025081,0.029816,0.037497,0.097251,calls/second,seconds
1515127461,20,0.008000,0.006563,0.004000,0.000640,0.007000,0.007000,0.007000,0.007000,0.007000,0.008000,0.025085,0.029835,0.037508,0.097252,calls/second,seconds
1515128361,20,0.007000,0.006588,0.003000,0.000492,0.007000,0.007000,0.007000,0.007000,0.007000,0.007000,0.025083,0.030215,0.037548,0.097260,calls/second,seconds
1515129261,20,0.007000,0.006581,0.004000,0.000498,0.007000,0.007000,0.007000,0.007000,0.007000,0.007000,0.025084,0.030214,0.037535,0.097256,calls/second,seconds
1515130161,20,0.007000,0.006599,0.006000,0.000490,0.007000,0.007000,0.007000,0.007000,0.007000,0.007000,0.025085,0.029816,0.037497,0.097251,calls/second,seconds
1515131061,20,0.007000,0.005659,0.004000,0.000801,0.006000,0.006000,0.006000,0.007000,0.007000,0.007000,0.025085,0.030234,0.037564,0.097262,calls/second,seconds
1515131961,20,0.007000,0.006552,0.006000,0.000497,0.007000,0.007000,0.007000,0.007000,0.007000,0.007000,0.025086,0.030215,0.037540,0.097257,calls/second,seconds
1515132861,20,0.008000,0.007111,0.003000,0.000602,0.007000,0.007000,0.008000,0.008000,0.008000,0.008000,0.025084,0.030215,0.037548,0.097260,calls/second,seconds
1515133761,20,0.013000,0.006093,0.004000,0.000738,0.006000,0.006000,0.006000,0.007000,0.013000,0.013000,0.025087,0.029815,0.037484,0.097248,calls/second,seconds
