t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1515769897,20,1.902000,0.976260,0.585000,0.321478,0.906000,1.234000,1.366000,1.366000,1.366000,1.521000,0.028944,0.020486,0.062459,0.200342,calls/second,seconds
1515770797,20,1.791000,1.054945,0.594000,0.116658,1.064000,1.143000,1.182000,1.182000,1.182000,1.320000,0.024701,0.022214,0.035876,0.096095,calls/second,seconds
1515771697,20,16.608000,1.438633,0.630000,2.010371,1.011000,1.305000,1.359000,4.636000,16.608000,16.608000,0.024692,0.022335,0.036051,0.096134,calls/second,seconds
1515772597,20,3.182000,1.193701,0.557000,0.364466,1.141000,1.306000,1.842000,1.842000,1.842000,1.842000,0.024702,0.022214,0.035884,0.096101,calls/second,seconds
1515773497,20,9.572000,0.971771,0.648000,0.190281,0.832000,1.167000,1.167000,1.324000,1.418000,1.418000,0.024697,0.022231,0.035927,0.096112,calls/second,seconds
1515774397,20,2.757000,1.669998,0.658000,0.969371,0.984000,2.700000,2.757000,2.757000,2.757000,2.757000,0.024703,0.023079,0.035964,0.096107,calls/second,seconds
1515775297,20,2.534000,0.877792,0.584000,0.190986,0.731000,0.976000,1.162000,1.162000,1.162000,1.162000,0.024696,0.021878,0.035854,0.096097,calls/second,seconds
1515776197,20,1.469000,0.673309,0.436000,0.214191,0.577000,0.874000,0.874000,1.424000,1.469000,1.469000,0.024684,0.020438,0.035302,0.095570,calls/second,seconds
1515777097,20,2.487000,0.802964,0.549000,0.176248,0.718000,0.908000,1.053000,1.053000,1.053000,1.053000,0.024737,0.021877,0.035834,0.096090,calls/second,seconds
1515777997,20,2.326000,0.639095,0.423000,0.153065,0.680000,0.787000,0.787000,0.815000,0.992000,0.992000,0.024696,0.022215,0.035903,0.096105,calls/second,seconds
1515778897,20,1.176000,0.877951,0.567000,0.205729,0.699000,1.080000,1.101000,1.101000,1.176000,1.176000,0.024695,0.021894,0.035877,0.096101,calls/second,seconds
1515779797,20,1.241000,0.782219,0.571000,0.134584,0.711000,0.906000,0.906000,1.084000,1.241000,1.241000,0.024697,0.021878,0.035854,0.096097,calls/second,seconds
