t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1513089954,12,8.057000,0.903926,0.261000,1.466111,0.535000,0.812000,0.812000,7.589000,8.057000,8.057000,0.050304,0.064890,0.209096,0.319558,calls/second,seconds
1513090854,20,0.897000,0.531400,0.227000,0.200221,0.498000,0.729000,0.729000,0.764000,0.787000,0.787000,0.026966,0.052519,0.077408,0.278872,calls/second,seconds
1513091754,20,1.245000,0.761554,0.226000,0.445872,0.515000,1.226000,1.245000,1.245000,1.245000,1.245000,0.026958,0.052572,0.077469,0.278888,calls/second,seconds
1513092654,20,0.742000,0.498242,0.222000,0.179839,0.524000,0.620000,0.687000,0.687000,0.696000,0.725000,0.026959,0.053515,0.077477,0.278885,calls/second,seconds
1513093554,20,0.724000,0.501928,0.222000,0.185614,0.456000,0.668000,0.684000,0.684000,0.699000,0.724000,0.026957,0.052522,0.077441,0.278883,calls/second,seconds
1513094454,20,0.772000,0.499928,0.225000,0.179375,0.495000,0.657000,0.657000,0.716000,0.745000,0.745000,0.026957,0.053567,0.077513,0.278890,calls/second,seconds
1513095354,20,0.781000,0.477858,0.223000,0.190179,0.386000,0.658000,0.702000,0.702000,0.702000,0.702000,0.026958,0.052519,0.077416,0.278875,calls/second,seconds
1513096254,20,0.730000,0.477615,0.214000,0.189011,0.397000,0.656000,0.669000,0.669000,0.678000,0.712000,0.026959,0.052520,0.077425,0.278879,calls/second,seconds
1513097154,20,0.720000,0.516634,0.219000,0.197796,0.430000,0.703000,0.720000,0.720000,0.720000,0.720000,0.026960,0.052522,0.077432,0.278879,calls/second,seconds
1513098054,20,0.705000,0.473826,0.248000,0.152870,0.425000,0.621000,0.652000,0.652000,0.700000,0.705000,0.026957,0.052522,0.077441,0.278883,calls/second,seconds
1513098954,20,0.772000,0.539983,0.229000,0.208410,0.525000,0.688000,0.772000,0.772000,0.772000,0.772000,0.026955,0.053567,0.077521,0.278894,calls/second,seconds
1513099854,20,0.877000,0.511022,0.218000,0.194915,0.472000,0.678000,0.718000,0.718000,0.718000,0.718000,0.026953,0.053515,0.077482,0.278888,calls/second,seconds
1513100754,20,0.737000,0.532217,0.216000,0.203648,0.466000,0.721000,0.737000,0.737000,0.737000,0.737000,0.026957,0.052522,0.077432,0.278879,calls/second,seconds
1513101654,20,0.743000,0.503128,0.214000,0.191177,0.495000,0.673000,0.673000,0.673000,0.725000,0.725000,0.026951,0.053567,0.077513,0.278890,calls/second,seconds
1513102554,20,0.717000,0.516934,0.229000,0.181800,0.514000,0.687000,0.717000,0.717000,0.717000,0.717000,0.026955,0.053518,0.077493,0.278889,calls/second,seconds
1513103454,20,0.746000,0.459071,0.221000,0.180182,0.384000,0.665000,0.686000,0.686000,0.693000,0.720000,0.026954,0.052572,0.077469,0.278888,calls/second,seconds
1513104354,20,0.719000,0.472396,0.222000,0.186391,0.396000,0.623000,0.686000,0.686000,0.686000,0.709000,0.026957,0.052519,0.077416,0.278875,calls/second,seconds
1513105254,12,0.715000,0.500242,0.230000,0.174954,0.478000,0.697000,0.697000,0.700000,0.715000,0.715000,0.016174,0.000133,0.057934,0.270948,calls/second,seconds
1513110998,19,2.258000,0.624434,0.328000,0.161678,0.686000,0.808000,0.808000,0.808000,1.064000,1.064000,0.024640,0.025503,0.068556,0.269015,calls/second,seconds
