t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1519241958,8,1.277000,0.210328,0.000000,0.472773,0.001000,0.001000,1.277000,1.277000,1.277000,1.277000,0.062287,0.124482,0.546301,0.704183,calls/second,seconds
1519242858,9,1.227000,0.252797,0.000000,0.495647,0.001000,0.001000,1.227000,1.227000,1.227000,1.227000,0.055116,0.090899,0.490531,0.678581,calls/second,seconds
1519243758,1,0.001000,0.001000,0.001000,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001295,0.000001,0.015616,0.085483,calls/second,seconds
1519373358,4,0.001000,0.000744,0.000000,0.000436,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.019062,0.028539,0.410734,0.640590,calls/second,seconds
1519380373,5,0.001000,0.000779,0.000000,0.000415,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.098997,0.153323,0.185146,0.194653,calls/second,seconds
1519381976,47,0.006000,0.000594,0.000000,0.000491,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.057348,0.063644,0.141074,0.598518,calls/second,seconds
1519382876,41,0.001000,0.000446,0.000000,0.000497,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.046581,0.062516,0.058793,0.105196,calls/second,seconds
1519383776,41,0.001000,0.000574,0.000000,0.000495,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.046591,0.074730,0.061995,0.106148,calls/second,seconds
1519384676,40,0.001000,0.000586,0.000000,0.000492,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.045463,0.067594,0.057495,0.104688,calls/second,seconds
1519385576,41,0.004000,0.000426,0.000000,0.000538,0.000000,0.001000,0.001000,0.001000,0.001000,0.004000,0.046607,0.067589,0.057517,0.105036,calls/second,seconds
1519386476,41,0.001000,0.000648,0.000000,0.000478,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.046615,0.066876,0.057833,0.105230,calls/second,seconds
1519387376,41,0.001000,0.000668,0.000000,0.000471,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.046622,0.066893,0.058499,0.105473,calls/second,seconds
1519388276,42,0.001000,0.000727,0.000000,0.000445,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.047764,0.067231,0.060110,0.106318,calls/second,seconds
1519389176,41,0.001000,0.000729,0.000000,0.000445,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.046637,0.074012,0.061922,0.106135,calls/second,seconds
1519390076,39,0.002000,0.000734,0.000000,0.000443,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.044369,0.066875,0.057020,0.104127,calls/second,seconds
1519390976,41,0.001000,0.000234,0.000000,0.000423,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.046653,0.066876,0.057465,0.105028,calls/second,seconds
1519391876,42,0.001000,0.000680,0.000000,0.000466,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.047797,0.066877,0.058228,0.105775,calls/second,seconds
1519392776,41,0.001000,0.000535,0.000000,0.000499,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.046669,0.067467,0.058291,0.105415,calls/second,seconds
1519393676,41,0.001000,0.000533,0.000000,0.000499,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.046669,0.067231,0.059712,0.105771,calls/second,seconds
1519394576,41,0.004000,0.000622,0.000000,0.001088,0.000000,0.001000,0.004000,0.004000,0.004000,0.004000,0.046670,0.074012,0.061922,0.106135,calls/second,seconds
1519395476,40,0.001000,0.000299,0.000000,0.000458,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.045533,0.066875,0.057369,0.104651,calls/second,seconds
1519396376,41,0.003000,0.000800,0.000000,0.000407,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.046673,0.066397,0.057328,0.104987,calls/second,seconds
1519397276,41,0.001000,0.000469,0.000000,0.000499,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.046673,0.066866,0.057764,0.105204,calls/second,seconds
1519398176,41,0.001000,0.000543,0.000000,0.000498,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.046502,0.062322,0.057606,0.104903,calls/second,seconds
1519399076,42,0.001000,0.000674,0.000000,0.000469,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.047073,0.050278,0.056904,0.104502,calls/second,seconds
1519399976,41,0.001000,0.000316,0.000000,0.000465,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.046684,0.071382,0.061461,0.106030,calls/second,seconds
1519400876,31,0.003000,0.000740,0.000000,0.000443,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.035292,0.003513,0.034565,0.095741,calls/second,seconds
1519662441,6,0.002000,0.001491,0.001000,0.000500,0.001000,0.002000,0.002000,0.002000,0.002000,0.002000,0.006779,0.000000,0.022258,0.152314,calls/second,seconds
