t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1519241958,4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031141,0.085079,0.404682,0.526112,calls/second,seconds
1519242858,5,0.001000,0.000658,0.000000,0.000474,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.030616,0.054293,0.362787,0.507072,calls/second,seconds
1519243758,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.001295,0.000001,0.015616,0.085483,calls/second,seconds
1519373358,3,0.001000,0.000330,0.000000,0.000470,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.014296,0.021404,0.308050,0.480442,calls/second,seconds
1519380373,4,0.001000,0.000430,0.000000,0.000495,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.079157,0.138611,0.181895,0.193552,calls/second,seconds
1519381976,47,0.006000,0.000308,0.000000,0.000462,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.057345,0.063644,0.141074,0.598518,calls/second,seconds
1519382876,41,0.001000,0.000515,0.000000,0.000500,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.046580,0.062516,0.058793,0.105196,calls/second,seconds
1519383776,41,0.001000,0.000028,0.000000,0.000166,0.000000,0.000000,0.000000,0.001000,0.001000,0.001000,0.046590,0.068755,0.060970,0.105560,calls/second,seconds
1519384676,40,0.001000,0.000328,0.000000,0.000469,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.045463,0.067594,0.057495,0.104688,calls/second,seconds
1519385576,41,0.001000,0.000108,0.000000,0.000311,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.046607,0.067589,0.057517,0.105036,calls/second,seconds
1519386476,41,0.001000,0.000472,0.000000,0.000499,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.046615,0.066876,0.057833,0.105230,calls/second,seconds
1519387376,41,0.002000,0.000168,0.000000,0.000374,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.046621,0.066893,0.058499,0.105473,calls/second,seconds
1519388276,42,0.001000,0.000343,0.000000,0.000475,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.047764,0.067231,0.060110,0.106318,calls/second,seconds
1519389176,41,0.001000,0.000633,0.000000,0.000482,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.046637,0.074012,0.061922,0.106135,calls/second,seconds
1519390076,39,0.001000,0.000346,0.000000,0.000476,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.044368,0.066875,0.057020,0.104127,calls/second,seconds
1519390976,41,0.001000,0.000042,0.000000,0.000200,0.000000,0.000000,0.000000,0.001000,0.001000,0.001000,0.046653,0.066876,0.057465,0.105028,calls/second,seconds
1519391876,42,0.001000,0.000214,0.000000,0.000410,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.047797,0.066877,0.058228,0.105775,calls/second,seconds
1519392776,41,0.001000,0.000474,0.000000,0.000499,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.046668,0.066189,0.058237,0.105409,calls/second,seconds
1519393676,41,0.001000,0.000223,0.000000,0.000416,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.046668,0.067231,0.059712,0.105771,calls/second,seconds
1519394576,41,0.001000,0.000010,0.000000,0.000101,0.000000,0.000000,0.000000,0.000000,0.001000,0.001000,0.046670,0.074012,0.061922,0.106135,calls/second,seconds
1519395476,40,0.001000,0.000129,0.000000,0.000335,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.045533,0.066875,0.057369,0.104651,calls/second,seconds
1519396376,41,0.001000,0.000137,0.000000,0.000343,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.046672,0.066394,0.057312,0.104983,calls/second,seconds
1519397276,41,0.001000,0.000002,0.000000,0.000049,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,0.046673,0.066866,0.057764,0.105204,calls/second,seconds
1519398176,41,0.001000,0.000169,0.000000,0.000375,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.046501,0.062322,0.057602,0.104900,calls/second,seconds
1519399076,42,0.001000,0.000300,0.000000,0.000458,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.047073,0.051292,0.056979,0.104513,calls/second,seconds
1519399976,41,0.001000,0.000237,0.000000,0.000425,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.046684,0.071382,0.061461,0.106030,calls/second,seconds
1519400876,31,0.023000,0.000284,0.000000,0.000720,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.035291,0.003513,0.034561,0.095739,calls/second,seconds
1519662441,5,0.002000,0.000132,0.000000,0.000496,0.000000,0.000000,0.002000,0.002000,0.002000,0.002000,0.005649,0.000000,0.022016,0.151851,calls/second,seconds
