t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1519241958,32,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.249120,0.429040,1.790565,2.294662,calls/second,seconds
1519242858,53,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.324264,0.589967,1.783889,2.398369,calls/second,seconds
1519243758,22,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.024458,0.000001,0.014956,0.083834,calls/second,seconds
1519373358,14,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.066677,0.099887,1.437568,2.242065,calls/second,seconds
1519380373,19,0.001000,0.000031,0.000000,0.000173,0.000000,0.000000,0.000000,0.001000,0.001000,0.001000,0.374834,0.678342,0.906223,0.966656,calls/second,seconds
1519381976,235,0.001000,0.000110,0.000000,0.000312,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.286643,0.318221,0.705369,2.992589,calls/second,seconds
1519382876,205,0.001000,0.000028,0.000000,0.000165,0.000000,0.000000,0.000000,0.001000,0.001000,0.001000,0.232869,0.312581,0.293980,0.525989,calls/second,seconds
1519383776,205,0.001000,0.000011,0.000000,0.000103,0.000000,0.000000,0.000000,0.000000,0.001000,0.001000,0.232920,0.343775,0.304850,0.527798,calls/second,seconds
1519384676,200,0.001000,0.000000,0.000000,0.000002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.227282,0.337971,0.287508,0.523464,calls/second,seconds
1519385576,205,0.001000,0.000028,0.000000,0.000165,0.000000,0.000000,0.000000,0.001000,0.001000,0.001000,0.233002,0.337960,0.287656,0.525203,calls/second,seconds
1519386476,205,0.001000,0.000029,0.000000,0.000168,0.000000,0.000000,0.000000,0.001000,0.001000,0.001000,0.233035,0.334382,0.289166,0.526149,calls/second,seconds
1519387376,205,0.001000,0.000044,0.000000,0.000206,0.000000,0.000000,0.000000,0.001000,0.001000,0.001000,0.233078,0.334466,0.292494,0.527367,calls/second,seconds
1519388276,210,0.001000,0.000027,0.000000,0.000163,0.000000,0.000000,0.000000,0.001000,0.001000,0.001000,0.238788,0.336156,0.300549,0.531591,calls/second,seconds
1519389176,205,0.001000,0.000049,0.000000,0.000216,0.000000,0.000000,0.000000,0.001000,0.001000,0.001000,0.233155,0.370058,0.309608,0.530673,calls/second,seconds
1519390076,195,0.001000,0.000005,0.000000,0.000068,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,0.221813,0.334377,0.285115,0.520644,calls/second,seconds
1519390976,205,0.001000,0.000031,0.000000,0.000172,0.000000,0.000000,0.000000,0.001000,0.001000,0.001000,0.233236,0.334378,0.287337,0.525149,calls/second,seconds
1519391876,210,0.001000,0.000028,0.000000,0.000166,0.000000,0.000000,0.000000,0.001000,0.001000,0.001000,0.238952,0.334384,0.291154,0.528883,calls/second,seconds
1519392776,205,0.001000,0.000027,0.000000,0.000163,0.000000,0.000000,0.000000,0.001000,0.001000,0.001000,0.233311,0.342221,0.292967,0.527416,calls/second,seconds
1519393676,205,0.001000,0.000000,0.000000,0.000017,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.233314,0.336154,0.298555,0.528853,calls/second,seconds
1519394576,205,0.001000,0.000074,0.000000,0.000261,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.233320,0.370058,0.309608,0.530673,calls/second,seconds
1519395476,200,0.001000,0.000076,0.000000,0.000265,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.227636,0.334379,0.287069,0.523361,calls/second,seconds
1519396376,205,0.001000,0.000037,0.000000,0.000188,0.000000,0.000000,0.000000,0.001000,0.001000,0.001000,0.233331,0.334378,0.287348,0.525159,calls/second,seconds
1519397276,205,0.001000,0.000014,0.000000,0.000119,0.000000,0.000000,0.000000,0.000000,0.001000,0.001000,0.233333,0.334382,0.289223,0.526172,calls/second,seconds
1519398176,205,0.001000,0.000032,0.000000,0.000175,0.000000,0.000000,0.000000,0.001000,0.001000,0.001000,0.232479,0.310057,0.287930,0.524501,calls/second,seconds
1519399076,210,0.001000,0.000002,0.000000,0.000042,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,0.235333,0.261918,0.286052,0.522822,calls/second,seconds
1519399976,205,0.001000,0.000024,0.000000,0.000152,0.000000,0.000000,0.000000,0.001000,0.001000,0.001000,0.233390,0.357431,0.307430,0.530173,calls/second,seconds
1519400876,155,0.001000,0.000000,0.000000,0.000011,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.176436,0.017564,0.172892,0.478744,calls/second,seconds
1519662441,24,0.003000,0.000207,0.000000,0.000723,0.000000,0.000000,0.003000,0.003000,0.003000,0.003000,0.027112,0.000001,0.109840,0.758790,calls/second,seconds
