t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1513089954,2,0.001000,0.000500,0.000000,0.000500,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.004206,0.000159,0.083496,0.237280,calls/second,seconds
1513110998,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002409,0.000000,0.025571,0.159940,calls/second,seconds
1513248006,2,0.001000,0.000500,0.000000,0.000500,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.002422,0.000000,0.026001,0.160831,calls/second,seconds
1513267498,2,0.001000,0.000500,0.000000,0.000500,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.002537,0.000001,0.029709,0.168140,calls/second,seconds
1515080661,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002413,0.000000,0.026001,0.160831,calls/second,seconds
1515769897,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002449,0.000001,0.026882,0.162628,calls/second,seconds
1515781585,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002497,0.000001,0.028260,0.165361,calls/second,seconds
1515782918,2,0.001000,0.000500,0.000000,0.000500,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.002464,0.000001,0.027334,0.163534,calls/second,seconds
1516041169,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002364,0.000000,0.024324,0.157296,calls/second,seconds
1516877847,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002432,0.000001,0.026438,0.161727,calls/second,seconds
1517522958,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002376,0.000000,0.024733,0.158173,calls/second,seconds
1519237458,85,0.001000,0.000000,0.000000,0.000010,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.126524,0.065937,0.273011,0.823453,calls/second,seconds
1519238358,21,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.024825,0.032155,0.036420,0.093485,calls/second,seconds
1519239258,21,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.024993,0.017569,0.033698,0.092904,calls/second,seconds
1519240158,21,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.024994,0.017569,0.033698,0.092904,calls/second,seconds
1519241058,61,0.001000,0.000028,0.000000,0.000165,0.000000,0.000000,0.000000,0.001000,0.001000,0.001000,0.072595,0.107565,0.095008,0.125072,calls/second,seconds
1519241958,75,0.001000,0.000000,0.000000,0.000003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.084503,0.207584,0.107596,0.129174,calls/second,seconds
1519242858,203,0.001000,0.000000,0.000000,0.000003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.232813,0.263715,0.179233,0.204194,calls/second,seconds
1519243758,23,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.026552,0.012294,0.029958,0.090757,calls/second,seconds
1519244658,18,0.001000,0.000001,0.000000,0.000030,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.021335,0.012119,0.029666,0.090593,calls/second,seconds
1519245558,4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.004762,0.000000,0.013207,0.080545,calls/second,seconds
1519373358,8,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.038119,0.057078,0.821467,1.281180,calls/second,seconds
1519374973,2,0.001000,0.000500,0.000000,0.000500,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.002405,0.000000,0.025571,0.159940,calls/second,seconds
1519380373,11,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.217508,0.401120,0.542433,0.579553,calls/second,seconds
1519381976,143,0.001000,0.000001,0.000000,0.000038,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,0.169770,0.190927,0.170289,0.255548,calls/second,seconds
1519382876,123,0.001000,0.000000,0.000000,0.000009,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.139736,0.187549,0.176387,0.315592,calls/second,seconds
1519383776,123,0.001000,0.000000,0.000000,0.000001,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.139767,0.206265,0.182910,0.316679,calls/second,seconds
1519384676,120,0.001000,0.000004,0.000000,0.000061,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,0.136383,0.202783,0.172501,0.314076,calls/second,seconds
1519385576,123,0.001000,0.000045,0.000000,0.000208,0.000000,0.000000,0.000000,0.001000,0.001000,0.001000,0.139815,0.202767,0.172550,0.315109,calls/second,seconds
1519386476,123,0.001000,0.000029,0.000000,0.000169,0.000000,0.000000,0.000000,0.001000,0.001000,0.001000,0.139840,0.200629,0.173500,0.315690,calls/second,seconds
1519387376,123,0.001000,0.000000,0.000000,0.000012,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.139860,0.200680,0.175497,0.316420,calls/second,seconds
1519388276,126,0.001000,0.000044,0.000000,0.000206,0.000000,0.000000,0.000000,0.001000,0.001000,0.001000,0.143287,0.201694,0.180329,0.318955,calls/second,seconds
1519389176,123,0.001000,0.000003,0.000000,0.000053,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,0.139907,0.222035,0.185765,0.318404,calls/second,seconds
1519390076,117,0.001000,0.000000,0.000000,0.000009,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.133101,0.200626,0.171067,0.312386,calls/second,seconds
1519390976,123,0.001000,0.000000,0.000000,0.000022,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.139954,0.200627,0.172401,0.315089,calls/second,seconds
1519391876,126,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.143385,0.200630,0.174691,0.317329,calls/second,seconds
1519392776,123,0.001000,0.000001,0.000000,0.000028,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.140001,0.203077,0.175463,0.316394,calls/second,seconds
1519393676,123,0.001000,0.000091,0.000000,0.000287,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.140001,0.201692,0.179135,0.317313,calls/second,seconds
