t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1519237458,54,0.001000,0.000018,0.000000,0.000133,0.000000,0.000000,0.000000,0.000000,0.001000,0.001000,0.080380,0.000098,0.324216,1.360571,calls/second,seconds
1519241058,14,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020775,0.000043,0.305121,1.337404,calls/second,seconds
1519241958,48,0.001000,0.000120,0.000000,0.000325,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.077325,0.297172,0.454319,1.449144,calls/second,seconds
1519242858,26,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.128962,0.070645,0.665837,0.984883,calls/second,seconds
1519243758,6,0.001000,0.000167,0.000000,0.000373,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.007772,0.000003,0.093698,0.512898,calls/second,seconds
1519373358,14,0.001000,0.000073,0.000000,0.000260,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.066708,0.099887,1.437568,2.242065,calls/second,seconds
1519380373,20,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.395444,0.772815,1.078365,1.156902,calls/second,seconds
1519381976,282,0.001000,0.000124,0.000000,0.000330,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.344049,0.381865,0.846443,3.591106,calls/second,seconds
1519382876,246,0.001000,0.000051,0.000000,0.000220,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.279471,0.375097,0.352773,0.631184,calls/second,seconds
1519383776,246,0.001000,0.000028,0.000000,0.000166,0.000000,0.000000,0.000000,0.001000,0.001000,0.001000,0.279534,0.412530,0.365820,0.633358,calls/second,seconds
1519384676,240,0.001000,0.000051,0.000000,0.000221,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.272766,0.405566,0.345003,0.628152,calls/second,seconds
1519385576,246,0.001000,0.000024,0.000000,0.000153,0.000000,0.000000,0.000000,0.001000,0.001000,0.001000,0.279630,0.405534,0.345100,0.630218,calls/second,seconds
1519386476,246,0.001000,0.000001,0.000000,0.000035,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,0.279680,0.401258,0.347000,0.631379,calls/second,seconds
1519387376,246,0.001000,0.000023,0.000000,0.000150,0.000000,0.000000,0.000000,0.001000,0.001000,0.001000,0.279720,0.401359,0.350993,0.632841,calls/second,seconds
1519388276,252,0.001000,0.000016,0.000000,0.000124,0.000000,0.000000,0.000000,0.000000,0.001000,0.001000,0.286573,0.403387,0.360659,0.637910,calls/second,seconds
1519389176,246,0.001000,0.000020,0.000000,0.000139,0.000000,0.000000,0.000000,0.000000,0.001000,0.001000,0.279813,0.444070,0.371529,0.636807,calls/second,seconds
1519390076,234,0.001000,0.000004,0.000000,0.000062,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,0.266201,0.401253,0.342135,0.624771,calls/second,seconds
1519390976,246,0.001000,0.000003,0.000000,0.000054,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,0.279908,0.401253,0.344801,0.630177,calls/second,seconds
1519391876,252,0.001000,0.000042,0.000000,0.000200,0.000000,0.000000,0.000000,0.001000,0.001000,0.001000,0.286770,0.401261,0.349382,0.634657,calls/second,seconds
1519392776,246,0.001000,0.000014,0.000000,0.000116,0.000000,0.000000,0.000000,0.000000,0.001000,0.001000,0.280001,0.406165,0.350963,0.632797,calls/second,seconds
1519393676,246,0.001000,0.000044,0.000000,0.000206,0.000000,0.000000,0.000000,0.001000,0.001000,0.001000,0.280001,0.403385,0.358270,0.634626,calls/second,seconds
1519394576,246,0.001000,0.000083,0.000000,0.000276,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.280008,0.444070,0.371529,0.636807,calls/second,seconds
1519395476,240,0.001000,0.000081,0.000000,0.000273,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.273188,0.401254,0.344439,0.628012,calls/second,seconds
1519396376,246,0.001000,0.000070,0.000000,0.000255,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.280024,0.401253,0.344808,0.630182,calls/second,seconds
1519397276,246,0.001000,0.000068,0.000000,0.000252,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.280027,0.401237,0.346880,0.631336,calls/second,seconds
1519398176,246,0.001000,0.000056,0.000000,0.000230,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.279000,0.373930,0.345635,0.629415,calls/second,seconds
1519399076,252,0.001000,0.000008,0.000000,0.000089,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,0.282426,0.314123,0.343048,0.627338,calls/second,seconds
1519399976,246,0.001000,0.000040,0.000000,0.000197,0.000000,0.000000,0.000000,0.001000,0.001000,0.001000,0.280096,0.428294,0.368768,0.636178,calls/second,seconds
1519400876,186,0.001000,0.000021,0.000000,0.000142,0.000000,0.000000,0.000000,0.001000,0.001000,0.001000,0.211743,0.021077,0.207438,0.574475,calls/second,seconds
1519662441,76,0.001000,0.000020,0.000000,0.000139,0.000000,0.000000,0.000000,0.000000,0.001000,0.001000,0.085861,0.000016,0.148686,0.935385,calls/second,seconds
1519664145,408,0.005000,0.000323,0.000000,0.000468,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.506096,0.468211,0.647791,1.747820,calls/second,seconds
