t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1513089954,18,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.037870,0.001427,0.751463,2.135523,calls/second,seconds
1513110998,18,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.021693,0.000004,0.234008,1.447478,calls/second,seconds
1513248006,18,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.021816,0.000004,0.234008,1.447478,calls/second,seconds
1513267498,18,0.001000,0.000056,0.000000,0.000229,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.022832,0.000008,0.267385,1.513261,calls/second,seconds
1515080661,18,0.001000,0.000167,0.000000,0.000373,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.021728,0.000004,0.234008,1.447478,calls/second,seconds
1515769897,18,0.001000,0.000056,0.000000,0.000229,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.022053,0.000005,0.241940,1.463651,calls/second,seconds
1515781585,18,0.001000,0.000056,0.000000,0.000229,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.022482,0.000006,0.254344,1.488249,calls/second,seconds
1515782918,18,0.001000,0.000056,0.000000,0.000229,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.022190,0.000005,0.246006,1.471805,calls/second,seconds
1516041169,18,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.021276,0.000003,0.218916,1.415667,calls/second,seconds
1516877847,18,0.001000,0.000111,0.000000,0.000314,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.021892,0.000005,0.237941,1.455542,calls/second,seconds
1517522958,18,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.021388,0.000003,0.222595,1.423553,calls/second,seconds
1519237458,645,0.001000,0.000001,0.000000,0.000022,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.914902,0.580956,0.983928,0.977190,calls/second,seconds
1519238358,151,0.001000,0.000001,0.000000,0.000039,0.000000,0.000000,0.000000,0.000000,0.000000,0.001000,0.166803,0.218937,0.190013,0.183818,calls/second,seconds
1519239258,160,0.001000,0.000057,0.000000,0.000232,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.182592,0.198574,0.189943,0.262815,calls/second,seconds
1519240158,138,0.001000,0.000000,0.000000,0.000004,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.153379,0.158079,0.158288,0.170766,calls/second,seconds
