t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1519237458,57,19.529000,0.729832,0.295000,2.188935,0.330000,0.340000,0.843000,11.571000,11.571000,19.529000,0.081024,0.000280,0.087363,0.309158,calls/second,seconds
1519239258,2,0.386000,0.351500,0.317000,0.034500,0.386000,0.386000,0.386000,0.386000,0.386000,0.386000,0.003347,0.000021,0.055969,0.207661,calls/second,seconds
1519241058,27,28.496000,6.871682,0.306000,6.575462,5.602000,10.615000,11.990000,28.496000,28.496000,28.496000,0.037987,0.000601,0.071781,0.288735,calls/second,seconds
1519241958,70,12.794000,1.266277,0.294000,2.892235,0.333000,0.371000,12.020000,12.020000,12.020000,12.020000,0.098576,0.242836,0.163056,0.327585,calls/second,seconds
1519242858,31,35.896000,5.150186,0.310000,9.961154,0.383000,0.426000,20.656000,35.896000,35.896000,35.896000,0.035961,0.066905,0.101265,0.334710,calls/second,seconds
1519243758,3,14.138000,4.912611,0.333000,6.498827,0.336000,14.138000,14.138000,14.138000,14.138000,14.138000,0.003958,0.000002,0.049251,0.260759,calls/second,seconds
1519244658,2,7.266000,3.778539,0.343000,3.461403,0.343000,7.266000,7.266000,7.266000,7.266000,7.266000,0.004756,0.000396,0.100297,0.252233,calls/second,seconds
1519373358,12,8.755000,1.357042,0.314000,2.429458,0.360000,0.405000,8.755000,8.755000,8.755000,8.755000,0.052314,0.020243,0.303318,0.477844,calls/second,seconds
1519380373,17,17.715000,1.470782,0.336000,4.153726,0.379000,0.478000,17.715000,17.715000,17.715000,17.715000,0.346287,0.691757,0.914245,0.969758,calls/second,seconds
1519381976,26,19.963000,4.457445,0.396000,6.520457,1.617000,2.782000,19.496000,19.963000,19.963000,19.963000,0.031826,0.000002,0.098596,0.577947,calls/second,seconds
1519662441,61,17.374000,0.462959,0.305000,0.805065,0.337000,0.356000,1.126000,2.163000,3.213000,17.356000,0.070355,0.000022,0.075548,0.413218,calls/second,seconds
1519664145,51,5.701000,2.795711,0.611000,1.316344,2.484000,3.318000,5.525000,5.701000,5.701000,5.701000,0.063577,0.000004,0.123683,0.681520,calls/second,seconds
