t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1519237458,104,0.002000,0.000472,0.000000,0.000500,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.154810,0.089911,0.261919,0.649871,calls/second,seconds
1519238358,42,0.001000,0.000447,0.000000,0.000497,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.049610,0.065503,0.073129,0.187041,calls/second,seconds
1519239258,42,0.001000,0.000350,0.000000,0.000477,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.049945,0.036434,0.067640,0.185857,calls/second,seconds
1519240158,42,0.001000,0.000217,0.000000,0.000412,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.049947,0.035964,0.067595,0.185851,calls/second,seconds
1519241058,101,0.001000,0.000265,0.000000,0.000441,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.120100,0.193096,0.162425,0.234321,calls/second,seconds
1519241958,106,0.001000,0.000178,0.000000,0.000383,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.119431,0.172557,0.172409,0.519428,calls/second,seconds
1519242858,265,0.001000,0.000328,0.000000,0.000470,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.303915,0.321572,0.261593,0.472289,calls/second,seconds
1519243758,42,0.001000,0.000162,0.000000,0.000369,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.048479,0.024588,0.058901,0.179630,calls/second,seconds
1519244658,36,0.001000,0.000404,0.000000,0.000491,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.042635,0.024588,0.059491,0.181228,calls/second,seconds
1519245558,8,0.001000,0.000418,0.000000,0.000493,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.009516,0.000001,0.026442,0.161106,calls/second,seconds
1519373358,6,0.001000,0.000165,0.000000,0.000372,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.028591,0.042809,0.616101,0.960885,calls/second,seconds
1519380373,8,0.002000,0.000503,0.000000,0.000629,0.000000,0.001000,0.002000,0.002000,0.002000,0.002000,0.157703,0.277222,0.363790,0.387103,calls/second,seconds
1519381976,94,9.264000,0.000420,0.000000,0.008392,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.114647,0.127288,0.282148,1.197035,calls/second,seconds
1519382876,82,0.002000,0.000107,0.000000,0.000310,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.093146,0.125032,0.117590,0.210394,calls/second,seconds
1519383776,82,0.001000,0.000409,0.000000,0.000492,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.093166,0.137510,0.121940,0.211119,calls/second,seconds
1519384676,80,0.001000,0.000371,0.000000,0.000483,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.090911,0.135189,0.115003,0.209386,calls/second,seconds
1519385576,82,0.001000,0.000294,0.000000,0.000456,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.093199,0.135183,0.115058,0.210080,calls/second,seconds
1519386476,82,0.001000,0.000128,0.000000,0.000334,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.093212,0.133753,0.115667,0.210460,calls/second,seconds
1519387376,82,0.001000,0.000214,0.000000,0.000410,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.093229,0.133786,0.116998,0.210947,calls/second,seconds
1519388276,84,0.001000,0.000336,0.000000,0.000472,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.095513,0.134462,0.120220,0.212637,calls/second,seconds
1519389176,82,0.001000,0.000148,0.000000,0.000355,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.093260,0.148023,0.123843,0.212269,calls/second,seconds
1519390076,78,0.001000,0.000310,0.000000,0.000462,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.088723,0.133751,0.114047,0.208259,calls/second,seconds
1519390976,82,0.001000,0.000309,0.000000,0.000462,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.093292,0.133751,0.114933,0.210058,calls/second,seconds
1519391876,84,0.001000,0.000323,0.000000,0.000468,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.095579,0.133754,0.116459,0.211552,calls/second,seconds
1519392776,82,0.002000,0.000356,0.000000,0.000605,0.000000,0.001000,0.002000,0.002000,0.002000,0.002000,0.093321,0.136888,0.117195,0.210971,calls/second,seconds
1519393676,82,0.001000,0.000226,0.000000,0.000418,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.093324,0.134462,0.119423,0.211542,calls/second,seconds
