t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1519237458,31,1.416000,0.439124,0.000000,0.621524,0.001000,1.315000,1.335000,1.335000,1.335000,1.358000,0.046145,0.024433,0.116618,0.401838,calls/second,seconds
1519238358,18,1.375000,0.421936,0.001000,0.595295,0.001000,1.263000,1.266000,1.266000,1.266000,1.280000,0.024621,0.020577,0.074131,0.279900,calls/second,seconds
1519239258,18,1.376000,0.409530,0.001000,0.577763,0.001000,1.217000,1.231000,1.231000,1.231000,1.231000,0.024814,0.022365,0.075377,0.281459,calls/second,seconds
1519240158,18,1.264000,0.400396,0.001000,0.564935,0.001000,1.187000,1.227000,1.227000,1.227000,1.264000,0.024811,0.022368,0.075418,0.281471,calls/second,seconds
1519241058,9,1.305000,0.403690,0.001000,0.569519,0.001000,1.208000,1.208000,1.208000,1.208000,1.305000,0.012404,0.006540,0.063524,0.274591,calls/second,seconds
1519241958,9,1.305000,0.428550,0.001000,0.604651,0.001000,1.284000,1.284000,1.284000,1.284000,1.284000,0.012406,0.006190,0.063410,0.274569,calls/second,seconds
1519242858,9,1.304000,0.435001,0.001000,0.613795,0.001000,1.304000,1.304000,1.304000,1.304000,1.304000,0.012405,0.006538,0.063497,0.274583,calls/second,seconds
1519243758,9,1.296000,0.422075,0.001000,0.595491,0.001000,1.264000,1.264000,1.264000,1.264000,1.284000,0.012407,0.006193,0.063437,0.274576,calls/second,seconds
1519244658,9,1.365000,0.455324,0.001000,0.642535,0.001000,1.365000,1.365000,1.365000,1.365000,1.365000,0.012347,0.006536,0.063484,0.274579,calls/second,seconds
1519245558,3,1.268000,0.423333,0.001000,0.597270,0.001000,1.268000,1.268000,1.268000,1.268000,1.268000,0.004136,0.000004,0.054431,0.269597,calls/second,seconds
