t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1519237458,211,0.001000,0.000000,0.000000,0.000017,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.314049,0.232676,0.569236,1.492525,calls/second,seconds
1519238358,145,0.001000,0.000017,0.000000,0.000129,0.000000,0.000000,0.000000,0.000000,0.001000,0.001000,0.164403,0.197820,0.193218,0.256679,calls/second,seconds
1519239258,151,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.172320,0.175990,0.187186,0.258664,calls/second,seconds
1519240158,141,0.001000,0.000013,0.000000,0.000115,0.000000,0.000000,0.000000,0.000000,0.001000,0.001000,0.160915,0.175981,0.182457,0.252872,calls/second,seconds
1519241058,85,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.097000,0.073532,0.107518,0.209649,calls/second,seconds
1519241958,78,0.001000,0.000027,0.000000,0.000161,0.000000,0.000000,0.000000,0.001000,0.001000,0.001000,0.089018,0.073504,0.094337,0.130519,calls/second,seconds
1519242858,78,0.001000,0.000000,0.000000,0.000017,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.089019,0.073504,0.094341,0.130520,calls/second,seconds
1519243758,78,0.001000,0.000011,0.000000,0.000102,0.000000,0.000000,0.000000,0.000000,0.001000,0.001000,0.089027,0.073504,0.094340,0.130519,calls/second,seconds
1519244658,79,0.001000,0.000001,0.000000,0.000028,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.089810,0.073520,0.095153,0.131210,calls/second,seconds
1519245558,20,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.022832,0.000002,0.016251,0.085255,calls/second,seconds
