t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1519237458,10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.023196,0.015264,0.110451,0.256350,calls/second,seconds
1519238358,12,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016383,0.014038,0.049519,0.186618,calls/second,seconds
1519239258,12,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016511,0.015258,0.050352,0.187658,calls/second,seconds
1519240158,12,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.016512,0.015257,0.050338,0.187654,calls/second,seconds
1519241058,6,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.008255,0.004360,0.042349,0.183061,calls/second,seconds
1519241958,6,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.008256,0.004359,0.042336,0.183057,calls/second,seconds
1519242858,6,0.001000,0.000000,0.000000,0.000008,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.008256,0.004360,0.042349,0.183061,calls/second,seconds
1519243758,6,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.008256,0.004360,0.042349,0.183061,calls/second,seconds
1519244658,6,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.008217,0.003850,0.041587,0.182034,calls/second,seconds
1519245558,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.002752,0.000002,0.036287,0.179732,calls/second,seconds
