t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1519237458,28,0.003000,0.001147,0.000000,0.000727,0.001000,0.001000,0.003000,0.003000,0.003000,0.003000,0.065163,0.027444,0.185966,0.396702,calls/second,seconds
1519238358,15,0.002000,0.001000,0.001000,0.000022,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.017718,0.025298,0.029290,0.089073,calls/second,seconds
1519239258,15,0.002000,0.001001,0.001000,0.000033,0.001000,0.001000,0.001000,0.001000,0.001000,0.002000,0.017837,0.010115,0.026420,0.088455,calls/second,seconds
1519240158,15,0.002000,0.001003,0.001000,0.000056,0.001000,0.001000,0.001000,0.001000,0.001000,0.002000,0.017838,0.010115,0.026420,0.088455,calls/second,seconds
1519241058,15,0.002000,0.001098,0.001000,0.000298,0.001000,0.001000,0.002000,0.002000,0.002000,0.002000,0.017836,0.010118,0.026449,0.088462,calls/second,seconds
1519241958,15,0.002000,0.001016,0.001000,0.000126,0.001000,0.001000,0.001000,0.001000,0.002000,0.002000,0.017838,0.010115,0.026416,0.088452,calls/second,seconds
1519242858,15,0.002000,0.001249,0.001000,0.000432,0.001000,0.001000,0.002000,0.002000,0.002000,0.002000,0.017838,0.010115,0.026420,0.088455,calls/second,seconds
1519243758,15,0.002000,0.001241,0.001000,0.000428,0.001000,0.001000,0.002000,0.002000,0.002000,0.002000,0.017839,0.010115,0.026420,0.088455,calls/second,seconds
1519244658,15,0.002000,0.001594,0.001000,0.000491,0.002000,0.002000,0.002000,0.002000,0.002000,0.002000,0.017765,0.010115,0.026395,0.088443,calls/second,seconds
1519245558,3,0.001000,0.001000,0.001000,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.003568,0.000000,0.012912,0.080050,calls/second,seconds
