t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1513089954,306,0.636000,0.006916,0.001000,0.055431,0.002000,0.002000,0.003000,0.003000,0.003000,0.636000,0.344380,0.058469,0.196057,0.470847,calls/second,seconds
1513090854,60,0.004000,0.001736,0.001000,0.000441,0.002000,0.002000,0.002000,0.002000,0.002000,0.002000,0.067134,0.063303,0.083386,0.190818,calls/second,seconds
1513091754,60,0.002000,0.001465,0.001000,0.000499,0.001000,0.002000,0.002000,0.002000,0.002000,0.002000,0.067163,0.063303,0.083386,0.190818,calls/second,seconds
1513092654,60,0.003000,0.001808,0.001000,0.000406,0.002000,0.002000,0.002000,0.002000,0.002000,0.003000,0.067192,0.063303,0.083386,0.190818,calls/second,seconds
1513093554,60,0.005000,0.001654,0.001000,0.000477,0.002000,0.002000,0.002000,0.002000,0.002000,0.002000,0.067220,0.063303,0.083386,0.190818,calls/second,seconds
1513094454,60,0.002000,0.001619,0.001000,0.000486,0.002000,0.002000,0.002000,0.002000,0.002000,0.002000,0.067250,0.063303,0.083386,0.190818,calls/second,seconds
1513095354,60,0.002000,0.001281,0.001000,0.000449,0.001000,0.002000,0.002000,0.002000,0.002000,0.002000,0.067278,0.063303,0.083386,0.190818,calls/second,seconds
1513096254,60,0.002000,0.001459,0.001000,0.000498,0.001000,0.002000,0.002000,0.002000,0.002000,0.002000,0.067306,0.063303,0.083386,0.190818,calls/second,seconds
1513097154,60,0.003000,0.001898,0.001000,0.000303,0.002000,0.002000,0.002000,0.002000,0.002000,0.002000,0.067334,0.063303,0.083386,0.190818,calls/second,seconds
1513098054,60,0.002000,0.001286,0.001000,0.000452,0.001000,0.002000,0.002000,0.002000,0.002000,0.002000,0.067363,0.063303,0.083386,0.190818,calls/second,seconds
1513098954,60,0.002000,0.001583,0.001000,0.000493,0.002000,0.002000,0.002000,0.002000,0.002000,0.002000,0.067390,0.063303,0.083386,0.190818,calls/second,seconds
1513099854,60,0.002000,0.001407,0.001000,0.000491,0.001000,0.002000,0.002000,0.002000,0.002000,0.002000,0.067412,0.063303,0.083386,0.190818,calls/second,seconds
1513100754,60,0.002000,0.001644,0.001000,0.000479,0.002000,0.002000,0.002000,0.002000,0.002000,0.002000,0.067447,0.068804,0.084788,0.191882,calls/second,seconds
1513101654,60,0.002000,0.001591,0.001000,0.000492,0.002000,0.002000,0.002000,0.002000,0.002000,0.002000,0.067467,0.068804,0.084788,0.191882,calls/second,seconds
1513102554,60,0.002000,0.001257,0.001000,0.000437,0.001000,0.002000,0.002000,0.002000,0.002000,0.002000,0.067503,0.068804,0.084788,0.191882,calls/second,seconds
1513103454,60,0.002000,0.001724,0.001000,0.000447,0.002000,0.002000,0.002000,0.002000,0.002000,0.002000,0.067534,0.068804,0.084788,0.191882,calls/second,seconds
1513104354,60,0.002000,0.001952,0.001000,0.000214,0.002000,0.002000,0.002000,0.002000,0.002000,0.002000,0.067560,0.068804,0.084788,0.191882,calls/second,seconds
1513105254,60,0.002000,0.001723,0.001000,0.000448,0.002000,0.002000,0.002000,0.002000,0.002000,0.002000,0.067589,0.068804,0.084788,0.191882,calls/second,seconds
1513110998,78,0.029000,0.003519,0.002000,0.001041,0.003000,0.004000,0.006000,0.006000,0.006000,0.006000,0.088979,0.063304,0.109642,0.352411,calls/second,seconds
1513111898,60,0.022000,0.004818,0.003000,0.000584,0.005000,0.005000,0.006000,0.006000,0.006000,0.008000,0.067565,0.068804,0.084788,0.191882,calls/second,seconds
1513112798,60,0.010000,0.004660,0.002000,0.002118,0.004000,0.005000,0.010000,0.010000,0.010000,0.010000,0.067646,0.068804,0.084788,0.191882,calls/second,seconds
1513113698,60,0.008000,0.004471,0.002000,0.000945,0.005000,0.005000,0.005000,0.007000,0.007000,0.007000,0.067728,0.068804,0.084788,0.191882,calls/second,seconds
1513114598,60,0.006000,0.003990,0.001000,0.001210,0.004000,0.005000,0.005000,0.006000,0.006000,0.006000,0.067804,0.074784,0.086213,0.192951,calls/second,seconds
1513115498,60,0.009000,0.005553,0.001000,0.001759,0.005000,0.006000,0.009000,0.009000,0.009000,0.009000,0.067873,0.074784,0.086213,0.192951,calls/second,seconds
1513116398,60,0.008000,0.004440,0.003000,0.000657,0.004000,0.005000,0.006000,0.006000,0.006000,0.006000,0.067943,0.074784,0.086213,0.192951,calls/second,seconds
1513117298,60,0.006000,0.003853,0.002000,0.001144,0.004000,0.005000,0.005000,0.005000,0.005000,0.005000,0.068023,0.074784,0.086213,0.192951,calls/second,seconds
1513118198,60,0.008000,0.003240,0.001000,0.000996,0.003000,0.003000,0.005000,0.005000,0.005000,0.006000,0.068098,0.074784,0.086213,0.192951,calls/second,seconds
1513119098,60,0.009000,0.004783,0.002000,0.000872,0.005000,0.005000,0.006000,0.007000,0.007000,0.009000,0.068166,0.074784,0.086213,0.192951,calls/second,seconds
