t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1513089954,306,0.018000,0.003922,0.001000,0.005128,0.002000,0.003000,0.018000,0.018000,0.018000,0.018000,0.344376,0.058469,0.196057,0.470847,calls/second,seconds
1513090854,60,0.008000,0.002385,0.001000,0.000743,0.002000,0.003000,0.003000,0.004000,0.005000,0.005000,0.067133,0.063303,0.083386,0.190818,calls/second,seconds
1513091754,60,0.004000,0.001997,0.001000,0.000752,0.002000,0.003000,0.003000,0.003000,0.003000,0.003000,0.067163,0.063303,0.083386,0.190818,calls/second,seconds
1513092654,60,0.004000,0.002063,0.001000,0.000830,0.002000,0.003000,0.003000,0.004000,0.004000,0.004000,0.067192,0.063303,0.083386,0.190818,calls/second,seconds
1513093554,60,0.004000,0.002124,0.001000,0.000776,0.002000,0.003000,0.003000,0.003000,0.003000,0.003000,0.067219,0.063303,0.083386,0.190818,calls/second,seconds
1513094454,60,0.003000,0.002164,0.001000,0.000588,0.002000,0.003000,0.003000,0.003000,0.003000,0.003000,0.067250,0.063303,0.083386,0.190818,calls/second,seconds
1513095354,60,0.004000,0.002301,0.001000,0.000631,0.002000,0.003000,0.003000,0.004000,0.004000,0.004000,0.067278,0.063303,0.083386,0.190818,calls/second,seconds
1513096254,60,0.003000,0.002271,0.001000,0.000752,0.002000,0.003000,0.003000,0.003000,0.003000,0.003000,0.067306,0.063303,0.083386,0.190818,calls/second,seconds
1513097154,60,0.004000,0.001907,0.001000,0.000848,0.002000,0.003000,0.003000,0.003000,0.003000,0.004000,0.067334,0.063303,0.083386,0.190818,calls/second,seconds
1513098054,60,0.004000,0.002254,0.001000,0.000667,0.002000,0.003000,0.003000,0.003000,0.003000,0.003000,0.067363,0.063303,0.083386,0.190818,calls/second,seconds
1513098954,60,0.003000,0.002178,0.001000,0.000800,0.002000,0.003000,0.003000,0.003000,0.003000,0.003000,0.067390,0.063303,0.083386,0.190818,calls/second,seconds
1513099854,60,0.003000,0.002129,0.001000,0.000698,0.002000,0.003000,0.003000,0.003000,0.003000,0.003000,0.067411,0.063303,0.083386,0.190818,calls/second,seconds
1513100754,60,0.006000,0.002282,0.001000,0.000796,0.002000,0.003000,0.003000,0.003000,0.003000,0.003000,0.067447,0.068804,0.084788,0.191882,calls/second,seconds
1513101654,60,0.003000,0.001459,0.001000,0.000498,0.001000,0.002000,0.002000,0.002000,0.002000,0.002000,0.067466,0.068804,0.084788,0.191882,calls/second,seconds
1513102554,60,0.003000,0.002228,0.001000,0.000641,0.002000,0.003000,0.003000,0.003000,0.003000,0.003000,0.067502,0.068804,0.084788,0.191882,calls/second,seconds
1513103454,60,0.003000,0.001733,0.001000,0.000552,0.002000,0.002000,0.003000,0.003000,0.003000,0.003000,0.067534,0.068804,0.084788,0.191882,calls/second,seconds
1513104354,60,0.003000,0.001860,0.001000,0.000597,0.002000,0.002000,0.003000,0.003000,0.003000,0.003000,0.067560,0.068804,0.084788,0.191882,calls/second,seconds
1513105254,60,0.003000,0.002474,0.001000,0.000542,0.002000,0.003000,0.003000,0.003000,0.003000,0.003000,0.067589,0.068804,0.084788,0.191882,calls/second,seconds
1513110998,78,12.353000,0.004958,0.002000,0.010710,0.004000,0.005000,0.008000,0.014000,0.014000,0.014000,0.088976,0.063304,0.109642,0.352411,calls/second,seconds
1513111898,60,0.007000,0.005743,0.003000,0.000921,0.006000,0.006000,0.007000,0.007000,0.007000,0.007000,0.067564,0.068804,0.084788,0.191882,calls/second,seconds
1513112798,60,0.012000,0.005996,0.002000,0.001674,0.006000,0.008000,0.008000,0.009000,0.009000,0.012000,0.067646,0.068804,0.084788,0.191882,calls/second,seconds
1513113698,60,0.012000,0.005005,0.002000,0.001412,0.005000,0.006000,0.007000,0.007000,0.007000,0.007000,0.067727,0.068804,0.084788,0.191882,calls/second,seconds
1513114598,60,0.007000,0.004418,0.002000,0.001843,0.004000,0.006000,0.007000,0.007000,0.007000,0.007000,0.067803,0.074784,0.086213,0.192951,calls/second,seconds
1513115498,60,0.008000,0.005987,0.002000,0.000984,0.006000,0.007000,0.008000,0.008000,0.008000,0.008000,0.067872,0.074784,0.086213,0.192951,calls/second,seconds
1513116398,60,0.012000,0.006026,0.004000,0.002046,0.006000,0.007000,0.012000,0.012000,0.012000,0.012000,0.067942,0.074784,0.086213,0.192951,calls/second,seconds
