t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1515104961,8,0.001000,0.000244,0.000000,0.000429,0.000000,0.000000,0.001000,0.001000,0.001000,0.001000,0.024882,0.002949,0.079900,0.146772,calls/second,seconds
1515115761,4,0.001000,0.000477,0.000000,0.000499,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.035250,0.044603,0.148163,0.180967,calls/second,seconds
1515116661,8,0.001000,0.000391,0.000000,0.000488,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.031519,0.008949,0.186080,0.309842,calls/second,seconds
1515158061,4,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.010102,0.000388,0.057316,0.131852,calls/second,seconds
1515158961,8,0.001000,0.000382,0.000000,0.000486,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.014263,0.000051,0.066193,0.219552,calls/second,seconds
1515159861,12,0.001000,0.000437,0.000000,0.000496,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.024160,0.002399,0.052909,0.124767,calls/second,seconds
1515169761,12,0.001000,0.000624,0.000000,0.000485,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.013865,0.000007,0.015614,0.082795,calls/second,seconds
1515170661,22,0.001000,0.000323,0.000000,0.000468,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.039373,0.022603,0.063096,0.125718,calls/second,seconds
1515194061,4,0.001000,0.000469,0.000000,0.000499,0.000000,0.001000,0.001000,0.001000,0.001000,0.001000,0.006714,0.000014,0.029435,0.105582,calls/second,seconds
1515194961,8,0.001000,0.000501,0.000000,0.000500,0.001000,0.001000,0.001000,0.001000,0.001000,0.001000,0.028236,0.015971,0.250306,0.446755,calls/second,seconds
1515195861,8,0.003000,0.000436,0.000000,0.000920,0.000000,0.000000,0.003000,0.003000,0.003000,0.003000,0.009976,0.000001,0.029750,0.168166,calls/second,seconds
